dataset,encoder,target_domain,budget,method,repeat,selected,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,evaluation_cache_hit,squared_loss,brier_score,nll,accuracy,macro_f1,ece
office_home,dinov2_b14,Art,1,bayesian_d,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,0,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,collapse_4s,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,domain_balance,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,dpp_subspace,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,effective_rank,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,facility_subspace,-1,Product__block_01,1099,eee1ff2cfc1f9044bdee435e22a48b77ae888b440fb5b4b26b9f5cb90b2dcea4,1686,1.0,primal,0.09245884045958519,0,0.6087309973752346,0.970654275679039,3.823094795146992,0.7437722419928826,0.6869306049389546,0.7207378409086154
office_home,dinov2_b14,Art,1,kcenter_subspace,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,random,0,Clipart__block_01,1077,0be031456154a8f3a455e363813d2a26c8f02440811a494123ebbeb0c144ac2a,1686,1.0,primal,0.09502813220024109,0,0.5862891839591315,0.9693125660202773,3.7918935623470076,0.7698695136417556,0.7184247080070957,0.7461752487224922
office_home,dinov2_b14,Art,1,random,1,Product__block_00,1142,7270c8a8f24b24727a72b3f1cba140428ed2c192e091d64c700d7f9f65588ec9,1686,1.0,primal,0.1075204610824585,0,0.5964782927058118,0.9700546146358747,3.810296043412082,0.7497034400948992,0.7004262972632644,0.7263706137887697
office_home,dinov2_b14,Art,1,random,2,Real World__block_02,1086,57f0dc9ad42b90e3d1c1e8b2799d868f7c82eb2f55bca74690be697a11312a30,1686,1.0,primal,0.0983356200158596,0,0.49476652190673676,0.96564726052563,3.721980765270407,0.7924080664294187,0.7534467127234845,0.7668684519424224
office_home,dinov2_b14,Art,1,random,3,Product__block_03,1077,2c3ad22cd255f246bf92b1dcc5d3298223722da9b934a524aa38ef890f8cb219,1686,1.0,primal,0.09251238033175468,0,0.6012854245651458,0.9705000505553248,3.819807607070711,0.7437722419928826,0.6928202115356927,0.7207218858637778
office_home,dinov2_b14,Art,1,random,4,Clipart__block_03,1104,617111f5629a14beb84604e2ef06602868eb3a26c4724d3837bd60b3266a608a,1686,1.0,primal,0.09754780866205692,0,0.5893331430553571,0.9695418786008246,3.795953111241973,0.7680901542111507,0.7148912422990513,0.7445124698736015
office_home,dinov2_b14,Art,1,random,5,Clipart__block_03,1104,617111f5629a14beb84604e2ef06602868eb3a26c4724d3837bd60b3266a608a,1686,1.0,primal,0.09754780866205692,1,0.5893331430553571,0.9695418786008246,3.795953111241973,0.7680901542111507,0.7148912422990513,0.7445124698736015
office_home,dinov2_b14,Art,1,random,6,Product__block_00,1142,7270c8a8f24b24727a72b3f1cba140428ed2c192e091d64c700d7f9f65588ec9,1686,1.0,primal,0.1075204610824585,1,0.5964782927058118,0.9700546146358747,3.810296043412082,0.7497034400948992,0.7004262972632644,0.7263706137887697
office_home,dinov2_b14,Art,1,random,7,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,0,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,8,Product__block_03,1077,2c3ad22cd255f246bf92b1dcc5d3298223722da9b934a524aa38ef890f8cb219,1686,1.0,primal,0.09251238033175468,1,0.6012854245651458,0.9705000505553248,3.819807607070711,0.7437722419928826,0.6928202115356927,0.7207218858637778
office_home,dinov2_b14,Art,1,random,9,Product__block_02,1121,c822aa8a4f79eecc19a26d2a6156da6ac19aea26b54feb72b745d99537b4bad8,1686,1.0,primal,0.10030457936227322,0,0.6122626485226179,0.9706711129377736,3.8230517830303206,0.7431791221826809,0.6979563285260078,0.7201181233369609
office_home,dinov2_b14,Art,1,random,10,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,1,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,11,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,1,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,12,Clipart__block_00,1125,27b326681c1d882ddb44e3e0319c441dae5d538978595707a5110d8e72cacbd0,1686,1.0,primal,0.09631704352796078,0,0.598326705902017,0.9695016586621142,3.798259827867395,0.7479240806642942,0.6969169057143892,0.724302624268505
office_home,dinov2_b14,Art,1,random,13,Product__block_02,1121,c822aa8a4f79eecc19a26d2a6156da6ac19aea26b54feb72b745d99537b4bad8,1686,1.0,primal,0.10030457936227322,1,0.6122626485226179,0.9706711129377736,3.8230517830303206,0.7431791221826809,0.6979563285260078,0.7201181233369609
office_home,dinov2_b14,Art,1,random,14,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,1,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,15,Real World__block_01,1065,6d63d4a153541ac317ee693098c26eaac6fb3750adcce9f999a1a60f718aacbc,1686,1.0,primal,0.09500923939049244,0,0.5038446604710765,0.9659668082394959,3.729637841737306,0.7977461447212337,0.7590045452601117,0.7724013244636273
office_home,dinov2_b14,Art,1,random,16,Product__block_02,1121,c822aa8a4f79eecc19a26d2a6156da6ac19aea26b54feb72b745d99537b4bad8,1686,1.0,primal,0.10030457936227322,1,0.6122626485226179,0.9706711129377736,3.8230517830303206,0.7431791221826809,0.6979563285260078,0.7201181233369609
office_home,dinov2_b14,Art,1,random,17,Real World__block_00,1050,69a64348e87c0fc1fdc38432b8a51f9c425eb6a2b8ef6953612dad3b691d3961,1686,1.0,primal,0.09897449426352978,0,0.49614127707268635,0.9658456579240652,3.725642442828814,0.7912218268090154,0.7521549976344737,0.7657732099074415
office_home,dinov2_b14,Art,1,random,18,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
