dataset,encoder,target_domain,budget,method,repeat,selected,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,evaluation_cache_hit,squared_loss,brier_score,nll,accuracy,macro_f1,ece
pacs,dinov2_b14,art_painting,1,bayesian_d,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,0,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,collapse_4s,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,1,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,domain_balance,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,1,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,dpp_subspace,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,1,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,effective_rank,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,1,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,facility_subspace,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,1,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,kcenter_subspace,-1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.09494278021156788,1,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967164
pacs,dinov2_b14,art_painting,1,random,0,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.049692096188664436,0,0.26023344483790867,0.6764786850213084,1.4436916423844757,0.9738515901060071,0.9738097879863128,0.7331221799711058
pacs,dinov2_b14,art_painting,1,random,1,cartoon__block_03,595,f9f628d428eec6d6519650f8168db85b35af2d5ecb78dab0523059ff4203ae4e,1415,1.0,dual,0.051972704008221626,0,0.2689890473067626,0.685407827441301,1.4651434422096778,0.9802120141342756,0.9789579890816731,0.7445485561589448
pacs,dinov2_b14,art_painting,1,random,2,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.049692096188664436,1,0.26023344483790867,0.6764786850213084,1.4436916423844757,0.9738515901060071,0.9738097879863128,0.7331221799711058
