gate,dataset,target_domain,budget,baseline,target_a_brier,baseline_brier,delta,relative_improvement,noninferior
H2-target-blind,office_home,Art,3,dpp_subspace,0.9642115897559846,0.9649330354223339,-0.0007214456663492408,0.0007476639723848577,1
H2-target-blind,office_home,Clipart,3,dpp_subspace,0.9709552476005114,0.970773771633747,0.00018147596676443278,-0.0001869395033809174,1
H2-target-blind,office_home,Product,3,dpp_subspace,0.9596290733297062,0.9607180340237251,-0.001088960694018981,0.0011334862628300459,1
H2-target-blind,office_home,Real World,3,dpp_subspace,0.9590716512870965,0.95940473275747,-0.00033308147037347524,0.0003471751378754931,1
H2-target-blind,pacs,art_painting,3,dpp_subspace,0.6796213946077784,0.6769851861238476,0.0026362084839307576,-0.0038940416097206737,1
H2-target-blind,pacs,cartoon,3,dpp_subspace,0.702801215421452,0.7019490323775421,0.0008521830439098821,-0.0012140241023247636,1
H2-target-blind,pacs,photo,3,dpp_subspace,0.6381541798034487,0.6571595971953467,-0.019005417391897983,0.02892055061359539,1
H2-target-blind,pacs,sketch,3,dpp_subspace,0.7397055838597184,0.741374596614037,-0.0016690127543186328,0.002251240819339172,1
H2b-same-information,office_home,Art,3,second_moment_mmd,0.9642115897559846,0.9643684602500086,-0.0001568704940239085,0.00016266655380168746,1
H2b-same-information,office_home,Clipart,3,second_moment_mmd,0.9709552476005114,0.971180189024365,-0.00022494142385354188,0.00023161656960848337,1
H2b-same-information,office_home,Product,3,second_moment_mmd,0.9596290733297062,0.960081226414232,-0.00045215308452584146,0.0004709529486526567,1
H2b-same-information,office_home,Real World,3,second_moment_mmd,0.9590716512870965,0.9592786370054665,-0.00020698571836996749,0.00021577225884661076,1
H2b-same-information,pacs,art_painting,3,second_moment_mmd,0.6796213946077784,0.6816459981691014,-0.0020246035613230573,0.0029701686311679886,1
H2b-same-information,pacs,cartoon,3,second_moment_mmd,0.702801215421452,0.7083360518736126,-0.005534836452160574,0.007813856766884071,1
H2b-same-information,pacs,photo,3,second_moment_mmd,0.6381541798034487,0.640839410971419,-0.00268523116797037,0.004190177947857407,1
H2b-same-information,pacs,sketch,3,second_moment_mmd,0.7397055838597184,0.7440236867922507,-0.0043181029325323195,0.0058037170175981746,1
