dataset,encoder,target_domain,budget,combination,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,target_a_proxy_estimate,target_a_proxy_first_half,target_a_proxy_second_half,target_a_proxy_half_relative_difference,squared_loss,brier_score,nll,accuracy,macro_f1,ece,brier_rank,target_a_proxy_rank,in_brier_top_q,normalized_brier_regret
office_home,dinov2_b14,Art,1,Clipart__block_00,1125,27b326681c1d882ddb44e3e0319c441dae5d538978595707a5110d8e72cacbd0,1686,1.0,primal,0.08792917989194393,0.4850361086816745,0.4826730593414502,0.48739915802189887,0.009743807926577187,0.5983267059020171,0.9695016586621142,3.798259827867395,0.7479240806642942,0.6969169057143892,0.724302624268505,6,6,1,0.004230034175802378
office_home,dinov2_b14,Art,1,Clipart__block_01,1077,0be031456154a8f3a455e363813d2a26c8f02440811a494123ebbeb0c144ac2a,1686,1.0,primal,0.06626172550022602,0.4904290620855074,0.4888285491573049,0.4920295750137098,0.006526990555561345,0.5862891839591314,0.9693125660202773,3.7918935623470076,0.7698695136417556,0.7184247080070957,0.7461752487224922,5,7,1,0.004034168074411293
office_home,dinov2_b14,Art,1,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.0696314349770546,0.49092438735602273,0.48743057184864114,0.4944182028634043,0.014233619666760806,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707,8,9,1,0.004338314900099333
office_home,dinov2_b14,Art,1,Clipart__block_03,1104,617111f5629a14beb84604e2ef06602868eb3a26c4724d3837bd60b3266a608a,1686,1.0,primal,0.06603673473000526,0.4925766844969566,0.49268198515181133,0.49247138384210193,0.0004275503009739044,0.5893331430553571,0.9695418786008246,3.795953111241973,0.7680901542111507,0.7148912422990513,0.7445124698736015,7,10,1,0.0042716948269882924
office_home,dinov2_b14,Art,1,Product__block_00,1142,7270c8a8f24b24727a72b3f1cba140428ed2c192e091d64c700d7f9f65588ec9,1686,1.0,primal,0.06823317147791386,0.4789303158497524,0.4823912153202782,0.4754694163792267,0.014452622254179804,0.5964782927058118,0.9700546146358747,3.810296043412082,0.7497034400948992,0.7004262972632644,0.7263706137887697,9,5,1,0.004802797503709929
office_home,dinov2_b14,Art,1,Product__block_01,1099,eee1ff2cfc1f9044bdee435e22a48b77ae888b440fb5b4b26b9f5cb90b2dcea4,1686,1.0,primal,0.0657865758985281,0.5034391349683278,0.508601714379663,0.4982765555569928,0.02050924949114202,0.6087309973752346,0.970654275679039,3.823094795146992,0.7437722419928826,0.6869306049389546,0.7207378409086154,11,12,0,0.005423938916404077
office_home,dinov2_b14,Art,1,Product__block_02,1121,c822aa8a4f79eecc19a26d2a6156da6ac19aea26b54feb72b745d99537b4bad8,1686,1.0,primal,0.06547480262815952,0.4906274074592144,0.49415992796956315,0.4870948869488657,0.014400012949306651,0.6122626485226179,0.9706711129377736,3.8230517830303197,0.7431791221826809,0.6979563285260078,0.7201181233369609,12,8,0,0.005441379300093466
office_home,dinov2_b14,Art,1,Product__block_03,1077,2c3ad22cd255f246bf92b1dcc5d3298223722da9b934a524aa38ef890f8cb219,1686,1.0,primal,0.06286430545151234,0.49540221169487547,0.49692334083096334,0.4938810825587877,0.006140986455767785,0.6012854245651458,0.9705000505553248,3.819807607070711,0.7437722419928826,0.6928202115356927,0.7207218858637778,10,11,1,0.005264189317345209
office_home,dinov2_b14,Art,1,Real World__block_00,1050,69a64348e87c0fc1fdc38432b8a51f9c425eb6a2b8ef6953612dad3b691d3961,1686,1.0,primal,0.06284288503229618,0.4084405243517979,0.4098430866197563,0.40703796208383947,0.006867889860754242,0.4961412770726864,0.9658456579240652,3.725642442828814,0.7912218268090154,0.7521549976344737,0.7657732099074415,3,3,1,0.0004430723760832438
office_home,dinov2_b14,Art,1,Real World__block_01,1065,6d63d4a153541ac317ee693098c26eaac6fb3750adcce9f999a1a60f718aacbc,1686,1.0,primal,0.06564799323678017,0.41097128262166527,0.41337140345703854,0.4085711617862918,0.01168023624454986,0.5038446604710765,0.9659668082394959,3.729637841737306,0.7977461447212337,0.7590045452601117,0.7724013244636273,4,4,1,0.0005685623990433574
office_home,dinov2_b14,Art,1,Real World__block_02,1086,57f0dc9ad42b90e3d1c1e8b2799d868f7c82eb2f55bca74690be697a11312a30,1686,1.0,primal,0.06568818353116512,0.3976143924638665,0.39767337758367705,0.3975554073440559,0.0002966950941843589,0.4947665219067368,0.96564726052563,3.721980765270407,0.7924080664294187,0.7534467127234845,0.7668684519424224,2,2,1,0.00023756821378412738
office_home,dinov2_b14,Art,1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.06668233685195446,0.395453347219393,0.39923195635182884,0.3916747380869572,0.019110265011055776,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253,1,1,1,0.0
office_home,dinov2_b14,Art,3,Clipart__block_00|Clipart__block_01|Clipart__block_02,3261,ff9b4cf72c67c8396af22639e72c6b56eaae068bcb0b49c566b04f933a948072,1686,1.0,primal,0.09337732754647732,0.29436315996288553,0.29214033786753374,0.29658598205823733,0.01510258345937078,0.570980721476959,0.9653877352753049,3.7163972006312926,0.7841043890865955,0.7408178431613945,0.7583306119324573,215,216,0,0.004068426523334886
office_home,dinov2_b14,Art,3,Clipart__block_00|Clipart__block_01|Clipart__block_03,3306,d8500b6c25037036999e794c69718444d6f727f5db1982631f80690fc97a73a9,1686,1.0,primal,0.09256815351545811,0.2949621942702613,0.2940607226929929,0.29586366584752977,0.006112455052069908,0.5713736211612759,0.9652929466031349,3.714037731792178,0.7924080664294187,0.7492461257686851,0.7666027998373209,214,218,0,0.003969839904259215
office_home,dinov2_b14,Art,3,Clipart__block_00|Clipart__block_01|Product__block_00,3344,74212ddb938175142fd0e9a2a93c540e70c99fc87d11e2f84f3ef9a71d2cb072,1686,1.0,primal,0.08990003727376461,0.25908363543610896,0.257832990926236,0.260334279945982,0.009654369005343172,0.530587007819417,0.9638658889330395,3.688148063578742,0.806049822064057,0.7665964606006852,0.7795328649747493,166,169,0,0.0024856035741154933
office_home,dinov2_b14,Art,3,Clipart__block_00|Clipart__block_01|Product__block_01,3301,9e1d4487c21431389ee6dd9f66995697628d5648bd017c8756ea86efd8bf02b1,1686,1.0,primal,0.08670722506940365,0.2637379259490676,0.2630810930889293,0.2643947588092058,0.004980951129987336,0.5292902743001743,0.9638251313383084,3.6868920958278264,0.8048635824436536,0.76831466228135,0.778346689679826,162,192,0,0.0024432129236906033
