dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
office_home,resnet50,Art,1,bayesian_d,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,collapse_4s,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,domain_balance,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,dpp_subspace,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,effective_rank,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,facility_subspace,-1,Product__block_00,1142,0.9733935930501167,0.9701092284951166,0.003385561603300091,5,10,1,5
office_home,resnet50,Art,1,kcenter_subspace,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,random,0,Clipart__block_01,1077,0.9748567433020935,0.9701092284951166,0.004893794087848718,12,10,0,12
office_home,resnet50,Art,1,random,1,Product__block_00,1142,0.9733935930501167,0.9701092284951166,0.003385561603300091,5,10,1,5
office_home,resnet50,Art,1,random,2,Real World__block_02,1086,0.9701135592933319,0.9701092284951166,4.4642377250514885e-06,2,10,1,2
office_home,resnet50,Art,1,random,3,Product__block_03,1077,0.9740649922458204,0.9701092284951166,0.004077647789043527,7,10,1,8
office_home,resnet50,Art,1,random,4,Clipart__block_03,1104,0.9747827864206449,0.9701092284951166,0.004817558464811353,11,10,0,11
office_home,resnet50,Art,1,random,5,Clipart__block_03,1104,0.9747827864206449,0.9701092284951166,0.004817558464811353,11,10,0,11
office_home,resnet50,Art,1,random,6,Product__block_00,1142,0.9733935930501167,0.9701092284951166,0.003385561603300091,5,10,1,5
office_home,resnet50,Art,1,random,7,Clipart__block_02,1059,0.9744438234399352,0.9701092284951166,0.004468151438516494,9,10,1,10
office_home,resnet50,Art,1,random,8,Product__block_03,1077,0.9740649922458204,0.9701092284951166,0.004077647789043527,7,10,1,8
office_home,resnet50,Art,1,random,9,Product__block_02,1121,0.9743237196874059,0.9701092284951166,0.004344347078139926,8,10,1,7
office_home,resnet50,Art,1,random,10,Clipart__block_02,1059,0.9744438234399352,0.9701092284951166,0.004468151438516494,9,10,1,10
office_home,resnet50,Art,1,random,11,Clipart__block_02,1059,0.9744438234399352,0.9701092284951166,0.004468151438516494,9,10,1,10
office_home,resnet50,Art,1,random,12,Clipart__block_00,1125,0.9747287448294748,0.9701092284951166,0.004761851757171952,10,10,1,9
office_home,resnet50,Art,1,random,13,Product__block_02,1121,0.9743237196874059,0.9701092284951166,0.004344347078139926,8,10,1,7
office_home,resnet50,Art,1,random,14,Clipart__block_02,1059,0.9744438234399352,0.9701092284951166,0.004468151438516494,9,10,1,10
office_home,resnet50,Art,1,random,15,Real World__block_01,1065,0.9705124799236541,0.9701092284951166,0.00041567631426723053,4,10,1,4
office_home,resnet50,Art,1,random,16,Product__block_02,1121,0.9743237196874059,0.9701092284951166,0.004344347078139926,8,10,1,7
office_home,resnet50,Art,1,random,17,Real World__block_00,1050,0.9704605311554131,0.9701092284951166,0.000362126913112084,3,10,1,3
office_home,resnet50,Art,1,random,18,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,random,19,Real World__block_00,1050,0.9704605311554131,0.9701092284951166,0.000362126913112084,3,10,1,3
office_home,resnet50,Art,1,second_moment_mmd,-1,Real World__block_00,1050,0.9704605311554131,0.9701092284951166,0.000362126913112084,3,10,1,3
office_home,resnet50,Art,1,size,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,spectrum_rank_l,-1,Real World__block_00,1050,0.9704605311554131,0.9701092284951166,0.000362126913112084,3,10,1,3
office_home,resnet50,Art,1,target_a,-1,Real World__block_03,1147,0.9701092284951166,0.9701092284951166,0.0,1,10,1,1
office_home,resnet50,Art,1,target_energy,-1,Clipart__block_00,1125,0.9747287448294748,0.9701092284951166,0.004761851757171952,10,10,1,9
office_home,resnet50,Art,3,bayesian_d,-1,Real World__block_01|Real World__block_02|Real World__block_03,3298,0.9669249039173241,0.9668522831700206,7.511048850752908e-05,3,10,1,2
office_home,resnet50,Art,3,collapse_4s,-1,Clipart__block_00|Real World__block_02|Real World__block_03,3358,0.967093138965779,0.9668522831700206,0.00024911333401281683,9,10,1,5
office_home,resnet50,Art,3,domain_balance,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,0.9676193689327602,0.9668522831700206,0.0007933846525392733,73,10,0,53
office_home,resnet50,Art,3,dpp_subspace,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,0.9676193689327602,0.9668522831700206,0.0007933846525392733,73,10,0,53
office_home,resnet50,Art,3,effective_rank,-1,Real World__block_01|Real World__block_02|Real World__block_03,3298,0.9669249039173241,0.9668522831700206,7.511048850752908e-05,3,10,1,2
office_home,resnet50,Art,3,facility_subspace,-1,Clipart__block_01|Product__block_00|Real World__block_02,3305,0.9675807844816069,0.9668522831700206,0.0007534773659506353,64,10,0,72
office_home,resnet50,Art,3,kcenter_subspace,-1,Clipart__block_00|Product__block_02|Real World__block_03,3393,0.9678679841082409,0.9668522831700206,0.0010505233900779158,112,10,0,55
office_home,resnet50,Art,3,random,0,Clipart__block_01|Clipart__block_03|Product__block_01,3280,0.9690072859208548,0.9668522831700206,0.0022288852065060374,168,10,0,200
office_home,resnet50,Art,3,random,1,Clipart__block_01|Product__block_00|Product__block_01,3318,0.9693353920734117,0.9668522831700206,0.002568240202370647,181,10,0,168
office_home,resnet50,Art,3,random,2,Product__block_03|Real World__block_00|Real World__block_02,3213,0.9672411593666593,0.9668522831700206,0.0004022084897640559,37,10,0,50
office_home,resnet50,Art,3,random,3,Clipart__block_00|Product__block_03|Real World__block_02,3288,0.9677203387675128,0.9668522831700206,0.0008978161531006173,88,10,0,83
office_home,resnet50,Art,3,random,4,Clipart__block_02|Clipart__block_03|Product__block_00,3305,0.96895447236754,0.9668522831700206,0.0021742609849634054,166,10,0,192
office_home,resnet50,Art,3,random,5,Clipart__block_02|Clipart__block_03|Real World__block_03,3310,0.9679063464958065,0.9668522831700206,0.0010902009998155955,119,10,0,131
office_home,resnet50,Art,3,random,6,Product__block_00|Real World__block_00|Real World__block_03,3339,0.9671620869188048,0.9668522831700206,0.0003204251095818324,22,10,0,20
office_home,resnet50,Art,3,random,7,Clipart__block_02|Product__block_01|Real World__block_02,3244,0.9675468720282608,0.9668522831700206,0.0007184022526821809,58,10,0,81
office_home,resnet50,Art,3,random,8,Clipart__block_03|Product__block_03|Real World__block_01,3246,0.9678411844880037,0.9668522831700206,0.0010228049674153052,108,10,0,117
office_home,resnet50,Art,3,random,9,Product__block_00|Product__block_02|Real World__block_01,3328,0.9684690595718591,0.9668522831700206,0.0016722062201038827,161,10,0,137
office_home,resnet50,Art,3,random,10,Clipart__block_02|Product__block_02|Real World__block_00,3230,0.9678316948063405,0.9668522831700206,0.0010129899400026985,106,10,0,100
office_home,resnet50,Art,3,random,11,Clipart__block_02|Real World__block_00|Real World__block_01,3174,0.9671108061945649,0.9668522831700206,0.0002673862688690164,14,10,0,39
office_home,resnet50,Art,3,random,12,Clipart__block_00|Clipart__block_01|Real World__block_01,3267,0.9680417632991982,0.9668522831700206,0.0012302604543453965,138,10,0,159
office_home,resnet50,Art,3,random,13,Clipart__block_00|Product__block_00|Product__block_02,3388,0.9697147421929163,0.9668522831700206,0.0029605960214631488,206,10,0,166
office_home,resnet50,Art,3,random,14,Clipart__block_02|Clipart__block_03|Product__block_01,3262,0.9689527370576458,0.9668522831700206,0.0021724661814300017,165,10,0,199
office_home,resnet50,Art,3,random,15,Clipart__block_02|Product__block_00|Real World__block_01,3266,0.9676258320874299,0.9668522831700206,0.0008000693910274396,74,10,0,94
