dataset,encoder,target_domain,budget,combination_count,top_q,oracle_combination,oracle_brier,oracle_tie_count,worst_brier,target_a_combination,target_a_brier,target_a_brier_rank,target_a_in_top_q,target_a_normalized_brier_regret,proxy_best_combination,proxy_best_brier,proxy_best_brier_rank,proxy_best_normalized_brier_regret,parent_envelope_method,parent_envelope_repeat,parent_envelope_combination,parent_envelope_brier,oracle_relative_headroom_from_parent_envelope,spearman_target_a_proxy_vs_brier,mean_probe_half_relative_difference,max_probe_half_relative_difference,budget_seconds
office_home,resnet50,Art,1,12,10,Real World__block_03,0.9701092284951166,1,0.9748567433020935,Real World__block_03,0.9701092284951166,1,1,0.0,Real World__block_03,0.9701092284951166,1,0.0,bayesian_d,-1,Real World__block_03,0.9701092284951166,0.0,0.986013986013986,0.026709848402502,0.038867195930700045,2.6878501400351524
office_home,resnet50,Art,3,220,10,Real World__block_00|Real World__block_02|Real World__block_03,0.9668522831700206,1,0.9712133752609693,Real World__block_00|Real World__block_02|Real World__block_03,0.9668522831700206,1,1,0.0,Real World__block_00|Real World__block_02|Real World__block_03,0.9668522831700206,1,0.0,target_a,-1,Real World__block_00|Real World__block_02|Real World__block_03,0.9668522831700206,0.0,0.9475372331133813,0.018935319778450376,0.03207451158900971,111.96219179034233
office_home,resnet50,Art,5,792,10,Clipart__block_02|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.9658656119490723,1,0.9689173222939435,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.9658758231431005,2,1,1.0572064997338925e-05,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.9658758231431005,2,1.0572064997338925e-05,bayesian_d,-1,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.9658758231431005,1.0571953229962228e-05,0.8444149302991608,0.015429192622929222,0.026750368570852293,497.0629719700664
office_home,resnet50,Clipart,1,12,10,Real World__block_00,0.9759668996443848,1,0.9786626509507075,Real World__block_03,0.975992739297389,2,1,2.647595222091393e-05,Real World__block_03,0.975992739297389,2,2.647595222091393e-05,random,1,Real World__block_00,0.9759668996443848,0.0,0.6783216783216783,0.014591154581234354,0.03894856117920306,2.593061201274395
office_home,resnet50,Clipart,3,220,10,Product__block_02|Real World__block_00|Real World__block_03,0.9738628310741376,1,0.9757988846906385,Product__block_01|Real World__block_00|Real World__block_03,0.9739812152815247,11,0,0.00012156148033343169,Product__block_01|Real World__block_00|Real World__block_03,0.9739812152815247,11,0.00012156148033343169,kcenter_subspace,-1,Art__block_03|Product__block_02|Real World__block_03,0.9739543108974221,9.392619577833184e-05,0.7424781503750078,0.012402701283207909,0.0292397261169952,104.19535420648754
office_home,resnet50,Clipart,5,792,10,Art__block_01|Art__block_03|Product__block_02|Real World__block_00|Real World__block_03,0.9732730177840065,1,0.9743020012397078,Product__block_00|Product__block_01|Real World__block_00|Real World__block_02|Real World__block_03,0.9735397154307347,223,0,0.0002740214121371443,Product__block_00|Product__block_01|Real World__block_00|Real World__block_02|Real World__block_03,0.9735397154307347,223,0.0002740214121371443,random,11,Art__block_00|Art__block_03|Product__block_02|Real World__block_00|Real World__block_01,0.9734051745605523,0.0001357674892219771,0.4119789007356105,0.011480361508273319,0.02334958202796419,450.29106825217605
office_home,resnet50,Product,1,12,10,Real World__block_02,0.9664972023713886,1,0.9744065268092319,Real World__block_03,0.9665279122191577,2,1,3.177437833626978e-05,Real World__block_03,0.9665279122191577,2,3.177437833626978e-05,bayesian_d,-1,Real World__block_03,0.9665279122191577,3.177336875722987e-05,0.8951048951048951,0.025863709339206693,0.03379228836112859,2.589515460655093
office_home,resnet50,Product,3,220,10,Real World__block_00|Real World__block_02|Real World__block_03,0.962073085059461,1,0.9684407864240462,Real World__block_01|Real World__block_02|Real World__block_03,0.9620924901912086,2,1,2.017012225883634e-05,Clipart__block_00|Real World__block_01|Real World__block_03,0.9626497358721218,7,0.0005993835828232779,bayesian_d,-1,Real World__block_01|Real World__block_02|Real World__block_03,0.9620924901912086,2.0169715433210124e-05,0.8727948924564557,0.021860738023280667,0.03431604313962698,113.82550843991339
office_home,resnet50,Product,5,792,10,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.960949466553448,1,0.9652160299305836,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.960949466553448,1,1,0.0,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.960949466553448,1,0.0,bayesian_d,-1,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,0.960949466553448,0.0,0.837525451481639,0.020076574671919454,0.033536792574911045,490.5096278320998
office_home,resnet50,Real World,1,12,10,Product__block_00,0.9670482299348219,1,0.9718043923636079,Product__block_00,0.9670482299348219,1,1,0.0,Product__block_00,0.9670482299348219,1,0.0,bayesian_d,-1,Product__block_00,0.9670482299348219,0.0,0.4965034965034965,0.015149693326972644,0.024596640970196326,2.555516989901662
