dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
pacs,dinov2_b14,art_painting,1,bayesian_d,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,collapse_4s,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,domain_balance,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,dpp_subspace,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,effective_rank,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,facility_subspace,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,kcenter_subspace,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,random,0,cartoon__block_01,569,0.6764786850213083,0.6764786850213083,0.0,1,10,1,3
pacs,dinov2_b14,art_painting,1,random,1,cartoon__block_03,595,0.685407827441301,0.6764786850213083,0.013199443851969271,4,10,1,4
pacs,dinov2_b14,art_painting,1,random,2,cartoon__block_01,569,0.6764786850213083,0.6764786850213083,0.0,1,10,1,3
pacs,dinov2_b14,art_painting,1,random,3,cartoon__block_01,569,0.6764786850213083,0.6764786850213083,0.0,1,10,1,3
pacs,dinov2_b14,art_painting,1,random,4,photo__block_01,415,0.7144836683987246,0.6764786850213083,0.05618060734052426,9,10,1,11
pacs,dinov2_b14,art_painting,1,random,5,photo__block_01,415,0.7144836683987246,0.6764786850213083,0.05618060734052426,9,10,1,11
pacs,dinov2_b14,art_painting,1,random,6,cartoon__block_02,584,0.6773958506801959,0.6764786850213083,0.0013557938767261744,2,10,1,2
pacs,dinov2_b14,art_painting,1,random,7,photo__block_03,427,0.7218303682933587,0.6764786850213083,0.06704081632760076,12,10,0,9
pacs,dinov2_b14,art_painting,1,random,8,photo__block_00,433,0.716389446887515,0.6764786850213083,0.05899781138699093,10,10,1,10
pacs,dinov2_b14,art_painting,1,random,9,sketch__block_02,963,0.7014931429810107,0.6764786850213083,0.036977451786104024,8,10,1,7
pacs,dinov2_b14,art_painting,1,random,10,sketch__block_02,963,0.7014931429810107,0.6764786850213083,0.036977451786104024,8,10,1,7
pacs,dinov2_b14,art_painting,1,random,11,cartoon__block_00,596,0.6846443334468816,0.6764786850213083,0.012070814064623656,3,10,1,1
pacs,dinov2_b14,art_painting,1,random,12,sketch__block_01,976,0.6894242755507993,0.6764786850213083,0.019136730862530132,5,10,1,6
pacs,dinov2_b14,art_painting,1,random,13,cartoon__block_01,569,0.6764786850213083,0.6764786850213083,0.0,1,10,1,3
pacs,dinov2_b14,art_painting,1,random,14,photo__block_01,415,0.7144836683987246,0.6764786850213083,0.05618060734052426,9,10,1,11
pacs,dinov2_b14,art_painting,1,random,15,cartoon__block_03,595,0.685407827441301,0.6764786850213083,0.013199443851969271,4,10,1,4
pacs,dinov2_b14,art_painting,1,random,16,photo__block_02,395,0.7212186473743889,0.6764786850213083,0.06613654405337456,11,10,0,12
pacs,dinov2_b14,art_painting,1,random,17,cartoon__block_01,569,0.6764786850213083,0.6764786850213083,0.0,1,10,1,3
pacs,dinov2_b14,art_painting,1,random,18,sketch__block_01,976,0.6894242755507993,0.6764786850213083,0.019136730862530132,5,10,1,6
pacs,dinov2_b14,art_painting,1,random,19,cartoon__block_01,569,0.6764786850213083,0.6764786850213083,0.0,1,10,1,3
pacs,dinov2_b14,art_painting,1,second_moment_mmd,-1,photo__block_00,433,0.716389446887515,0.6764786850213083,0.05899781138699093,10,10,1,10
pacs,dinov2_b14,art_painting,1,size,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,1,spectrum_rank_l,-1,photo__block_02,395,0.7212186473743889,0.6764786850213083,0.06613654405337456,11,10,0,12
pacs,dinov2_b14,art_painting,1,target_a,-1,cartoon__block_00,596,0.6846443334468816,0.6764786850213083,0.012070814064623656,3,10,1,1
pacs,dinov2_b14,art_painting,1,target_energy,-1,sketch__block_00,1032,0.6994411056263172,0.6764786850213083,0.033944041569152594,7,10,1,5
pacs,dinov2_b14,art_painting,3,bayesian_d,-1,cartoon__block_02|photo__block_00|sketch__block_00,2049,0.6275187220550147,0.6211658382443358,0.010227355433187844,35,10,0,8
pacs,dinov2_b14,art_painting,3,collapse_4s,-1,cartoon__block_00|photo__block_00|sketch__block_00,2061,0.6296952604287124,0.6211658382443358,0.013731312411648638,53,10,0,3
pacs,dinov2_b14,art_painting,3,domain_balance,-1,cartoon__block_00|photo__block_00|sketch__block_00,2061,0.6296952604287124,0.6211658382443358,0.013731312411648638,53,10,0,3
pacs,dinov2_b14,art_painting,3,dpp_subspace,-1,cartoon__block_00|photo__block_00|sketch__block_00,2061,0.6296952604287124,0.6211658382443358,0.013731312411648638,53,10,0,3
pacs,dinov2_b14,art_painting,3,effective_rank,-1,cartoon__block_02|photo__block_00|sketch__block_00,2049,0.6275187220550147,0.6211658382443358,0.010227355433187844,35,10,0,8
pacs,dinov2_b14,art_painting,3,facility_subspace,-1,cartoon__block_03|photo__block_00|sketch__block_00,2060,0.6305194945440381,0.6211658382443358,0.015058227165453105,55,10,0,13
pacs,dinov2_b14,art_painting,3,kcenter_subspace,-1,cartoon__block_03|photo__block_02|sketch__block_00,2022,0.6310689721659472,0.6211658382443358,0.015942818023607974,60,10,0,54
pacs,dinov2_b14,art_painting,3,random,0,cartoon__block_00|cartoon__block_01|sketch__block_02,2128,0.6562586271407957,0.6211658382443358,0.05649504002932013,174,10,0,162
pacs,dinov2_b14,art_painting,3,random,1,cartoon__block_03|sketch__block_01|sketch__block_02,2534,0.6625295429810141,0.6211658382443358,0.0665904371907971,204,10,0,203
pacs,dinov2_b14,art_painting,3,random,2,cartoon__block_01|cartoon__block_02|sketch__block_00,2185,0.6546577227451081,0.6211658382443358,0.05391778240000104,167,10,0,139
pacs,dinov2_b14,art_painting,3,random,3,cartoon__block_01|photo__block_00|photo__block_03,1429,0.6349227074977578,0.6211658382443358,0.02214685419968434,85,10,0,94
pacs,dinov2_b14,art_painting,3,random,4,cartoon__block_02|photo__block_00|photo__block_01,1432,0.6324227350029912,0.6211658382443358,0.01812220837912125,69,10,0,95
pacs,dinov2_b14,art_painting,3,random,5,cartoon__block_02|photo__block_01|photo__block_02,1394,0.6326152801590251,0.6211658382443358,0.018432182212482984,70,10,0,113
pacs,dinov2_b14,art_painting,3,random,6,cartoon__block_01|cartoon__block_02|sketch__block_01,2129,0.6515403763313949,0.6211658382443358,0.04889924109946193,161,10,0,146
pacs,dinov2_b14,art_painting,3,random,7,photo__block_03|sketch__block_00|sketch__block_01,2435,0.6421684461028659,0.6211658382443358,0.033811595173829825,145,10,0,109
pacs,dinov2_b14,art_painting,3,random,8,photo__block_00|sketch__block_00|sketch__block_03,2423,0.6408149331561678,0.6211658382443358,0.03163260711079703,138,10,0,122
pacs,dinov2_b14,art_painting,3,random,9,cartoon__block_02|photo__block_03|sketch__block_02,1974,0.6287605600383644,0.6211658382443358,0.01222656064843228,42,10,0,27
pacs,dinov2_b14,art_painting,3,random,10,photo__block_00|photo__block_02|sketch__block_02,1791,0.6419227813075802,0.6211658382443358,0.033416105305970854,143,10,0,173
pacs,dinov2_b14,art_painting,3,random,11,cartoon__block_00|photo__block_01|sketch__block_00,2043,0.6291773346441479,0.6211658382443358,0.012897516100460131,48,10,0,6
pacs,dinov2_b14,art_painting,3,random,12,cartoon__block_03|photo__block_02|sketch__block_01,1966,0.6264109822014804,0.6211658382443358,0.008444031584173202,24,10,0,58
pacs,dinov2_b14,art_painting,3,random,13,cartoon__block_01|photo__block_03|sketch__block_01,1972,0.6253923572501509,0.6211658382443358,0.006804171681045589,18,10,0,14
pacs,dinov2_b14,art_painting,3,random,14,photo__block_00|photo__block_01|photo__block_03,1275,0.6947337345316866,0.6211658382443358,0.11843519356325721,218,10,0,217
pacs,dinov2_b14,art_painting,3,random,15,cartoon__block_02|cartoon__block_03|sketch__block_02,2142,0.6585208531559836,0.6211658382443358,0.06013694348875996,185,10,0,167
pacs,dinov2_b14,art_painting,3,random,16,cartoon__block_00|photo__block_02|sketch__block_00,2023,0.6320340684073088,0.6211658382443358,0.01749650333909377,65,10,0,37
pacs,dinov2_b14,art_painting,3,random,17,cartoon__block_01|photo__block_01|photo__block_03,1411,0.6332017459711267,0.6211658382443358,0.019376319471800272,75,10,0,96
pacs,dinov2_b14,art_painting,3,random,18,photo__block_01|sketch__block_01|sketch__block_02,2354,0.6376871472119985,0.6211658382443358,0.026597259460305386,110,10,0,165
pacs,dinov2_b14,art_painting,3,random,19,cartoon__block_01|photo__block_00|sketch__block_03,1960,0.6238004171168609,0.6211658382443358,0.004241345402978742,8,10,1,40
pacs,dinov2_b14,art_painting,3,second_moment_mmd,-1,cartoon__block_00|photo__block_00|photo__block_01,1444,0.6366691040969725,0.6211658382443358,0.024958336241502246,100,10,0,89
pacs,dinov2_b14,art_painting,3,size,-1,sketch__block_00|sketch__block_01|sketch__block_02,2971,0.6890671001341669,0.6211658382443358,0.10931261461793744,215,10,0,214
pacs,dinov2_b14,art_painting,3,spectrum_rank_l,-1,cartoon__block_02|photo__block_02|sketch__block_02,1942,0.6277998458049732,0.6211658382443358,0.010679929822586087,37,10,0,60
pacs,dinov2_b14,art_painting,3,target_a,-1,cartoon__block_00|photo__block_03|sketch__block_00,2055,0.6326458181351811,0.6211658382443358,0.018481344568613584,71,10,0,1
pacs,dinov2_b14,art_painting,3,target_energy,-1,sketch__block_00|sketch__block_01|sketch__block_03,2966,0.6854525592292413,0.6211658382443358,0.10349365181866023,214,10,0,213
pacs,dinov2_b14,art_painting,5,bayesian_d,-1,cartoon__block_02|photo__block_00|photo__block_03|sketch__block_00|sketch__block_01,3452,0.6194212148029818,0.6135398408932865,0.009585969023840938,186,10,0,73
pacs,dinov2_b14,art_painting,5,collapse_4s,-1,cartoon__block_00|cartoon__block_02|photo__block_00|sketch__block_00|sketch__block_01,3621,0.6226853911175082,0.6135398408932865,0.014906204315772205,399,10,0,124
pacs,dinov2_b14,art_painting,5,domain_balance,-1,cartoon__block_00|cartoon__block_03|photo__block_00|sketch__block_00|sketch__block_01,3632,0.6244846833883767,0.6135398408932865,0.017838845606432015,505,10,0,153
pacs,dinov2_b14,art_painting,5,dpp_subspace,-1,cartoon__block_00|cartoon__block_02|cartoon__block_03|photo__block_00|sketch__block_00,3240,0.6256400686098124,0.6135398408932865,0.01972199180889128,561,10,0,106
pacs,dinov2_b14,art_painting,5,effective_rank,-1,cartoon__block_02|photo__block_00|photo__block_01|photo__block_03|sketch__block_00,2891,0.6191568023303832,0.6135398408932865,0.009155006835283303,164,10,0,143
pacs,dinov2_b14,art_painting,5,facility_subspace,-1,cartoon__block_03|photo__block_00|photo__block_01|photo__block_02|sketch__block_00,2870,0.6207337937153826,0.6135398408932865,0.011725323023231945,266,10,0,463
pacs,dinov2_b14,art_painting,5,kcenter_subspace,-1,cartoon__block_03|photo__block_01|photo__block_02|photo__block_03|sketch__block_00,2864,0.6209853272663745,0.6135398408932865,0.012135294037706917,283,10,0,416
pacs,dinov2_b14,art_painting,5,random,0,cartoon__block_00|cartoon__block_01|photo__block_02|sketch__block_00|sketch__block_02,3555,0.6252087220320958,0.6135398408932865,0.01901894605869424,542,10,0,489
