dataset,encoder,target_domain,budget,combination_count,top_q,oracle_combination,oracle_brier,oracle_tie_count,worst_brier,target_a_combination,target_a_brier,target_a_brier_rank,target_a_in_top_q,target_a_normalized_brier_regret,proxy_best_combination,proxy_best_brier,proxy_best_brier_rank,proxy_best_normalized_brier_regret,parent_envelope_method,parent_envelope_repeat,parent_envelope_combination,parent_envelope_brier,oracle_relative_headroom_from_parent_envelope,spearman_target_a_proxy_vs_brier,mean_probe_half_relative_difference,max_probe_half_relative_difference,budget_seconds
pacs,dinov2_b14,art_painting,1,12,10,cartoon__block_01,0.6764786850213083,1,0.7218303682933587,cartoon__block_00,0.6846443334468816,3,1,0.012070814064623656,cartoon__block_00,0.6846443334468816,3,0.012070814064623656,random,0,cartoon__block_01,0.6764786850213083,0.0,0.8881118881118881,0.03652156677866988,0.05212184138008232,0.5953235141932964
pacs,dinov2_b14,art_painting,3,220,10,cartoon__block_01|photo__block_01|sketch__block_01,0.6211658382443358,1,0.6974964851164079,cartoon__block_00|photo__block_03|sketch__block_00,0.6326458181351811,71,0,0.018481344568613584,cartoon__block_00|photo__block_03|sketch__block_00,0.6326458181351811,71,0.018481344568613584,random,19,cartoon__block_01|photo__block_00|sketch__block_03,0.6238004171168609,0.004223432367521962,0.8793359742594231,0.03584548783324268,0.04869716177615089,15.228979414328933
pacs,dinov2_b14,art_painting,5,792,10,cartoon__block_01|photo__block_00|photo__block_01|photo__block_02|sketch__block_01,0.6135398408932865,1,0.6626603388090491,cartoon__block_00|cartoon__block_02|photo__block_00|photo__block_03|sketch__block_00,0.6216437928220024,327,0,0.013208517831404306,cartoon__block_00|cartoon__block_02|photo__block_00|photo__block_03|sketch__block_00,0.6216437928220024,327,0.013208517831404306,random,5,cartoon__block_02|photo__block_01|photo__block_02|photo__block_03|sketch__block_01,0.6146986295337676,0.0018851329493935007,0.6580890457286802,0.03550978175500422,0.04736918007185874,71.30318782664835
pacs,dinov2_b14,cartoon,1,12,10,sketch__block_03,0.6706562572237164,1,0.7518559632556515,sketch__block_00,0.6788795901201758,3,1,0.01226162107321749,sketch__block_00,0.6788795901201758,3,0.01226162107321749,random,9,sketch__block_01,0.6714954279273891,0.001249704270158529,0.9020979020979021,0.03889892019036263,0.051418275292207605,0.5735062919557095
pacs,dinov2_b14,cartoon,3,220,10,art_painting__block_03|photo__block_03|sketch__block_03,0.6370907641356676,1,0.7368449945125408,art_painting__block_00|sketch__block_00|sketch__block_01,0.6468183468347211,98,0,0.01526875485669734,art_painting__block_00|sketch__block_00|sketch__block_02,0.6488196786541331,112,0.018410115447801294,second_moment_mmd,-1,art_painting__block_01|photo__block_00|sketch__block_03,0.6383692677550123,0.002002764988736013,0.793513013980379,0.03836675813769219,0.05817294106983471,14.954277751967311
pacs,dinov2_b14,cartoon,5,792,10,art_painting__block_01|art_painting__block_03|photo__block_03|sketch__block_01|sketch__block_03,0.6330078267079963,1,0.6886728477923528,art_painting__block_00|art_painting__block_01|art_painting__block_03|sketch__block_00|sketch__block_01,0.6406775507171624,392,0,0.012116317817195191,art_painting__block_00|art_painting__block_01|art_painting__block_03|sketch__block_00|sketch__block_01,0.6406775507171624,392,0.012116317817195191,random,7,art_painting__block_01|art_painting__block_03|photo__block_03|sketch__block_01|sketch__block_03,0.6330078267079963,0.0,0.5652820993021197,0.03660278166230693,0.058749920888953186,69.13099115714431
pacs,dinov2_b14,photo,1,12,10,art_painting__block_00,0.688689499294452,1,0.7639436279450235,art_painting__block_00,0.688689499294452,1,1,0.0,art_painting__block_00,0.688689499294452,1,0.0,random,15,art_painting__block_00,0.688689499294452,0.0,0.8811188811188811,0.010047093091031002,0.016958525700866815,0.5969225484877825
pacs,dinov2_b14,photo,3,220,10,art_painting__block_01|art_painting__block_02|cartoon__block_02,0.6662707707101914,1,0.7653645034279976,art_painting__block_00|art_painting__block_01|art_painting__block_02,0.668131739373055,7,1,0.002793111666717763,art_painting__block_00|art_painting__block_01|art_painting__block_02,0.668131739373055,7,0.002793111666717763,random,6,art_painting__block_00|art_painting__block_01|cartoon__block_02,0.6678710923743261,0.0023961535128664687,0.810511486901495,0.01620192418379703,0.031903568268770284,14.959560859948397
pacs,dinov2_b14,photo,5,792,10,art_painting__block_00|art_painting__block_01|art_painting__block_02|cartoon__block_01|cartoon__block_02,0.6599504833519059,1,0.7331978239700322,art_painting__block_00|art_painting__block_01|art_painting__block_02|art_painting__block_03|sketch__block_00,0.6718833360271317,136,0,0.018081436374769423,art_painting__block_00|art_painting__block_01|art_painting__block_02|art_painting__block_03|sketch__block_00,0.6718833360271317,136,0.018081436374769423,second_moment_mmd,-1,art_painting__block_00|art_painting__block_01|art_painting__block_02|art_painting__block_03|cartoon__block_03,0.663837774013186,0.005855784068718745,0.8318489141788142,0.020760027792756066,0.032074985949261364,72.26560650765896
pacs,dinov2_b14,sketch,1,12,10,cartoon__block_01,0.6855344183572573,1,0.7471474522834681,cartoon__block_03,0.6889184835073725,3,1,0.0049363898580387314,cartoon__block_03,0.6889184835073725,3,0.0049363898580387314,random,13,cartoon__block_01,0.6855344183572573,0.0,0.9300699300699301,0.15704944119285774,0.22200942965397216,0.6749754007905722
pacs,dinov2_b14,sketch,3,220,10,art_painting__block_00|art_painting__block_03|cartoon__block_01,0.6670337784933424,1,0.7286101451326846,art_painting__block_03|cartoon__block_01|cartoon__block_03,0.6681756294625901,4,1,0.0017118338022203753,art_painting__block_03|cartoon__block_00|cartoon__block_01,0.6693361152622387,11,0.003451604466113585,target_a,-1,art_painting__block_03|cartoon__block_01|cartoon__block_03,0.6681756294625901,0.0017089084349964487,0.8060395688115269,0.10239920180392444,0.22076183036162836,14.415780229493976
pacs,dinov2_b14,sketch,5,792,10,art_painting__block_00|art_painting__block_02|art_painting__block_03|cartoon__block_01|cartoon__block_03,0.6657329689624749,1,0.6988128869690273,art_painting__block_02|art_painting__block_03|cartoon__block_00|cartoon__block_01|cartoon__block_03,0.667272314410601,37,0,0.002312256595200754,art_painting__block_00|art_painting__block_03|cartoon__block_00|cartoon__block_01|cartoon__block_03,0.6667428173357143,16,0.001516897044791371,second_moment_mmd,-1,art_painting__block_02|art_painting__block_03|cartoon__block_00|cartoon__block_01|cartoon__block_03,0.667272314410601,0.0023069223986698136,0.6427350878243089,0.0818971339960927,0.19580293072982155,64.08690674044192
