dataset,encoder,target_domain,budget,combination,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,target_a_proxy_estimate,target_a_proxy_first_half,target_a_proxy_second_half,target_a_proxy_half_relative_difference,squared_loss,brier_score,nll,accuracy,macro_f1,ece,brier_rank,target_a_proxy_rank,in_brier_top_q,normalized_brier_regret
pacs,resnet50,art_painting,1,cartoon__block_00,596,b0f86f43776b9fcdda1ad2153e3a7fb233f177b4b908e0cb299f0fbc5deff6bd,1415,1.0,dual,0.09666053578257561,0.6194569087960948,0.5991659382276708,0.6397478793645186,0.06551212935168994,0.5215181697197769,0.766978970921496,1.6769884783016489,0.6982332155477032,0.678846720508243,0.49878893883657544,4,1,1,0.007587505982731862
pacs,resnet50,art_painting,1,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.07404489256441593,0.6349816890624739,0.6119382381152555,0.6580251400096925,0.07257989118155915,0.5013064712001415,0.7618651315879117,1.6636527058655972,0.7229681978798587,0.7018618992994468,0.5224682798182381,3,7,1,0.0008694070315547063
pacs,resnet50,art_painting,1,cartoon__block_02,584,f6da1ce4c089a5f19569c47ba15b612e43cd91775044ee3ff6fda6000ba7ee99,1415,1.0,dual,0.07124161720275879,0.6247334925579878,0.6033751089005231,0.6460918762154528,0.068375984037649,0.5042984486617857,0.7613809917798864,1.6629996607320923,0.7095406360424028,0.6847423715840346,0.5077340098153856,2,3,1,0.00023338800077334144
pacs,resnet50,art_painting,1,cartoon__block_03,595,f9f628d428eec6d6519650f8168db85b35af2d5ecb78dab0523059ff4203ae4e,1415,1.0,dual,0.12680741772055626,0.6293620536484552,0.6067878793676099,0.6519362279293006,0.07173668685609914,0.5140177633577079,0.7612033360551025,1.6641865063804806,0.6826855123674912,0.6594980430902199,0.4791003895763922,1,5,1,0.0
pacs,resnet50,art_painting,1,photo__block_00,433,cc262b61aeab625164e76dac829392b22585e0cc42652fb900ca0c965c21e3b2,1415,1.0,dual,0.07632509246468544,0.627000584048138,0.6101774356184818,0.6438237324777945,0.05366230545126485,0.4931552216953623,0.7684178170361103,1.6851201341636328,0.7130742049469965,0.7074357796084281,0.5184322742964762,5,4,1,0.009477731690452821
pacs,resnet50,art_painting,1,photo__block_01,415,48860612660737aebc7ae8b8f40446243a3ec939aa8720ec0ac4e262af8d14a5,1415,1.0,dual,0.07335308194160461,0.6329872974379253,0.6181201746211495,0.6478544202547009,0.046974474454548186,0.5066769910158421,0.7710325426552378,1.6937246603333247,0.6826855123674912,0.6784024984750747,0.48849419501280716,7,6,1,0.012912721390679489
pacs,resnet50,art_painting,1,photo__block_02,395,3eb8ad01ac4570e6423b78af100179402d569f187fa6bd8309224db6080bc14c,1415,1.0,dual,0.0737545806914568,0.6398789241686623,0.6194294646548598,0.6603283836824647,0.06391665279606015,0.5048516977281764,0.774092117541733,1.6997893285387022,0.742756183745583,0.73363368780782,0.5521743071453317,8,8,1,0.016932113767953227
pacs,resnet50,art_painting,1,photo__block_03,427,c599d6d348075a2382c24c3244f34028e265eb4971bb816fe5199f9c961ab390,1415,1.0,dual,0.07536452822387218,0.6235987823741438,0.6073328264256156,0.639864738322672,0.052168017027233476,0.4870644450665849,0.7685189751935623,1.6849368588734703,0.7519434628975264,0.7437033217765899,0.5583843631555412,6,2,1,0.00961062411572276
pacs,resnet50,art_painting,1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,dual,0.23328134790062904,0.8140357860104184,0.7648674242186964,0.8632041478021404,0.12080147491474715,0.9144605691914709,0.8300856136759401,1.8595427363238124,0.2706713780918728,0.25951900373646203,0.08258372014551588,9,9,1,0.09049129760494291
pacs,resnet50,art_painting,1,sketch__block_01,976,5859512888918069846e37dc905c6d8634fd89f0dcfa08be1508764ff757fc6e,1415,1.0,dual,0.18597557209432125,0.8191584215059472,0.769726780504851,0.8685900625070434,0.1206888428497645,0.8910652733522842,0.8342351935421665,1.870845436332544,0.25371024734982334,0.26167755232826057,0.07282202551057394,12,11,0,0.095942639801801
