dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
pacs,resnet50,art_painting,1,bayesian_d,-1,cartoon__block_00,596,0.766978970921496,0.7612033360551025,0.007587505982731862,4,10,1,1
pacs,resnet50,art_painting,1,collapse_4s,-1,sketch__block_00,1032,0.8300856136759401,0.7612033360551025,0.09049129760494291,9,10,1,9
pacs,resnet50,art_painting,1,domain_balance,-1,sketch__block_00,1032,0.8300856136759401,0.7612033360551025,0.09049129760494291,9,10,1,9
pacs,resnet50,art_painting,1,dpp_subspace,-1,sketch__block_00,1032,0.8300856136759401,0.7612033360551025,0.09049129760494291,9,10,1,9
pacs,resnet50,art_painting,1,effective_rank,-1,sketch__block_00,1032,0.8300856136759401,0.7612033360551025,0.09049129760494291,9,10,1,9
pacs,resnet50,art_painting,1,facility_subspace,-1,sketch__block_00,1032,0.8300856136759401,0.7612033360551025,0.09049129760494291,9,10,1,9
pacs,resnet50,art_painting,1,kcenter_subspace,-1,sketch__block_00,1032,0.8300856136759401,0.7612033360551025,0.09049129760494291,9,10,1,9
pacs,resnet50,art_painting,1,random,0,cartoon__block_01,569,0.7618651315879117,0.7612033360551025,0.0008694070315547063,3,10,1,7
pacs,resnet50,art_painting,1,random,1,cartoon__block_03,595,0.7612033360551025,0.7612033360551025,0.0,1,10,1,5
pacs,resnet50,art_painting,1,random,2,cartoon__block_01,569,0.7618651315879117,0.7612033360551025,0.0008694070315547063,3,10,1,7
pacs,resnet50,art_painting,1,random,3,cartoon__block_01,569,0.7618651315879117,0.7612033360551025,0.0008694070315547063,3,10,1,7
pacs,resnet50,art_painting,1,random,4,photo__block_01,415,0.7710325426552378,0.7612033360551025,0.012912721390679489,7,10,1,6
pacs,resnet50,art_painting,1,random,5,photo__block_01,415,0.7710325426552378,0.7612033360551025,0.012912721390679489,7,10,1,6
pacs,resnet50,art_painting,1,random,6,cartoon__block_02,584,0.7613809917798864,0.7612033360551025,0.00023338800077334144,2,10,1,3
pacs,resnet50,art_painting,1,random,7,photo__block_03,427,0.7685189751935623,0.7612033360551025,0.00961062411572276,6,10,1,2
