dataset,target_domain,budget,combination_count,encoder_left,encoder_right,brier_spearman,target_a_proxy_spearman
office_home,Art,1,12,resnet50,dinov2_b14,0.4825174825174825,0.7132867132867133
office_home,Art,3,220,resnet50,dinov2_b14,0.8804257788947555,0.9746775384164587
office_home,Art,5,792,resnet50,dinov2_b14,0.9203413734097038,0.9454135738046954
office_home,Clipart,1,12,resnet50,dinov2_b14,0.965034965034965,0.7272727272727273
office_home,Clipart,3,220,resnet50,dinov2_b14,0.6535097456934685,0.7277607163183312
office_home,Clipart,5,792,resnet50,dinov2_b14,0.5931112989723175,0.8133476127818215
office_home,Product,1,12,resnet50,dinov2_b14,0.9370629370629371,0.9440559440559441
office_home,Product,3,220,resnet50,dinov2_b14,0.9059161628057679,0.9876977172706424
office_home,Product,5,792,resnet50,dinov2_b14,0.873699635632031,0.9932728908501434
office_home,Real World,1,12,resnet50,dinov2_b14,0.6153846153846154,0.986013986013986
office_home,Real World,3,220,resnet50,dinov2_b14,0.9319779334283766,0.8739816187036171
office_home,Real World,5,792,resnet50,dinov2_b14,0.8785400005478348,0.8390667072663303
pacs,art_painting,1,12,resnet50,dinov2_b14,0.4195804195804196,0.26573426573426573
pacs,art_painting,3,220,resnet50,dinov2_b14,0.6352141009675256,0.7307630322940557
pacs,art_painting,5,792,resnet50,dinov2_b14,0.24439214733716408,0.617242760141353
pacs,cartoon,1,12,resnet50,dinov2_b14,0.45454545454545453,0.5454545454545454
pacs,cartoon,3,220,resnet50,dinov2_b14,0.728822346066504,0.7852442480967864
pacs,cartoon,5,792,resnet50,dinov2_b14,0.49757462422484916,0.7547706899222931
pacs,photo,1,12,resnet50,dinov2_b14,0.8951048951048951,0.965034965034965
pacs,photo,3,220,resnet50,dinov2_b14,0.8257653708096899,0.9320579501079098
pacs,photo,5,792,resnet50,dinov2_b14,0.7601532854688231,0.9633449388273124
pacs,sketch,1,12,resnet50,dinov2_b14,0.9230769230769231,0.9090909090909091
pacs,sketch,3,220,resnet50,dinov2_b14,0.8600666054332452,0.8988915999391422
pacs,sketch,5,792,resnet50,dinov2_b14,0.7199380966245903,0.8728833910902678
