target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
clipart,bayesian_d,10,0.978021978021978,0.05,0.0003770131947298045,0.0003770131947298045,0.5069239304632303
clipart,bayesian_d,25,0.945054945054945,0.1,0.00018860943074242657,0.00018860943074242657,0.5069239304632303
clipart,bayesian_d,50,0.8901098901098901,0.2,0.00010717256520575095,0.00010717256520575095,0.5069239304632303
clipart,bayesian_d,100,0.7802197802197802,0.4,7.926431249877228e-05,7.926431249877228e-05,0.5069239304632303
clipart,bayesian_d,227,0.5010989010989011,0.95,1.2436926139254613e-05,0.0,0.5069239304632303
clipart,domain_balance,10,0.978021978021978,0.0,0.0005306876615655706,0.0005306876615655706,-0.10394533011620885
clipart,domain_balance,25,0.945054945054945,0.0,0.0004812466778229323,0.0004812466778229323,-0.10394533011620885
clipart,domain_balance,50,0.8901098901098901,0.05,0.00022536144157572126,0.00022536144157572126,-0.10394533011620885
clipart,domain_balance,100,0.7802197802197802,0.05,0.00022536144157572126,0.00022536144157572126,-0.10394533011620885
clipart,domain_balance,227,0.5010989010989011,0.15000000000000002,0.00018185147759793577,0.00018185147759793577,-0.10394533011620885
clipart,dpp_subspace,10,0.978021978021978,0.0,0.0007590740586688997,0.0007590740586688997,-0.00503149180983635
clipart,dpp_subspace,25,0.945054945054945,0.0,0.0006130191293510371,0.0006130191293510371,-0.00503149180983635
clipart,dpp_subspace,50,0.8901098901098901,0.0,0.0005777264409751936,0.0005777264409751936,-0.00503149180983635
clipart,dpp_subspace,100,0.7802197802197802,0.05,0.0004082481964983227,0.0004082481964983227,-0.00503149180983635
clipart,dpp_subspace,227,0.5010989010989011,0.2,0.00010717256520575095,0.00010717256520575095,-0.00503149180983635
clipart,merged_effective_rank,10,0.978021978021978,0.05,0.0003770131947298045,0.0003770131947298045,0.5047033247299882
clipart,merged_effective_rank,25,0.945054945054945,0.1,0.00018860943074242657,0.00018860943074242657,0.5047033247299882
clipart,merged_effective_rank,50,0.8901098901098901,0.2,0.00010717256520575095,0.00010717256520575095,0.5047033247299882
clipart,merged_effective_rank,100,0.7802197802197802,0.35,7.926431249877228e-05,7.926431249877228e-05,0.5047033247299882
clipart,merged_effective_rank,227,0.5010989010989011,0.95,1.2436926139254613e-05,0.0,0.5047033247299882
clipart,random,10,0.9780219780219779,0.020000000000000004,0.0004025796266468705,0.00039621191832727343,0.0018834510029733771
clipart,random,25,0.945054945054945,0.0475,0.0002775457786258646,0.00027518168307540786,0.0018834510029733771
clipart,random,50,0.8901098901098902,0.08750000000000002,0.00019516856234049195,0.00019122373692600906,0.0018834510029733771
clipart,random,100,0.7802197802197803,0.1825,0.00011479784707264489,0.00011283658551871096,0.0018834510029733771
clipart,random,227,0.5010989010989011,0.4575,4.8896642833447735e-05,4.264148820942367e-05,0.0018834510029733771
clipart,second_moment_mmd,10,0.978021978021978,0.1,0.00020417654045989944,0.00020417654045989944,0.5363628488367649
clipart,second_moment_mmd,25,0.945054945054945,0.30000000000000004,6.634151496986106e-05,5.9483706086350216e-05,0.5363628488367649
clipart,second_moment_mmd,50,0.8901098901098901,0.5,7.3983624242580726e-06,7.3983624242580726e-06,0.5363628488367649
clipart,second_moment_mmd,100,0.7802197802197802,0.8500000000000001,1.2436926139254613e-05,0.0,0.5363628488367649
clipart,second_moment_mmd,227,0.5010989010989011,0.95,1.2436926139254613e-05,0.0,0.5363628488367649
clipart,target_a,10,0.978021978021978,0.1,0.00017770577318287155,0.00017770577318287155,0.6202018940947761
clipart,target_a,25,0.945054945054945,0.35,7.926431249877228e-05,7.926431249877228e-05,0.6202018940947761
clipart,target_a,50,0.8901098901098901,0.45,0.0,0.0,0.6202018940947761
clipart,target_a,100,0.7802197802197802,0.7,0.0,0.0,0.6202018940947761
clipart,target_a,227,0.5010989010989011,0.95,1.2436926139254613e-05,0.0,0.6202018940947761
