seed,dimension,candidate_count,budget,target_samples,target_rank,target_moment_relative_error,strategy_id,mode,rank_cap,rank_cap_fraction,rank_schedule,fallback_to_full,selected,full_selected,selection_match,proxy_risk,full_proxy_risk,relative_proxy_risk_vs_full_greedy,true_target_risk,full_true_target_risk,relative_true_risk_vs_full_greedy,transmitted_bytes,dense_full_gram_bytes,packed_full_gram_bytes,byte_ratio_vs_dense,byte_ratio_vs_packed,selection_seconds,decomposition_seconds,certified_steps,certificate_rate,certified_comparisons,total_comparisons,pair_certificate_rate,covered_intervals,total_intervals,interval_coverage_rate,mean_selected_interval_width,sketch_bytes,full_gram_bytes,byte_ratio,uncertified_fallback_steps,mean_refinement_rounds
20260920,16,8,1,32,2,0.16204869773133138,full_gram,full_gram,,,,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,8704,16384,8704,0.53125,1.0,0.003912866115570068,0.003271114081144333,,,,,,,,,,,,,,
20260920,16,8,1,32,2,0.16204869773133138,fixed_l1,fixed_rank,1,0.0625,1,0,pool_01,pool_00,0,0.21089251974726933,0.18409133990675292,0.145586315217717,0.22882638534930816,0.20251401092821447,0.12992866172810474,1216,16384,8704,0.07421875,0.13970588235294118,0.026476459577679634,0.003271114081144333,0,0.0,0,7,0.0,8,8,1.0,0.7316363891574424,1216,16384,0.07421875,,
20260920,16,8,1,32,2,0.16204869773133138,fixed_l2,fixed_rank,2,0.125,2,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,2240,16384,8704,0.13671875,0.25735294117647056,0.026369819417595863,0.003271114081144333,0,0.0,5,7,0.7142857142857143,8,8,1.0,0.2157320663238082,2240,16384,0.13671875,,
20260920,16,8,1,32,2,0.16204869773133138,fixed_l4,fixed_rank,4,0.25,4,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,4288,16384,8704,0.26171875,0.49264705882352944,0.026255661621689796,0.003271114081144333,0,0.0,5,7,0.7142857142857143,8,8,1.0,0.16718235904004636,4288,16384,0.26171875,,
20260920,16,8,1,32,2,0.16204869773133138,fixed_l8,fixed_rank,8,0.5,8,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,8384,16384,8704,0.51171875,0.9632352941176471,0.026439839974045753,0.003271114081144333,0,0.0,6,7,0.8571428571428571,8,8,1.0,0.11334009207634402,8384,16384,0.51171875,,
20260920,16,8,1,32,2,0.16204869773133138,fixed_l16,fixed_rank,16,1.0,16,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.02669695019721985,0.003271114081144333,1,1.0,7,7,1.0,8,8,1.0,0.0,16576,16384,1.01171875,,
20260920,16,8,1,32,2,0.16204869773133138,adaptive_cap_l1,adaptive_capped,1,0.0625,1,0,pool_01,pool_00,0,0.21089251974726933,0.18409133990675292,0.145586315217717,0.22882638534930816,0.20251401092821447,0.12992866172810474,1216,16384,8704,0.07421875,0.13970588235294118,0.04611431993544102,0.003271114081144333,0,0.0,0,7,0.0,8,8,1.0,0.7316363891574424,,,,1,0.0
20260920,16,8,1,32,2,0.16204869773133138,adaptive_fallback_cap_l1,adaptive_full_fallback,1,0.0625,1,1,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.06226777657866478,0.003271114081144333,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,1.0
20260920,16,8,1,32,2,0.16204869773133138,adaptive_cap_l2,adaptive_capped,2,0.125,1|2,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,2240,16384,8704,0.13671875,0.25735294117647056,0.06074037030339241,0.003271114081144333,0,0.0,5,7,0.7142857142857143,8,8,1.0,0.2157320663238082,,,,1,1.0
20260920,16,8,1,32,2,0.16204869773133138,adaptive_fallback_cap_l2,adaptive_full_fallback,2,0.125,1|2,1,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,7616,16384,8704,0.46484375,0.875,0.07722124829888344,0.003271114081144333,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,2.0
