sample_index,sample_id,domain,class_name,class_id,relative_path,content_sha256,byte_size
0,dbec94d1fbdbea283239cdfaabca01446e216966425a84cf5cc2386688d10cdf,art_painting,dog,0,art_painting/dog/pic_001.jpg,2811e31bea0a32efbf79c1f1f2717b2e014594dd6504fc2527c4507c8ccbc002,20384
1,d798c94de984d35d8d4266dffcdb5d227e3318ed4615d2915198aa1e9fa52dff,art_painting,dog,0,art_painting/dog/pic_002.jpg,7421818367e9c316cb3fac1ca3af0bfe3e9e9c7e2b8f2e950ace0b32ad399878,38618
2,1f727a3819b2fbe2fca66a55af1d6d03541885ec9bfd3dc50fa227461df25dfe,art_painting,dog,0,art_painting/dog/pic_003.jpg,c37b1bb4d29bc534f3e9ee30d733dc3953fea66a463e19a126599ff4ceb6e199,24671
3,b2e468d3544b9bdc9da1d2ea3b55005d5c7a55945af7c8d797985ede6330c009,art_painting,dog,0,art_painting/dog/pic_004.jpg,56e74dc062a6c151dba0dc908ac6001a50ce6ff6096e19c91042ff1d3eab85bb,22971
4,e1f5e7811aa61a6e720aa9573a536c61db7da7d53fb95810526712e46ebdb025,art_painting,dog,0,art_painting/dog/pic_005.jpg,70ba2e891d943a45def9cf8ed01987c26e90ee5ea841170157a6be09f034da0f,28504
5,d1052a2f679e69f83487de86726061fade7f776ae217aa80e3bba46261fe04ac,art_painting,dog,0,art_painting/dog/pic_006.jpg,9e4a5798da2226cc6261fe372401334aefe4835f6665a8b9c0f6f8715e5f7bf7,20535
6,a694ba1b99924e0426f92e474ccc7afb75c4fbabf58455ab6c84d9e5a1b2a6da,art_painting,dog,0,art_painting/dog/pic_007.jpg,975b0fb2793c58d40e5a6b4b738d5e01439c2617be11d711e244a9f0b958783a,35866
7,18861fea13d62106479bdfc6c6278d0f93fc97f41d3ac5fc4b2ab668bdb49ce4,art_painting,dog,0,art_painting/dog/pic_008.jpg,8cab8af5a072d034f0de38d0f7f7422ed985c20f6cf81131df465b9e05775043,34816
8,7549cf4ec2f1d3710ee97a4542ad58172fb50958fe89957645690a7b5dc65c6d,art_painting,dog,0,art_painting/dog/pic_009.jpg,9b54aa40242c11193e15e8bffb5abee08d62e1e157e1783c6c1cf887e08b3359,30272
9,6b2ebceea4557e40eeb0c3b01814725653223dcb714341c99d222a27f60ed7e3,art_painting,dog,0,art_painting/dog/pic_010.jpg,993e6d48db7695ff7b432759b50b2ec69739966c3d5640de054adc92817017ec,27741
10,cb617a06e32f9d6c7b38e9c27ba371cb6efc8087c8f012593b936d9f6bfa7ca3,art_painting,dog,0,art_painting/dog/pic_011.jpg,e16714f5f6b6e16d952eb095f314d440d353d2b4110da6e7fb53aeccdf89f5f6,18769
11,5036b528c2001d37882810eed3451de430901211f1d76d2c0c1a1200a1b1aee9,art_painting,dog,0,art_painting/dog/pic_012.jpg,a66b0a37ae36d172a80d96c2d8e48fbeed6ca70619f87ef0d8784d266565795e,43816
12,8338db0f4253f18ea3f22aef6d430976699018a7a0118783a1bd685fc09c8d05,art_painting,dog,0,art_painting/dog/pic_013.jpg,4f6f2c872880347d38dd00a7f2d3575862b3b5b4c56db3fa9e6e17253bdc179a,22750
13,bf3204b99a55f5829bc35a94fa5cd53feae7ab4cbf35ff8db0d586a8f8c30c9d,art_painting,dog,0,art_painting/dog/pic_014.jpg,64643e3bece8677311a729aeb80f70eac6d0a801138e0386913e288e5ebdcfe6,36177
14,0e8c9bf1d7bdc72fc13e919d0d5e2ee356cf7f15ab5faf543b8d8ea2d762e328,art_painting,dog,0,art_painting/dog/pic_015.jpg,44b28ac413541d9f30ee926618a4a7ff2161211c62059d4c005b52b5a8e9509b,35884
15,21a7141d474a22eabea57af04bbbb4ecf93376f8edb94e3a40fc171345504290,art_painting,dog,0,art_painting/dog/pic_016.jpg,9d2a69ce83387638bd1e6036e99da00a96057a82cf9ef975f5edc95480c19ddc,25375
16,f457ef5a409cdae87337ccac44cb8eeb3b5abdf36fa6d096d6714f0e4a082114,art_painting,dog,0,art_painting/dog/pic_017.jpg,68464ebb40cce138eacd7cb3e45710f5a69eb491b8dc406e4908bf0eb1191e75,27318
17,24e2acf52b176f8157b0b7e4b8276bec37a56ffcc666043e6db76c340adfae8b,art_painting,dog,0,art_painting/dog/pic_018.jpg,c2c6b92b7a0c81622aa1eb13255d16efd2621dc83fb6961626866330ae73052f,31062
18,f48046e91caa3d4f43c14f3fb69e713a48648792a3f14171b69796f6634044e6,art_painting,dog,0,art_painting/dog/pic_019.jpg,e1ac44f76d19687da9cb633653724d754f872bdad4de6757554035fd06321790,26174
19,23eb43970aa722491a5e9712b05868a1708be19620de3c797bfa3161ec1824fc,art_painting,dog,0,art_painting/dog/pic_020.jpg,a089ac8dfb9c7cbb1eb0691850c1ff9a899d0b44f36437aa4c9b44481d4b2b62,20595
20,d7ac69536a68d06ce845ac15cff51f53acfcd47d7ef82380e8470af19dc36f3d,art_painting,dog,0,art_painting/dog/pic_021.jpg,c46e1d883ff7a0ea45f40f314f9004017ecd179a1772159ffe2215e03f200f7c,27125
21,458c908281022be0cdab9cbbe4dfc9c79bf81507b714286aafefb60c489ffaed,art_painting,dog,0,art_painting/dog/pic_022.jpg,c30f49abdc6ff9c3cd78224258af93eeedbd6307131f8c6f8298c6c9f972b5aa,27353
22,a22d539975b27bd74f2d319709d5c644ead3ac42589a2bd86e11e8b56f4423e6,art_painting,dog,0,art_painting/dog/pic_023.jpg,5f1f650b1914c5cef47b246a7546e25adfc6d8c4d5abc4dcac797f7512fa52aa,22890
23,97bd351fb8af36fbf53eef76a758a69a7239ec0a51dea2754b0fc060fe61b17d,art_painting,dog,0,art_painting/dog/pic_024.jpg,cb63ba6c309f8647ecdcb97cb73d7c5db1db67b7036e2dd5b9563d4055e4ae61,22432
24,964f0b04dc1ee76a87e36e061c769f78cec5d81f931d97311e1fc839dca07226,art_painting,dog,0,art_painting/dog/pic_025.jpg,c0ef72a5b594dc9d751920ed40c93693143e260c1477b622eebe77ce92dfd180,24001
