method,shortlist_size,unit_count,mean_shortlist_reduction,mean_true_top_q_recall,recall_ci_low,recall_ci_high,mean_selected_normalized_regret,regret_ci_low,regret_ci_high,mean_best_shortlist_normalized_regret,mean_screen_spearman_vs_test_brier,passes_reduction_gate,passes_recall_gate,passes_regret_gate,passes_all_gates
bayesian_d,10,6,0.978021978021978,0.13333333333333333,0.041666666666666664,0.26666666666666666,0.0002135736844188301,0.00011101558701823211,0.00030294045677435973,0.00020947497560630307,0.49978369551462526,1,0,1,0
bayesian_d,25,6,0.9450549450549451,0.27499999999999997,0.10833333333333332,0.4666666666666666,0.00013624436610863263,6.963831704872161e-05,0.0001942248518158078,0.00013477553995653742,0.49978369551462526,1,0,1,0
bayesian_d,50,6,0.8901098901098902,0.40833333333333327,0.17500000000000002,0.6666666666666666,8.810888613672048e-05,4.1651161592867374e-05,0.00014060529895776935,8.701512401791676e-05,0.49978369551462526,1,0,1,0
bayesian_d,100,6,0.7802197802197802,0.5583333333333333,0.2833333333333334,0.8166666666666668,5.1838528769178475e-05,1.624888457981957e-05,9.121990536022221e-05,4.643239401103978e-05,0.49978369551462526,1,0,1,0
bayesian_d,227,6,0.5010989010989011,0.8250000000000001,0.4916666666666667,1.0,2.6696118804108342e-05,2.6499448241269895e-06,5.7159925144784544e-05,1.5397364326638802e-05,0.49978369551462526,1,0,1,0
domain_balance,10,6,0.978021978021978,0.0,0.0,0.0,0.00042048375182795897,0.000284701681383569,0.0005470951101489056,0.0004138561191566196,0.06802182090264632,1,0,1,0
domain_balance,25,6,0.9450549450549451,0.0,0.0,0.0,0.0003885305577450727,0.00026502435459833723,0.0004994471533174434,0.00037956545208495373,0.06802182090264632,1,0,1,0
domain_balance,50,6,0.8901098901098902,0.025000000000000005,0.0,0.05833333333333333,0.0002108172458448502,0.00015253311812755757,0.00026726268773612363,0.00020412921617591666,0.06802182090264632,1,0,1,0
domain_balance,100,6,0.7802197802197802,0.09999999999999999,0.041666666666666664,0.16666666666666666,0.00013918493502395644,0.00010192805681486704,0.00018164432861195344,0.00013130322632863624,0.06802182090264632,1,0,1,0
domain_balance,227,6,0.5010989010989011,0.24999999999999997,0.17500000000000002,0.3333333333333333,0.00012088522806811597,7.664941617783859e-05,0.00016255749311078132,0.00011014116769253049,0.06802182090264632,1,0,1,0
