encoder,target_domain,left_metric,right_metric,spearman,top_q_overlap
dinov2_b14,clipart,brier_score,squared_loss,0.8872200834176257,0.6
dinov2_b14,clipart,brier_score,nll,0.9968234292950268,0.8
dinov2_b14,clipart,brier_score,error_rate,0.8873069831081818,0.5
dinov2_b14,clipart,squared_loss,nll,0.9049779226106608,0.5
dinov2_b14,clipart,squared_loss,error_rate,0.9208487409825534,0.3
dinov2_b14,clipart,nll,error_rate,0.9150041145627363,0.6
dinov2_b14,infograph,brier_score,squared_loss,0.8736182204069985,0.1
dinov2_b14,infograph,brier_score,nll,0.9977285640397163,1.0
dinov2_b14,infograph,brier_score,error_rate,0.8836987767445552,0.1
dinov2_b14,infograph,squared_loss,nll,0.8921390225818698,0.1
dinov2_b14,infograph,squared_loss,error_rate,0.9326931754224346,0.3
dinov2_b14,infograph,nll,error_rate,0.905356534854806,0.1
dinov2_b14,painting,brier_score,squared_loss,0.8931106570220876,0.7
dinov2_b14,painting,brier_score,nll,0.9974665144732383,1.0
dinov2_b14,painting,brier_score,error_rate,0.7863364141876269,0.1
dinov2_b14,painting,squared_loss,nll,0.9059726153744239,0.7
dinov2_b14,painting,squared_loss,error_rate,0.8486270777319018,0.1
dinov2_b14,painting,nll,error_rate,0.8214181034405345,0.1
dinov2_b14,quickdraw,brier_score,squared_loss,0.7154486945931416,0.0
dinov2_b14,quickdraw,brier_score,nll,0.9996220218455322,1.0
dinov2_b14,quickdraw,brier_score,error_rate,0.9091798796958125,0.4
dinov2_b14,quickdraw,squared_loss,nll,0.7177290481371168,0.0
dinov2_b14,quickdraw,squared_loss,error_rate,0.7673508253118356,0.4
dinov2_b14,quickdraw,nll,error_rate,0.9119414233371897,0.4
dinov2_b14,real,brier_score,squared_loss,0.8698506686913828,0.3
dinov2_b14,real,brier_score,nll,0.9970914663819834,0.7
dinov2_b14,real,brier_score,error_rate,0.8539577084068412,0.1
dinov2_b14,real,squared_loss,nll,0.8852681517416041,0.2
dinov2_b14,real,squared_loss,error_rate,0.8911808595028108,0.2
dinov2_b14,real,nll,error_rate,0.8850428219412749,0.2
dinov2_b14,sketch,brier_score,squared_loss,0.8687414486742101,0.4
dinov2_b14,sketch,brier_score,nll,0.9935053237974638,0.8
dinov2_b14,sketch,brier_score,error_rate,0.76159891565945,0.2
dinov2_b14,sketch,squared_loss,nll,0.8936120800136567,0.5
dinov2_b14,sketch,squared_loss,error_rate,0.8507895974478815,0.5
dinov2_b14,sketch,nll,error_rate,0.8233350999385701,0.3
