encoder,target_domain,metric,method,repeat,shortlist_size,empirical_recall,mean,p_lower,p_upper
dinov2_b14,clipart,brier_score,bayesian_d,-1,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,bayesian_d,-1,25,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,bayesian_d,-1,50,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,bayesian_d,-1,100,0.2,0.2860999999999999,0.2,0.4
dinov2_b14,clipart,brier_score,bayesian_d,-1,227,1.0,0.9561000000000002,0.8,1.0
dinov2_b14,clipart,brier_score,domain_balance,-1,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,domain_balance,-1,25,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,domain_balance,-1,50,0.0,0.022449999999999998,0.0,0.1
dinov2_b14,clipart,brier_score,domain_balance,-1,100,0.0,0.022449999999999998,0.0,0.1
dinov2_b14,clipart,brier_score,domain_balance,-1,227,0.1,0.10080000000000001,0.0,0.2
dinov2_b14,clipart,brier_score,dpp_subspace,-1,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,dpp_subspace,-1,25,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,dpp_subspace,-1,50,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,dpp_subspace,-1,100,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,dpp_subspace,-1,227,0.2,0.18450000000000003,0.1,0.3
dinov2_b14,clipart,brier_score,merged_effective_rank,-1,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,merged_effective_rank,-1,25,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,merged_effective_rank,-1,50,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,merged_effective_rank,-1,100,0.2,0.2860999999999999,0.2,0.4
dinov2_b14,clipart,brier_score,merged_effective_rank,-1,227,1.0,0.9561000000000002,0.8,1.0
dinov2_b14,clipart,brier_score,random,0,10,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,random,0,25,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,random,0,50,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,random,0,100,0.1,0.1468,0.1,0.3
dinov2_b14,clipart,brier_score,random,0,227,0.4,0.368,0.3,0.5
dinov2_b14,clipart,brier_score,random,1,10,0.0,0.0486,0.0,0.1
dinov2_b14,clipart,brier_score,random,1,25,0.0,0.04909999999999999,0.0,0.1
dinov2_b14,clipart,brier_score,random,1,50,0.0,0.04909999999999999,0.0,0.1
dinov2_b14,clipart,brier_score,random,1,100,0.1,0.20860000000000004,0.1,0.3
dinov2_b14,clipart,brier_score,random,1,227,0.5,0.5811499999999998,0.4,0.7
dinov2_b14,clipart,brier_score,random,2,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,2,25,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,2,50,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,2,100,0.1,0.08945000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,random,2,227,0.3,0.3029,0.2,0.4
dinov2_b14,clipart,brier_score,random,3,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,3,25,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,3,50,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,3,100,0.1,0.07579999999999999,0.0,0.1
dinov2_b14,clipart,brier_score,random,3,227,0.7,0.6497499999999999,0.5,0.7
dinov2_b14,clipart,brier_score,random,4,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,4,25,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,4,50,0.1,0.07590000000000001,0.0,0.1
dinov2_b14,clipart,brier_score,random,4,100,0.2,0.14665,0.0,0.2
dinov2_b14,clipart,brier_score,random,4,227,0.4,0.35960000000000003,0.2,0.5
dinov2_b14,clipart,brier_score,random,5,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,5,25,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,5,50,0.1,0.09735000000000002,0.0,0.1
dinov2_b14,clipart,brier_score,random,5,100,0.3,0.2814999999999999,0.2,0.3
dinov2_b14,clipart,brier_score,random,5,227,0.6,0.5691999999999999,0.4,0.7
dinov2_b14,clipart,brier_score,random,6,10,0.0,0.0,0.0,0.0
dinov2_b14,clipart,brier_score,random,6,25,0.0,0.0,0.0,0.0
