encoder,target_domain,metric,method,repeat,shortlist_size,empirical_recall,mean,p_lower,p_upper
resnet50,clipart,brier_score,bayesian_d,-1,10,0.1,0.051699999999999996,0.0,0.1
resnet50,clipart,brier_score,bayesian_d,-1,25,0.1,0.0729,0.0,0.3
resnet50,clipart,brier_score,bayesian_d,-1,50,0.3,0.22760000000000002,0.1,0.5
resnet50,clipart,brier_score,bayesian_d,-1,100,0.5,0.45605000000000007,0.3,0.7
resnet50,clipart,brier_score,bayesian_d,-1,227,0.9,0.8583500000000003,0.8,1.0
resnet50,clipart,brier_score,domain_balance,-1,10,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,domain_balance,-1,25,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,domain_balance,-1,50,0.1,0.0976,0.1,0.1
resnet50,clipart,brier_score,domain_balance,-1,100,0.1,0.0976,0.1,0.1
resnet50,clipart,brier_score,domain_balance,-1,227,0.2,0.23905,0.1,0.3
resnet50,clipart,brier_score,dpp_subspace,-1,10,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,dpp_subspace,-1,25,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,dpp_subspace,-1,50,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,dpp_subspace,-1,100,0.1,0.13020000000000004,0.1,0.2
resnet50,clipart,brier_score,dpp_subspace,-1,227,0.2,0.30469999999999997,0.2,0.4
resnet50,clipart,brier_score,merged_effective_rank,-1,10,0.1,0.051699999999999996,0.0,0.1
resnet50,clipart,brier_score,merged_effective_rank,-1,25,0.1,0.06875,0.0,0.2
resnet50,clipart,brier_score,merged_effective_rank,-1,50,0.3,0.22760000000000002,0.1,0.5
resnet50,clipart,brier_score,merged_effective_rank,-1,100,0.5,0.45605000000000007,0.3,0.7
resnet50,clipart,brier_score,merged_effective_rank,-1,227,0.9,0.8583500000000003,0.8,1.0
resnet50,clipart,brier_score,random,0,10,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,random,0,25,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,random,0,50,0.0,0.0245,0.0,0.1
resnet50,clipart,brier_score,random,0,100,0.0,0.0302,0.0,0.1
resnet50,clipart,brier_score,random,0,227,0.4,0.39890000000000003,0.3,0.6
resnet50,clipart,brier_score,random,1,10,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,random,1,25,0.0,5e-05,0.0,0.0
resnet50,clipart,brier_score,random,1,50,0.1,0.09765,0.1,0.1
resnet50,clipart,brier_score,random,1,100,0.3,0.29764999999999997,0.3,0.3
resnet50,clipart,brier_score,random,1,227,0.4,0.37075,0.3,0.5
resnet50,clipart,brier_score,random,2,10,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,random,2,25,0.0,0.016300000000000005,0.0,0.1
resnet50,clipart,brier_score,random,2,50,0.1,0.1408,0.1,0.2
resnet50,clipart,brier_score,random,2,100,0.4,0.4423000000000001,0.4,0.6
resnet50,clipart,brier_score,random,2,227,0.6,0.6031999999999998,0.5,0.7
resnet50,clipart,brier_score,random,3,10,0.1,0.0913,0.0,0.1
resnet50,clipart,brier_score,random,3,25,0.1,0.0913,0.0,0.1
resnet50,clipart,brier_score,random,3,50,0.1,0.10080000000000001,0.0,0.2
resnet50,clipart,brier_score,random,3,100,0.1,0.10080000000000001,0.0,0.2
resnet50,clipart,brier_score,random,3,227,0.3,0.32445,0.2,0.4
resnet50,clipart,brier_score,random,4,10,0.1,0.051699999999999996,0.0,0.1
resnet50,clipart,brier_score,random,4,25,0.1,0.054450000000000005,0.0,0.1
resnet50,clipart,brier_score,random,4,50,0.2,0.15280000000000005,0.1,0.2
resnet50,clipart,brier_score,random,4,100,0.5,0.39765000000000006,0.3,0.5
resnet50,clipart,brier_score,random,4,227,0.5,0.45085000000000003,0.3,0.6
resnet50,clipart,brier_score,random,5,10,0.0,0.00075,0.0,0.0
resnet50,clipart,brier_score,random,5,25,0.0,0.00075,0.0,0.0
resnet50,clipart,brier_score,random,5,50,0.1,0.10075000000000003,0.1,0.1
resnet50,clipart,brier_score,random,5,100,0.1,0.10350000000000001,0.1,0.2
resnet50,clipart,brier_score,random,5,227,0.2,0.21700000000000003,0.2,0.3
resnet50,clipart,brier_score,random,6,10,0.0,0.00075,0.0,0.0
resnet50,clipart,brier_score,random,6,25,0.0,0.01705,0.0,0.1
resnet50,clipart,brier_score,random,6,50,0.0,0.02275,0.0,0.2
resnet50,clipart,brier_score,random,6,100,0.1,0.14725,0.1,0.3
resnet50,clipart,brier_score,random,6,227,0.4,0.46170000000000005,0.4,0.5
resnet50,clipart,brier_score,random,7,10,0.0,0.0,0.0,0.0
resnet50,clipart,brier_score,random,7,25,0.0,0.048299999999999996,0.0,0.1
resnet50,clipart,brier_score,random,7,50,0.0,0.048299999999999996,0.0,0.1
resnet50,clipart,brier_score,random,7,100,0.1,0.10000000000000002,0.0,0.2
resnet50,clipart,brier_score,random,7,227,0.6,0.6113,0.5,0.7
resnet50,clipart,brier_score,random,8,10,0.0,0.048299999999999996,0.0,0.1
resnet50,clipart,brier_score,random,8,25,0.0,0.048299999999999996,0.0,0.1
resnet50,clipart,brier_score,random,8,50,0.0,0.048299999999999996,0.0,0.1
resnet50,clipart,brier_score,random,8,100,0.2,0.24994999999999998,0.1,0.3
resnet50,clipart,brier_score,random,8,227,0.5,0.5614499999999999,0.5,0.7
