encoder,target_domain,metric,combination,empirical_loss,empirical_rank,bootstrap_top_q_frequency
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|infograph__clip_pc1_middle,0.9884238715472548,287,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|painting__clip_pc1_high,0.9885576125915605,356,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|painting__clip_pc1_low,0.988480796528106,317,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|painting__clip_pc1_middle,0.9884258695035748,291,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|quickdraw__clip_pc1_high,0.9886873051942257,408,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|quickdraw__clip_pc1_low,0.9885794306524962,367,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|quickdraw__clip_pc1_middle,0.988638512807529,395,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|real__clip_pc1_high,0.98831609639383,223,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|real__clip_pc1_low,0.9880145458110005,76,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|real__clip_pc1_middle,0.988247235786996,190,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|sketch__clip_pc1_high,0.9885186218354809,336,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|sketch__clip_pc1_low,0.9881109416278769,125,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_low|sketch__clip_pc1_middle,0.9883560707737411,247,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|painting__clip_pc1_high,0.9884159930378805,278,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|painting__clip_pc1_low,0.9883556498618703,245,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|painting__clip_pc1_middle,0.9882892962116239,215,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|quickdraw__clip_pc1_high,0.9885163696065359,334,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|quickdraw__clip_pc1_low,0.9884086386326003,273,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|quickdraw__clip_pc1_middle,0.9884710218148623,313,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|real__clip_pc1_high,0.9881730728994411,151,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|real__clip_pc1_low,0.9879350054449487,44,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|real__clip_pc1_middle,0.9881161997149912,129,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|sketch__clip_pc1_high,0.9883784455095195,261,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|sketch__clip_pc1_low,0.988007517103271,71,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|infograph__clip_pc1_middle|sketch__clip_pc1_middle,0.9882192260577461,177,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|painting__clip_pc1_low,0.988451108436553,300,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|painting__clip_pc1_middle,0.9884406369929563,296,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|quickdraw__clip_pc1_high,0.9886795539573883,405,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|quickdraw__clip_pc1_low,0.9885786890942181,366,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|quickdraw__clip_pc1_middle,0.9886257281891019,388,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|real__clip_pc1_high,0.9884032793164423,271,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|real__clip_pc1_low,0.988042064348402,89,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|real__clip_pc1_middle,0.9882780114212093,205,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|sketch__clip_pc1_high,0.988528544652469,341,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|sketch__clip_pc1_low,0.988140856218597,138,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_high|sketch__clip_pc1_middle,0.9883688386521314,253,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|painting__clip_pc1_middle,0.988372823091652,255,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|quickdraw__clip_pc1_high,0.9885908871309992,373,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|quickdraw__clip_pc1_low,0.988495543718714,321,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|quickdraw__clip_pc1_middle,0.988548563673552,350,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|real__clip_pc1_high,0.9882677000491467,201,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|real__clip_pc1_low,0.9880103423503093,73,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|real__clip_pc1_middle,0.9882200828102188,179,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|sketch__clip_pc1_high,0.9884461664172739,298,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|sketch__clip_pc1_low,0.988100268576114,119,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_low|sketch__clip_pc1_middle,0.9883115968223322,219,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|quickdraw__clip_pc1_high,0.9885230164549437,338,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|quickdraw__clip_pc1_low,0.9884267818588321,292,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|quickdraw__clip_pc1_middle,0.9884806181919352,316,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|real__clip_pc1_high,0.9882845035978793,211,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|real__clip_pc1_low,0.9879443696731363,48,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|real__clip_pc1_middle,0.988185009230029,158,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|sketch__clip_pc1_high,0.9884094466227169,275,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|sketch__clip_pc1_low,0.9880565250539144,93,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|painting__clip_pc1_middle|sketch__clip_pc1_middle,0.9882618621727425,199,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|quickdraw__clip_pc1_low,0.9887409058155403,423,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|quickdraw__clip_pc1_middle,0.9887980661866176,434,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|real__clip_pc1_high,0.9884246169102162,289,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|real__clip_pc1_low,0.9881095777526745,123,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|real__clip_pc1_middle,0.988331895528114,233,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|sketch__clip_pc1_high,0.9886430542494232,397,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|sketch__clip_pc1_low,0.9881887502359051,162,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_high|sketch__clip_pc1_middle,0.9884597993360921,306,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|quickdraw__clip_pc1_middle,0.9886928911450766,412,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|real__clip_pc1_high,0.9883305367272753,232,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|real__clip_pc1_low,0.9880324342759237,85,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|real__clip_pc1_middle,0.9882508843333113,192,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|sketch__clip_pc1_high,0.9885531920268977,352,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|sketch__clip_pc1_low,0.9881099658210835,124,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_low|sketch__clip_pc1_middle,0.9883759372416425,259,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_middle|real__clip_pc1_high,0.9883790556344515,262,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_middle|real__clip_pc1_low,0.9880714137821631,104,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_middle|real__clip_pc1_middle,0.9882875163308841,213,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_middle|sketch__clip_pc1_high,0.9885924228853917,374,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_middle|sketch__clip_pc1_low,0.9881491289664304,141,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|quickdraw__clip_pc1_middle|sketch__clip_pc1_middle,0.9884198449412773,281,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_high|real__clip_pc1_low,0.9878249476493104,18,0.0075
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_high|real__clip_pc1_middle,0.988092635321544,113,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_high|sketch__clip_pc1_high,0.9883360466017054,236,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_high|sketch__clip_pc1_low,0.9879447793240974,49,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_high|sketch__clip_pc1_middle,0.9881791322008897,154,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_low|real__clip_pc1_middle,0.9878403466990773,22,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_high,0.988000272597325,67,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low,0.9877088133556997,5,0.976
resnet50,clipart,brier_score,infograph__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_middle,0.9878733556665575,26,0.0
