encoder,target_domain,metric,test_sample_count,top_q,exact_ties_at_boundary,mean,p_lower,p_upper
resnet50,clipart,brier_score,2048,10,1,0.8768500000000001,0.8,1.0
resnet50,clipart,squared_loss,2048,10,1,0.8235000000000001,0.6,1.0
resnet50,clipart,nll,2048,10,1,0.8913000000000002,0.8,1.0
resnet50,clipart,error_rate,2048,10,1,0.8829000000000001,0.7,1.0
resnet50,infograph,brier_score,2048,10,1,0.7884500000000001,0.5,1.0
resnet50,infograph,squared_loss,2048,10,1,0.8084000000000001,0.6,1.0
resnet50,infograph,nll,2048,10,1,0.7546499999999999,0.5,1.0
resnet50,infograph,error_rate,2048,10,2,0.7603,0.6,0.9
resnet50,painting,brier_score,2048,10,1,0.8447000000000002,0.7,1.0
resnet50,painting,squared_loss,2048,10,1,0.9313000000000001,0.7,1.0
resnet50,painting,nll,2048,10,1,0.8437,0.6,1.0
resnet50,painting,error_rate,2048,10,1,0.9181500000000001,0.8,1.0
resnet50,quickdraw,brier_score,2048,10,1,0.7763000000000001,0.6,0.9
resnet50,quickdraw,squared_loss,2048,10,1,0.8978000000000002,0.8,1.0
resnet50,quickdraw,nll,2048,10,1,0.78325,0.6,0.9
resnet50,quickdraw,error_rate,2048,10,3,0.5989,0.3,0.8
resnet50,real,brier_score,2048,10,1,0.8698000000000001,0.7,1.0
resnet50,real,squared_loss,2048,10,1,0.7415499999999999,0.6,0.9
resnet50,real,nll,2048,10,1,0.8741500000000001,0.7,1.0
resnet50,real,error_rate,2048,10,1,0.7079500000000001,0.5,0.9
resnet50,sketch,brier_score,2048,10,1,0.8191000000000002,0.6975000000000043,1.0
resnet50,sketch,squared_loss,2048,10,1,0.7806000000000002,0.6,1.0
resnet50,sketch,nll,2048,10,1,0.8571500000000002,0.7,1.0
resnet50,sketch,error_rate,2048,10,2,0.72415,0.5,0.9
