encoder,projection_seed,target_domain,metric,ridge_logistic_top10_overlap
resnet50,20260911,clipart,brier_score,0.8
resnet50,20260911,clipart,nll,0.6
resnet50,20260911,clipart,error_rate,0.7
resnet50,20260911,infograph,brier_score,0.5
resnet50,20260911,infograph,nll,0.3
resnet50,20260911,infograph,error_rate,0.8
resnet50,20260911,painting,brier_score,0.7
resnet50,20260911,painting,nll,0.6
resnet50,20260911,painting,error_rate,0.9
resnet50,20260911,quickdraw,brier_score,0.0
resnet50,20260911,quickdraw,nll,0.3
resnet50,20260911,quickdraw,error_rate,0.5
resnet50,20260911,real,brier_score,0.8
resnet50,20260911,real,nll,0.7
resnet50,20260911,real,error_rate,0.8
resnet50,20260911,sketch,brier_score,0.8
resnet50,20260911,sketch,nll,0.4
resnet50,20260911,sketch,error_rate,0.6
dinov2_b14,20260911,clipart,brier_score,0.7
dinov2_b14,20260911,clipart,nll,0.4
dinov2_b14,20260911,clipart,error_rate,0.7
dinov2_b14,20260911,infograph,brier_score,0.6
dinov2_b14,20260911,infograph,nll,0.4
dinov2_b14,20260911,infograph,error_rate,0.5
dinov2_b14,20260911,painting,brier_score,0.8
dinov2_b14,20260911,painting,nll,0.4
dinov2_b14,20260911,painting,error_rate,0.6
dinov2_b14,20260911,quickdraw,brier_score,0.8
dinov2_b14,20260911,quickdraw,nll,0.6
dinov2_b14,20260911,quickdraw,error_rate,0.4
dinov2_b14,20260911,real,brier_score,0.8
dinov2_b14,20260911,real,nll,0.4
dinov2_b14,20260911,real,error_rate,0.7
dinov2_b14,20260911,sketch,brier_score,0.9
dinov2_b14,20260911,sketch,nll,0.3
dinov2_b14,20260911,sketch,error_rate,0.8
resnet50,20260917,clipart,brier_score,0.8
resnet50,20260917,clipart,nll,0.4
resnet50,20260917,clipart,error_rate,0.7
resnet50,20260917,infograph,brier_score,0.7
resnet50,20260917,infograph,nll,0.6
resnet50,20260917,infograph,error_rate,0.7
resnet50,20260917,painting,brier_score,0.7
resnet50,20260917,painting,nll,0.9
resnet50,20260917,painting,error_rate,1.0
resnet50,20260917,quickdraw,brier_score,0.1
resnet50,20260917,quickdraw,nll,0.4
resnet50,20260917,quickdraw,error_rate,0.4
resnet50,20260917,real,brier_score,0.8
resnet50,20260917,real,nll,0.8
resnet50,20260917,real,error_rate,0.8
resnet50,20260917,sketch,brier_score,0.8
resnet50,20260917,sketch,nll,0.3
resnet50,20260917,sketch,error_rate,0.6
dinov2_b14,20260917,clipart,brier_score,0.8
dinov2_b14,20260917,clipart,nll,0.4
dinov2_b14,20260917,clipart,error_rate,0.6
dinov2_b14,20260917,infograph,brier_score,0.6
dinov2_b14,20260917,infograph,nll,0.4
dinov2_b14,20260917,infograph,error_rate,0.5
dinov2_b14,20260917,painting,brier_score,0.8
dinov2_b14,20260917,painting,nll,0.3
dinov2_b14,20260917,painting,error_rate,0.6
dinov2_b14,20260917,quickdraw,brier_score,0.7
dinov2_b14,20260917,quickdraw,nll,0.7
dinov2_b14,20260917,quickdraw,error_rate,0.7
dinov2_b14,20260917,real,brier_score,0.8
dinov2_b14,20260917,real,nll,0.4
dinov2_b14,20260917,real,error_rate,0.9
dinov2_b14,20260917,sketch,brier_score,0.9
dinov2_b14,20260917,sketch,nll,0.6
dinov2_b14,20260917,sketch,error_rate,0.7
resnet50,20260918,clipart,brier_score,0.8
resnet50,20260918,clipart,nll,0.5
resnet50,20260918,clipart,error_rate,0.6
resnet50,20260918,infograph,brier_score,0.6
resnet50,20260918,infograph,nll,0.4
resnet50,20260918,infograph,error_rate,0.7
resnet50,20260918,painting,brier_score,0.9
resnet50,20260918,painting,nll,0.9
