readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
logistic,brier_score,exhaustive,455,6,48,0.8641176131052969,0.8632587029736835,0.8641176131052969,0.0,0.0,1.0,0.0
logistic,brier_score,random,10,6,48,0.8836478457943091,0.8632587029736835,0.8641176131052967,0.01953023268901238,0.02007565401291452,0.023541666666666666,0.043921198130015146
logistic,brier_score,random,25,6,48,0.876177893627797,0.8632587029736835,0.8641176131052967,0.012060280522500291,0.012532955757244751,0.0546875,0.02581802023351342
logistic,brier_score,random,50,6,48,0.8718641202887779,0.8632587029736835,0.8641176131052967,0.007746507183481179,0.008169421920759258,0.1084375,0.021050069946819055
logistic,brier_score,random,100,6,48,0.8688281181609435,0.8632587029736835,0.8641176131052967,0.004710505055646869,0.005029529286174217,0.21666666666666667,0.01718164953460205
logistic,brier_score,random,227,6,48,0.8660295934406202,0.8632587029736835,0.8641176131052967,0.0019119803353234586,0.0020879802508660095,0.4896875,0.007443471778281063
logistic,brier_score,second_moment_mmd,10,6,48,0.8663335750193676,0.8632587029736835,0.8641176131052969,0.00221596191407084,0.002589352146647475,0.30624999999999997,0.01298187578421639
logistic,brier_score,second_moment_mmd,25,6,48,0.8651558783262906,0.8632587029736835,0.8641176131052969,0.001038265220993817,0.001109890924880878,0.5145833333333334,0.009850913607065581
logistic,brier_score,second_moment_mmd,50,6,48,0.864365468782961,0.8632587029736835,0.8641176131052969,0.0002478556776642886,0.0003132386391876338,0.7583333333333333,0.006036765064260874
logistic,brier_score,second_moment_mmd,100,6,48,0.8640731009424677,0.8632587029736835,0.8641176131052969,-4.4512162828816426e-05,4.4046238189020724e-05,0.9020833333333332,0.0
logistic,brier_score,second_moment_mmd,227,6,48,0.8641014034738523,0.8632587029736835,0.8641176131052969,-1.6209631444302763e-05,0.0,0.9895833333333334,0.0
logistic,brier_score,target_a,10,6,48,0.8680082047321411,0.8632587029736835,0.8641176131052969,0.0038905916268444155,0.004372807797634294,0.24583333333333332,0.015021259973553747
logistic,brier_score,target_a,25,6,48,0.8658514682151957,0.8632587029736835,0.8641176131052969,0.0017338551098988718,0.0021658536159549374,0.46249999999999997,0.01197736130287208
logistic,brier_score,target_a,50,6,48,0.8645111114255669,0.8632587029736835,0.8641176131052969,0.0003934983202702122,0.0003757768251094103,0.65625,0.0055594204017412885
logistic,brier_score,target_a,100,6,48,0.86425707317491,0.8632587029736835,0.8641176131052969,0.0001394600696131588,6.884308335769936e-05,0.8708333333333335,0.0029595604190171265
logistic,brier_score,target_a,227,6,48,0.8641014034738523,0.8632587029736835,0.8641176131052969,-1.6209631444302763e-05,0.0,0.9833333333333334,0.0
logistic,error_rate,exhaustive,455,6,48,0.6330769856770834,0.6259053548177084,0.6330769856770834,0.0,0.0,1.0,0.0
logistic,error_rate,random,10,6,48,0.6688415527343751,0.6259053548177084,0.6330769856770834,0.03576456705729166,0.04092814127604167,0.023124999999999996,0.0728759765625
logistic,error_rate,random,25,6,48,0.6556935628255207,0.6259053548177084,0.6330769856770834,0.022616577148437497,0.026598612467447918,0.05739583333333334,0.055078125
logistic,error_rate,random,50,6,48,0.6508377075195312,0.6259053548177084,0.6330769856770834,0.017760721842447917,0.01990814208984375,0.11072916666666667,0.0483642578125
logistic,error_rate,random,100,6,48,0.644629414876302,0.6259053548177084,0.6330769856770834,0.01155242919921875,0.013471476236979167,0.2147916666666667,0.0349365234375
logistic,error_rate,random,227,6,48,0.6381657918294271,0.6259053548177084,0.6330769856770834,0.005088806152343749,0.006143188476562499,0.4904166666666667,0.0215576171875
logistic,error_rate,second_moment_mmd,10,6,48,0.6454874674479166,0.6259053548177084,0.6330769856770834,0.012410481770833334,0.016123453776041668,0.18125,0.04443359375
logistic,error_rate,second_moment_mmd,25,6,48,0.636474609375,0.6259053548177084,0.6330769856770834,0.0033976236979166665,0.0069580078125,0.3812499999999999,0.03271484375
logistic,error_rate,second_moment_mmd,50,6,48,0.6344706217447916,0.6259053548177084,0.6330769856770834,0.0013936360677083333,0.003814697265625,0.6145833333333334,0.02197265625
logistic,error_rate,second_moment_mmd,100,6,48,0.6318257649739584,0.6259053548177084,0.6330769856770834,-0.001251220703125,0.000579833984375,0.8666666666666666,0.001953125
logistic,error_rate,second_moment_mmd,227,6,48,0.6329243977864584,0.6259053548177084,0.6330769856770834,-0.000152587890625,0.0,0.9791666666666666,0.0
logistic,error_rate,target_a,10,6,48,0.6419779459635416,0.6259053548177084,0.6330769856770834,0.008900960286458334,0.011881510416666666,0.19791666666666666,0.06689453125
logistic,error_rate,target_a,25,6,48,0.6345316569010416,0.6259053548177084,0.6330769856770834,0.0014546712239583333,0.0035400390625,0.4145833333333333,0.02099609375
logistic,error_rate,target_a,50,6,48,0.63330078125,0.6259053548177084,0.6330769856770834,0.00022379557291666666,0.0017191569010416667,0.6229166666666667,0.01953125
logistic,error_rate,target_a,100,6,48,0.6327107747395834,0.6259053548177084,0.6330769856770834,-0.0003662109375,0.0007731119791666666,0.8250000000000001,0.00927734375
logistic,error_rate,target_a,227,6,48,0.632843017578125,0.6259053548177084,0.6330769856770834,-0.00023396809895833334,0.0,0.9729166666666668,0.0
logistic,nll,exhaustive,455,6,48,3.412983666380182,3.4074871295253217,3.412983666380182,0.0,0.0,1.0,0.0
logistic,nll,random,10,6,48,3.5677495832653676,3.4074871295253217,3.4129836663801814,0.15476591688518607,0.15264606458449012,0.022604166666666665,0.26906322800017757
logistic,nll,random,25,6,48,3.5040300816663916,3.4074871295253217,3.4129836663801814,0.09104641528621053,0.09211936954385873,0.05364583333333334,0.17987906041578264
logistic,nll,random,50,6,48,3.47054008386308,3.4074871295253217,3.4129836663801814,0.0575564174828993,0.058549772583926636,0.1075,0.12885565940554877
