readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
logistic,brier_score,exhaustive,455,0.001,0.0,0.0,6
logistic,brier_score,exhaustive,455,0.005,0.0,0.0,6
logistic,brier_score,exhaustive,455,0.01,0.0,0.0,6
logistic,brier_score,random,10,0.001,0.9302083333333334,0.98125,6
logistic,brier_score,random,10,0.005,0.7739583333333333,0.95,6
logistic,brier_score,random,10,0.01,0.6291666666666667,0.95,6
logistic,brier_score,random,25,0.001,0.86875,0.925,6
logistic,brier_score,random,25,0.005,0.6552083333333333,0.925,6
logistic,brier_score,random,25,0.01,0.47604166666666664,0.89375,6
logistic,brier_score,random,50,0.001,0.7666666666666666,0.85,6
logistic,brier_score,random,50,0.005,0.49895833333333334,0.85,6
logistic,brier_score,random,50,0.01,0.325,0.76875,6
logistic,brier_score,random,100,0.001,0.6166666666666667,0.8,6
logistic,brier_score,random,100,0.005,0.325,0.7875000000000001,6
logistic,brier_score,random,100,0.01,0.18958333333333333,0.6749999999999999,6
logistic,brier_score,random,227,0.001,0.3489583333333333,0.575,6
logistic,brier_score,random,227,0.005,0.1552083333333333,0.54375,6
logistic,brier_score,random,227,0.01,0.05833333333333333,0.28125,6
logistic,brier_score,second_moment_mmd,10,0.001,0.375,0.875,6
logistic,brier_score,second_moment_mmd,10,0.005,0.22916666666666666,0.75,6
logistic,brier_score,second_moment_mmd,10,0.01,0.08333333333333333,0.375,6
logistic,brier_score,second_moment_mmd,25,0.001,0.22916666666666666,0.75,6
logistic,brier_score,second_moment_mmd,25,0.005,0.10416666666666667,0.375,6
logistic,brier_score,second_moment_mmd,25,0.01,0.0,0.0,6
logistic,brier_score,second_moment_mmd,50,0.001,0.0625,0.375,6
logistic,brier_score,second_moment_mmd,50,0.005,0.020833333333333332,0.125,6
logistic,brier_score,second_moment_mmd,50,0.01,0.0,0.0,6
logistic,brier_score,second_moment_mmd,100,0.001,0.0,0.0,6
logistic,brier_score,second_moment_mmd,100,0.005,0.0,0.0,6
logistic,brier_score,second_moment_mmd,100,0.01,0.0,0.0,6
