readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,brier_score,second_moment_mmd,10,exhaustive,455,clipart,0.007578104888130821
logistic,brier_score,second_moment_mmd,10,exhaustive,455,infograph,0.004293054643477373
logistic,brier_score,second_moment_mmd,10,exhaustive,455,painting,0.0005141971687414731
logistic,brier_score,second_moment_mmd,10,exhaustive,455,quickdraw,0.0009463230282041324
logistic,brier_score,second_moment_mmd,10,exhaustive,455,real,0.0
logistic,brier_score,second_moment_mmd,10,exhaustive,455,sketch,-3.5908244128760036e-05
logistic,brier_score,second_moment_mmd,10,random,10,clipart,-0.01660812838282376
logistic,brier_score,second_moment_mmd,10,random,10,infograph,-0.006904934116655728
logistic,brier_score,second_moment_mmd,10,random,10,painting,-0.029846571461313948
logistic,brier_score,second_moment_mmd,10,random,10,quickdraw,-0.0023892475826326753
logistic,brier_score,second_moment_mmd,10,random,10,real,-0.03367501898950946
logistic,brier_score,second_moment_mmd,10,random,10,sketch,-0.014461724116713634
logistic,brier_score,second_moment_mmd,10,random,227,clipart,0.005742993660083212
logistic,brier_score,second_moment_mmd,10,random,227,infograph,0.0035255017084487167
logistic,brier_score,second_moment_mmd,10,random,227,painting,-0.0012022942971518652
logistic,brier_score,second_moment_mmd,10,random,227,quickdraw,0.00015881947309068223
logistic,brier_score,second_moment_mmd,10,random,227,real,-0.006309427342752
logistic,brier_score,second_moment_mmd,10,random,227,sketch,-9.170372923444914e-05
logistic,brier_score,second_moment_mmd,25,exhaustive,455,clipart,0.0021124965457938044
logistic,brier_score,second_moment_mmd,25,exhaustive,455,infograph,0.0040502145661649586
logistic,brier_score,second_moment_mmd,25,exhaustive,455,painting,0.0
logistic,brier_score,second_moment_mmd,25,exhaustive,455,quickdraw,0.00032601471735360654
logistic,brier_score,second_moment_mmd,25,exhaustive,455,real,0.0
logistic,brier_score,second_moment_mmd,25,exhaustive,455,sketch,-0.0002591345033494674
logistic,brier_score,second_moment_mmd,25,random,25,clipart,-0.014615629518705639
logistic,brier_score,second_moment_mmd,25,random,25,infograph,-0.0024340642035516336
logistic,brier_score,second_moment_mmd,25,random,25,painting,-0.01368663103460993
logistic,brier_score,second_moment_mmd,25,random,25,quickdraw,-0.002140327578252943
logistic,brier_score,second_moment_mmd,25,random,25,real,-0.02383006673181423
logistic,brier_score,second_moment_mmd,25,random,25,sketch,-0.009425372742104254
logistic,brier_score,second_moment_mmd,25,random,227,clipart,0.00027738531774619546
logistic,brier_score,second_moment_mmd,25,random,227,infograph,0.003282661631136302
logistic,brier_score,second_moment_mmd,25,random,227,painting,-0.0017164914658933383
logistic,brier_score,second_moment_mmd,25,random,227,quickdraw,-0.0004614888377598436
logistic,brier_score,second_moment_mmd,25,random,227,real,-0.006309427342752
logistic,brier_score,second_moment_mmd,25,random,227,sketch,-0.0003149299884551565
logistic,brier_score,second_moment_mmd,50,exhaustive,455,clipart,0.0
logistic,brier_score,second_moment_mmd,50,exhaustive,455,infograph,0.0015057413934828484
logistic,brier_score,second_moment_mmd,50,exhaustive,455,painting,0.0
logistic,brier_score,second_moment_mmd,50,exhaustive,455,quickdraw,-4.938033252310792e-05
logistic,brier_score,second_moment_mmd,50,exhaustive,455,real,0.0
logistic,brier_score,second_moment_mmd,50,exhaustive,455,sketch,3.077300502599134e-05
logistic,brier_score,second_moment_mmd,50,random,50,clipart,-0.01101538287241012
logistic,brier_score,second_moment_mmd,50,random,50,infograph,-0.001966459677650842
logistic,brier_score,second_moment_mmd,50,random,50,painting,-0.007121047631000285
logistic,brier_score,second_moment_mmd,50,random,50,quickdraw,-0.0022158568344641527
logistic,brier_score,second_moment_mmd,50,random,50,real,-0.016572173208324784
logistic,brier_score,second_moment_mmd,50,random,50,sketch,-0.0061009888110512
logistic,brier_score,second_moment_mmd,50,random,227,clipart,-0.001835111228047609
logistic,brier_score,second_moment_mmd,50,random,227,infograph,0.000738188458454192
logistic,brier_score,second_moment_mmd,50,random,227,painting,-0.0017164914658933383
logistic,brier_score,second_moment_mmd,50,random,227,quickdraw,-0.0008368838876365581
logistic,brier_score,second_moment_mmd,50,random,227,real,-0.006309427342752
logistic,brier_score,second_moment_mmd,50,random,227,sketch,-2.5022480079697762e-05
logistic,brier_score,second_moment_mmd,100,exhaustive,455,clipart,0.0
logistic,brier_score,second_moment_mmd,100,exhaustive,455,infograph,0.0
logistic,brier_score,second_moment_mmd,100,exhaustive,455,painting,0.0
logistic,brier_score,second_moment_mmd,100,exhaustive,455,quickdraw,-9.725778866581658e-05
logistic,brier_score,second_moment_mmd,100,exhaustive,455,real,0.0
logistic,brier_score,second_moment_mmd,100,exhaustive,455,sketch,-0.00016981518830708198
