readout,metric,method,shortlist_size,comparator,comparator_budget,paired_loss_difference,descriptive_domain_bootstrap_low,descriptive_domain_bootstrap_high,domains_better,domains_worse,domain_count
logistic,brier_score,second_moment_mmd,10,exhaustive,455,0.00221596191407084,0.00024497955197728006,0.00467256228444896,1,4,6
logistic,brier_score,second_moment_mmd,10,random,10,-0.017314270774941534,-0.02573078182155364,-0.008276369316352367,6,0,6
logistic,brier_score,second_moment_mmd,10,random,227,0.0003039815787473828,-0.002661535667079345,0.003292216127440605,3,3,6
logistic,brier_score,second_moment_mmd,25,exhaustive,455,0.001038265220993817,-3.204238155755471e-05,0.002388336743048803,1,3,6
logistic,brier_score,second_moment_mmd,25,random,25,-0.01102201530150644,-0.017144855037789897,-0.005425753994270338,6,0,6
logistic,brier_score,second_moment_mmd,25,random,227,-0.0008737151143296401,-0.0033610316153718073,0.0012802796112689105,4,2,6
logistic,brier_score,second_moment_mmd,50,exhaustive,455,0.0002478556776642886,-1.95613320905554e-05,0.0007528706967414242,1,2,6
logistic,brier_score,second_moment_mmd,50,random,50,-0.007498651505816897,-0.011846610419662534,-0.0037262218549028747,6,0,6
logistic,brier_score,second_moment_mmd,50,random,227,-0.0016641246576591686,-0.003719756878237076,-0.00011908385470410155,5,1,6
logistic,brier_score,second_moment_mmd,100,exhaustive,455,-4.4512162828816426e-05,-0.00010111722559784375,0.0,2,0,6
logistic,brier_score,second_moment_mmd,100,random,100,-0.004755017218475675,-0.008497272270894259,-0.0020226175831379264,6,0,6
logistic,brier_score,second_moment_mmd,100,random,227,-0.0019564924981522736,-0.0037644792722425747,-0.0007450619363008082,6,0,6
logistic,brier_score,second_moment_mmd,227,exhaustive,455,-1.6209631444302763e-05,-4.862889433290829e-05,0.0,1,0,6
logistic,brier_score,second_moment_mmd,227,random,227,-0.0019281899667677599,-0.0038743377173036573,-0.0007075308977501337,6,0,6
logistic,brier_score,target_a,10,exhaustive,455,0.0038905916268444155,0.0020063331265936144,0.005872638646513367,0,5,6
logistic,brier_score,target_a,10,random,10,-0.015639641062167958,-0.02526391896233537,-0.006015363162000548,5,1,6
logistic,brier_score,target_a,10,random,227,0.0019786112915209583,-0.0016527004494043286,0.004766745566033272,1,5,6
logistic,brier_score,target_a,25,exhaustive,455,0.0017338551098988718,0.0006775507005990893,0.0027963427223823786,0,4,6
logistic,brier_score,target_a,25,random,25,-0.010326425412601384,-0.017367418358701193,-0.003977183303958166,5,1,6
logistic,brier_score,target_a,25,random,227,-0.00017812522542458528,-0.002968125091429743,0.0022645072975227493,3,3,6
logistic,brier_score,target_a,50,exhaustive,455,0.0003934983202702122,-7.14867497941853e-05,0.0010187888615963033,1,2,6
logistic,brier_score,target_a,50,random,50,-0.0073530088632109735,-0.011641791181158725,-0.00341729143580508,6,0,6
logistic,brier_score,target_a,50,random,227,-0.001518482015053245,-0.003516937229799159,2.2950290945455976e-05,5,1,6
logistic,brier_score,target_a,100,exhaustive,455,0.0001394600696131588,0.0,0.0003726529186216775,0,2,6
logistic,brier_score,target_a,100,random,100,-0.0045710449860337,-0.008263051156668623,-0.0017276800925409377,6,0,6
logistic,brier_score,target_a,100,random,227,-0.0017725202657102983,-0.003677339437537286,-0.00043572548276182843,6,0,6
logistic,brier_score,target_a,227,exhaustive,455,-1.6209631444302763e-05,-4.862889433290829e-05,0.0,1,0,6
logistic,brier_score,target_a,227,random,227,-0.0019281899667677599,-0.003755946701217106,-0.0006679730597968053,6,0,6
logistic,error_rate,second_moment_mmd,10,exhaustive,455,0.012410481770833334,0.005533854166666667,0.020451100667317684,0,6,6
logistic,error_rate,second_moment_mmd,10,random,10,-0.02335408528645834,-0.03578135172526042,-0.010970954895019543,6,0,6
logistic,error_rate,second_moment_mmd,10,random,227,0.007321675618489582,0.001546961466471351,0.014117635091145829,1,5,6
logistic,error_rate,second_moment_mmd,25,exhaustive,455,0.0033976236979166665,-0.001495361328125,0.008555094401041666,3,3,6
logistic,error_rate,second_moment_mmd,25,random,25,-0.019218953450520833,-0.02911936442057292,-0.009275309244791667,6,0,6
logistic,error_rate,second_moment_mmd,25,random,227,-0.0016911824544270846,-0.006789499918619787,0.003829447428385416,4,2,6
logistic,error_rate,second_moment_mmd,50,exhaustive,455,0.0013936360677083333,-0.0010782877604166667,0.004048665364583333,2,4,6
logistic,error_rate,second_moment_mmd,50,random,50,-0.01636708577473958,-0.024173762003580727,-0.007707214355468748,6,0,6
logistic,error_rate,second_moment_mmd,50,random,227,-0.003695170084635418,-0.007182655334472662,0.00021914164225259486,5,1,6
logistic,error_rate,second_moment_mmd,100,exhaustive,455,-0.001251220703125,-0.002960205078125,0.0,2,0,6
logistic,error_rate,second_moment_mmd,100,random,100,-0.01280364990234375,-0.017674763997395836,-0.00830230712890625,6,0,6
logistic,error_rate,second_moment_mmd,100,random,227,-0.006340026855468751,-0.00823974609375,-0.004509811401367193,6,0,6
logistic,error_rate,second_moment_mmd,227,exhaustive,455,-0.000152587890625,-0.000457763671875,0.0,1,0,6
logistic,error_rate,second_moment_mmd,227,random,227,-0.005241394042968751,-0.007937622070312499,-0.0025572204589843816,6,0,6
logistic,error_rate,target_a,10,exhaustive,455,0.008900960286458334,0.002729543050130209,0.015655517578125,1,5,6
logistic,error_rate,target_a,10,random,10,-0.02686360677083334,-0.04383799235026042,-0.010043843587239596,5,1,6
logistic,error_rate,target_a,10,random,227,0.003812154134114582,-0.004120890299479166,0.010149396260579419,2,4,6
logistic,error_rate,target_a,25,exhaustive,455,0.0014546712239583333,0.0002950032552083333,0.0028483072916666665,1,4,6
logistic,error_rate,target_a,25,random,25,-0.02116190592447917,-0.0313705825805664,-0.009962158203125009,5,1,6
logistic,error_rate,target_a,25,random,227,-0.003634134928385418,-0.007174224853515627,5.238850911458079e-05,4,2,6
logistic,error_rate,target_a,50,exhaustive,455,0.00022379557291666666,-0.000396728515625,0.0008349100748697875,1,2,6
logistic,error_rate,target_a,50,random,50,-0.01753692626953125,-0.02585550944010416,-0.009000651041666667,6,0,6
logistic,error_rate,target_a,50,random,227,-0.004865010579427085,-0.008080711364746095,-0.0015645345052083374,4,2,6
logistic,error_rate,target_a,100,exhaustive,455,-0.0003662109375,-0.0010986328125,0.0,1,0,6
logistic,error_rate,target_a,100,random,100,-0.01191864013671875,-0.017492675781250005,-0.006480916341145834,6,0,6
logistic,error_rate,target_a,100,random,227,-0.005455017089843751,-0.008282470703125001,-0.0026062011718750028,6,0,6
logistic,error_rate,target_a,227,exhaustive,455,-0.00023396809895833334,-0.000701904296875,0.0,1,0,6
logistic,error_rate,target_a,227,random,227,-0.005322774251302085,-0.008040428161621092,-0.0027079264322916693,6,0,6
logistic,nll,second_moment_mmd,10,exhaustive,455,0.029738819951492395,0.012256053961476951,0.047764085427617405,0,5,6
logistic,nll,second_moment_mmd,10,random,10,-0.12502709693369377,-0.17961498660343125,-0.07070025022101624,6,0,6
logistic,nll,second_moment_mmd,10,random,227,0.019445590816505015,0.0011613263497652997,0.038991439215149755,1,5,6
logistic,nll,second_moment_mmd,25,exhaustive,455,0.010207887968617204,0.0017999244765929216,0.020595805913829323,1,4,6
logistic,nll,second_moment_mmd,25,random,25,-0.08083852731759329,-0.11181616988057562,-0.048841722227906254,6,0,6
logistic,nll,second_moment_mmd,25,random,227,-8.534116637017493e-05,-0.01012712960081282,0.012262059413351742,4,2,6
logistic,nll,second_moment_mmd,50,exhaustive,455,0.0020443263491768484,-0.0007166935430230245,0.005255918204936577,2,3,6
logistic,nll,second_moment_mmd,50,random,50,-0.0555120911337226,-0.07466242224767217,-0.03835415351104356,6,0,6
logistic,nll,second_moment_mmd,50,random,227,-0.00824890278581053,-0.013200704187333545,-0.0034254061426318427,5,1,6
