construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,logistic,brier_score,domain_moment,10,6,12,0.867050803099818,0.8617376828881915,0.8629920182713763,0.004058784828441696,0.004788197764333257,0.225,0.028002986718953404
original,logistic,brier_score,domain_moment,25,6,12,0.8655875654496451,0.8617376828881915,0.8629920182713763,0.0025955471782688477,0.0035035816914395315,0.39999999999999997,0.028002986718953404
original,logistic,brier_score,domain_moment,50,6,12,0.8638926772970216,0.8617376828881915,0.8629920182713763,0.0009006590256453173,0.0009467722490856626,0.6166666666666667,0.011067712244664962
original,logistic,brier_score,domain_moment,100,6,12,0.8638350966680362,0.8617376828881915,0.8629920182713763,0.000843078396659804,0.0008453723626190476,0.775,0.009850913607065581
original,logistic,brier_score,domain_moment,227,6,12,0.8629920182713763,0.8617376828881915,0.8629920182713763,0.0,0.0,0.9916666666666667,0.0
original,logistic,brier_score,exhaustive,455,6,12,0.8629920182713763,0.8617376828881915,0.8629920182713763,0.0,0.0,1.0,0.0
original,logistic,brier_score,mean_matching,10,6,12,0.8690650833334433,0.8617376828881915,0.8629920182713763,0.0060730650620669695,0.006865794804685299,0.2333333333333333,0.03231383723654979
original,logistic,brier_score,mean_matching,25,6,12,0.8659701542183701,0.8617376828881915,0.8629920182713763,0.0029781359469938373,0.0033059075642645854,0.4083333333333334,0.012691265402563712
original,logistic,brier_score,mean_matching,50,6,12,0.8637134895191778,0.8617376828881915,0.8629920182713763,0.0007214712478015214,0.0010713496410733696,0.6166666666666666,0.0081263615185454
original,logistic,brier_score,mean_matching,100,6,12,0.8627236745041622,0.8617376828881915,0.8629920182713763,-0.0002683437672141298,0.0002565174122022655,0.7999999999999999,0.0019446674267049602
original,logistic,brier_score,mean_matching,227,6,12,0.8629481990138953,0.8617376828881915,0.8629920182713763,-4.381925748110175e-05,0.0,0.9416666666666668,0.0
original,logistic,brier_score,random,10,6,12,0.8817658380093855,0.8617376828881915,0.8629920182713763,0.018773819738008974,0.019720382155823193,0.024583333333333336,0.04080918074408252
original,logistic,brier_score,random,25,6,12,0.8743076155512419,0.8617376828881915,0.8629920182713763,0.01131559727986574,0.012105957993473354,0.05416666666666667,0.025176340755557792
original,logistic,brier_score,random,50,6,12,0.870013403517274,0.8617376828881915,0.8629920182713763,0.007021385245897506,0.007809390356690608,0.1054166666666667,0.018702464120884017
original,logistic,brier_score,random,100,6,12,0.8670966534343655,0.8617376828881915,0.8629920182713763,0.004104635162989103,0.004811459833156013,0.2066666666666667,0.014677062883634217
original,logistic,brier_score,random,227,6,12,0.8645016387438146,0.8617376828881915,0.8629920182713763,0.0015096204724382738,0.001921358392766999,0.4916666666666667,0.006539423719291277
original,logistic,brier_score,second_moment_mmd,10,6,12,0.8655442987421805,0.8617376828881915,0.8629920182713763,0.002552280470804117,0.0027939068672036362,0.30833333333333335,0.012691265402563712
original,logistic,brier_score,second_moment_mmd,25,6,12,0.864041468926184,0.8617376828881915,0.8629920182713763,0.0010494506548076876,0.0014499370321064131,0.5166666666666667,0.009850913607065581
original,logistic,brier_score,second_moment_mmd,50,6,12,0.8631102546327872,0.8617376828881915,0.8629920182713763,0.00011823636141097826,0.0001643495848513236,0.7416666666666667,0.0019446674267049602
original,logistic,brier_score,second_moment_mmd,100,6,12,0.8629920182713763,0.8617376828881915,0.8629920182713763,0.0,0.0,0.9416666666666665,0.0
original,logistic,brier_score,second_moment_mmd,227,6,12,0.8629920182713763,0.8617376828881915,0.8629920182713763,0.0,0.0,0.9916666666666667,0.0
original,logistic,brier_score,target_a,10,6,12,0.8660302279696338,0.8617376828881915,0.8629920182713763,0.003038209698257558,0.003648456731198263,0.26666666666666666,0.014994522552521206
original,logistic,brier_score,target_a,25,6,12,0.8646079127470375,0.8617376828881915,0.8629920182713763,0.001615894475661267,0.002107673885172338,0.4583333333333333,0.008846853253309916
original,logistic,brier_score,target_a,50,6,12,0.8631701013032825,0.8617376828881915,0.8629920182713763,0.00017808303190623245,0.00035079395100559574,0.6333333333333333,0.0029595604190171265
original,logistic,brier_score,target_a,100,6,12,0.8633630231084121,0.8617376828881915,0.8629920182713763,0.00037100483703576365,4.865152286986918e-05,0.8666666666666667,0.0029595604190171265
original,logistic,brier_score,target_a,227,6,12,0.8629920182713763,0.8617376828881915,0.8629920182713763,0.0,0.0,0.9916666666666667,0.0
original,logistic,error_rate,domain_moment,10,6,12,0.64501953125,0.6216227213541666,0.62939453125,0.015625,0.019734700520833332,0.18333333333333335,0.0849609375
original,logistic,error_rate,domain_moment,25,6,12,0.6426595052083334,0.6216227213541666,0.62939453125,0.013264973958333334,0.01708984375,0.3,0.0849609375
original,logistic,error_rate,domain_moment,50,6,12,0.6354166666666666,0.6216227213541666,0.62939453125,0.006022135416666667,0.011271158854166666,0.4833333333333334,0.04443359375
original,logistic,error_rate,domain_moment,100,6,12,0.6322835286458334,0.6216227213541666,0.62939453125,0.0028889973958333335,0.00439453125,0.7583333333333333,0.0234375
original,logistic,error_rate,domain_moment,227,6,12,0.62939453125,0.6216227213541666,0.62939453125,0.0,0.0,0.9916666666666667,0.0
original,logistic,error_rate,exhaustive,455,6,12,0.62939453125,0.6216227213541666,0.62939453125,0.0,0.0,1.0,0.0
original,logistic,error_rate,mean_matching,10,6,12,0.6499430338541666,0.6216227213541666,0.62939453125,0.020548502604166668,0.023518880208333332,0.10833333333333334,0.05078125
original,logistic,error_rate,mean_matching,25,6,12,0.6380208333333334,0.6216227213541666,0.62939453125,0.008626302083333334,0.015177408854166666,0.23333333333333336,0.04443359375
original,logistic,error_rate,mean_matching,50,6,12,0.6326497395833334,0.6216227213541666,0.62939453125,0.0032552083333333335,0.008382161458333334,0.47500000000000003,0.03857421875
original,logistic,error_rate,mean_matching,100,6,12,0.6314697265625,0.6216227213541666,0.62939453125,0.0020751953125,0.004313151041666667,0.7416666666666667,0.03125
