construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
original,logistic,brier_score,domain_moment,10,0.001,0.5,1.0,6
original,logistic,brier_score,domain_moment,10,0.005,0.25,1.0,6
original,logistic,brier_score,domain_moment,10,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,25,0.001,0.25,0.5,6
original,logistic,brier_score,domain_moment,25,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,25,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,50,0.001,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,50,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,50,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,100,0.001,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,100,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment,100,0.01,0.0,0.0,6
original,logistic,brier_score,domain_moment,227,0.001,0.0,0.0,6
original,logistic,brier_score,domain_moment,227,0.005,0.0,0.0,6
original,logistic,brier_score,domain_moment,227,0.01,0.0,0.0,6
original,logistic,brier_score,exhaustive,455,0.001,0.0,0.0,6
original,logistic,brier_score,exhaustive,455,0.005,0.0,0.0,6
original,logistic,brier_score,exhaustive,455,0.01,0.0,0.0,6
original,logistic,brier_score,mean_matching,10,0.001,0.5833333333333334,1.0,6
original,logistic,brier_score,mean_matching,10,0.005,0.3333333333333333,1.0,6
original,logistic,brier_score,mean_matching,10,0.01,0.25,1.0,6
original,logistic,brier_score,mean_matching,25,0.001,0.5,1.0,6
original,logistic,brier_score,mean_matching,25,0.005,0.25,1.0,6
original,logistic,brier_score,mean_matching,25,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,mean_matching,50,0.001,0.25,1.0,6
original,logistic,brier_score,mean_matching,50,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,mean_matching,50,0.01,0.0,0.0,6
original,logistic,brier_score,mean_matching,100,0.001,0.08333333333333333,0.5,6
original,logistic,brier_score,mean_matching,100,0.005,0.0,0.0,6
original,logistic,brier_score,mean_matching,100,0.01,0.0,0.0,6
original,logistic,brier_score,mean_matching,227,0.001,0.0,0.0,6
original,logistic,brier_score,mean_matching,227,0.005,0.0,0.0,6
original,logistic,brier_score,mean_matching,227,0.01,0.0,0.0,6
original,logistic,brier_score,random,10,0.001,0.9333333333333332,1.0,6
original,logistic,brier_score,random,10,0.005,0.7666666666666666,0.95,6
original,logistic,brier_score,random,10,0.01,0.6083333333333333,0.95,6
original,logistic,brier_score,random,25,0.001,0.8625000000000002,0.925,6
original,logistic,brier_score,random,25,0.005,0.6208333333333335,0.925,6
original,logistic,brier_score,random,25,0.01,0.44999999999999996,0.8999999999999999,6
original,logistic,brier_score,random,50,0.001,0.7416666666666667,0.85,6
original,logistic,brier_score,random,50,0.005,0.48333333333333334,0.85,6
original,logistic,brier_score,random,50,0.01,0.3125,0.8,6
original,logistic,brier_score,random,100,0.001,0.5708333333333333,0.8,6
original,logistic,brier_score,random,100,0.005,0.2708333333333333,0.75,6
original,logistic,brier_score,random,100,0.01,0.19583333333333333,0.7,6
original,logistic,brier_score,random,227,0.001,0.3083333333333333,0.575,6
original,logistic,brier_score,random,227,0.005,0.11666666666666665,0.45,6
original,logistic,brier_score,random,227,0.01,0.075,0.325,6
original,logistic,brier_score,second_moment_mmd,10,0.001,0.5,1.0,6
original,logistic,brier_score,second_moment_mmd,10,0.005,0.16666666666666666,1.0,6
original,logistic,brier_score,second_moment_mmd,10,0.01,0.16666666666666666,1.0,6
original,logistic,brier_score,second_moment_mmd,25,0.001,0.3333333333333333,1.0,6
original,logistic,brier_score,second_moment_mmd,25,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,second_moment_mmd,25,0.01,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,50,0.001,0.08333333333333333,0.5,6
original,logistic,brier_score,second_moment_mmd,50,0.005,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,50,0.01,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,100,0.001,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,100,0.005,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,100,0.01,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,227,0.001,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,227,0.005,0.0,0.0,6
original,logistic,brier_score,second_moment_mmd,227,0.01,0.0,0.0,6
original,logistic,brier_score,target_a,10,0.001,0.5,1.0,6
original,logistic,brier_score,target_a,10,0.005,0.16666666666666666,0.5,6
original,logistic,brier_score,target_a,10,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,target_a,25,0.001,0.3333333333333333,1.0,6
original,logistic,brier_score,target_a,25,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,target_a,25,0.01,0.0,0.0,6
original,logistic,brier_score,target_a,50,0.001,0.16666666666666666,0.5,6
original,logistic,brier_score,target_a,50,0.005,0.0,0.0,6
original,logistic,brier_score,target_a,50,0.01,0.0,0.0,6
original,logistic,brier_score,target_a,100,0.001,0.16666666666666666,0.5,6
original,logistic,brier_score,target_a,100,0.005,0.0,0.0,6
original,logistic,brier_score,target_a,100,0.01,0.0,0.0,6
original,logistic,brier_score,target_a,227,0.001,0.0,0.0,6
original,logistic,brier_score,target_a,227,0.005,0.0,0.0,6
original,logistic,brier_score,target_a,227,0.01,0.0,0.0,6
original,logistic,error_rate,domain_moment,10,0.005,0.5,1.0,6
original,logistic,error_rate,domain_moment,10,0.01,0.5,1.0,6
original,logistic,error_rate,domain_moment,10,0.02,0.25,1.0,6
original,logistic,error_rate,domain_moment,25,0.005,0.5,1.0,6
original,logistic,error_rate,domain_moment,25,0.01,0.4166666666666667,1.0,6
original,logistic,error_rate,domain_moment,25,0.02,0.16666666666666666,1.0,6
original,logistic,error_rate,domain_moment,50,0.005,0.4166666666666667,1.0,6
