encoder,target_domain,readout,method,shortlist_size,repeat_count,score_seconds,resident_seconds,median_resident_seconds,test_brier_score,test_nll,test_error_rate,feature_seconds,source_blocks_charged,raw_additive_seconds,resident_vs_full_seconds,raw_vs_full_seconds,paired_test_brier_score,paired_test_nll,paired_test_error_rate
dinov2_b14,clipart,logistic,exhaustive,455,3,0.0003964230418205261,40.15143650521835,40.23700476437807,0.7604198033190409,2.6321723515866458,0.38818359375,43.042592488229275,15.0,83.19402899344763,0.0,0.0,0.0,0.0,0.0
dinov2_b14,clipart,logistic,random,10,3,0.00047075748443603516,0.8508834540843964,0.8563900887966156,0.7840045530860849,2.8403753187381686,0.4189453125,37.968781637648746,13.0,38.81966509173314,-39.30055305113395,-44.37436390171449,0.023584749767043944,0.20820296715152287,0.03076171875
dinov2_b14,clipart,logistic,random,25,3,0.00047075748443603516,2.1770351777474084,2.2284550219774246,0.7763482449244621,2.8048750612872,0.4189453125,43.042592488229275,15.0,45.21962766597668,-37.97440132747094,-37.97440132747095,0.015928441605421173,0.17270270970055446,0.03076171875
dinov2_b14,clipart,logistic,random,50,3,0.00047075748443603516,4.370792942742507,4.400693967938423,0.7729325677087737,2.7183931911763017,0.4205729166666667,43.042592488229275,15.0,47.41338543097178,-35.780643562475845,-35.78064356247585,0.012512764389732811,0.08622083958965598,0.032389322916666685
dinov2_b14,clipart,logistic,random,100,3,0.00047075748443603516,8.808400529126326,8.84574831277132,0.7722807211826549,2.7001789477575855,0.4205729166666667,43.042592488229275,15.0,51.8509930173556,-31.343035976092025,-31.343035976092033,0.011860917863613984,0.06800659617093974,0.032389322916666685
dinov2_b14,clipart,logistic,random,227,3,0.00047075748443603516,20.031950565675896,19.985713697969913,0.7622096903388531,2.6537632874010932,0.4169921875,43.042592488229275,15.0,63.074543053905174,-20.119485939542454,-20.119485939542457,0.0017898870198121974,0.021590935814447487,0.02880859375
dinov2_b14,clipart,logistic,second_moment_mmd,10,3,0.037893066803614296,0.8543722257018089,0.840322770178318,0.7731110687216046,2.6999782475220386,0.4326171875,48.092208340764046,15.0,48.946580566465855,-39.29706427951654,-34.24744842698178,0.012691265402563712,0.06780589593539288,0.04443359375
dinov2_b14,clipart,logistic,second_moment_mmd,25,3,0.037893066803614296,2.029066815972328,2.0269225016236305,0.760685830471893,2.63852411245707,0.40966796875,48.092208340764046,15.0,50.121275156736374,-38.12236968924602,-33.07275383671126,0.00026602715285206635,0.006351760870424439,0.021484375
dinov2_b14,clipart,logistic,second_moment_mmd,50,3,0.037893066803614296,3.894781932234764,3.8920543044805527,0.7604198033190409,2.6321723515866458,0.38818359375,48.092208340764046,15.0,51.98699027299881,-36.256654572983585,-31.20703872044882,0.0,0.0,0.0
dinov2_b14,clipart,logistic,second_moment_mmd,100,3,0.037893066803614296,7.89897367109855,7.9094376266002655,0.7604198033190409,2.6321723515866458,0.38818359375,48.092208340764046,15.0,55.9911820118626,-32.2524628341198,-27.202846981585033,0.0,0.0,0.0
