construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
original,logistic,brier_score,domain_moment_ties,10,0.001,0.5750000000000001,1.0,6
original,logistic,brier_score,domain_moment_ties,10,0.005,0.3041666666666667,0.925,6
original,logistic,brier_score,domain_moment_ties,10,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment_ties,25,0.001,0.25,0.5,6
original,logistic,brier_score,domain_moment_ties,25,0.005,0.09166666666666667,0.5,6
original,logistic,brier_score,domain_moment_ties,25,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment_ties,50,0.001,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment_ties,50,0.005,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment_ties,50,0.01,0.08333333333333333,0.5,6
original,logistic,brier_score,domain_moment_ties,100,0.001,0.07083333333333333,0.425,6
original,logistic,brier_score,domain_moment_ties,100,0.005,0.0625,0.375,6
original,logistic,brier_score,domain_moment_ties,100,0.01,0.0,0.0,6
original,logistic,brier_score,domain_moment_ties,227,0.001,0.0,0.0,6
original,logistic,brier_score,domain_moment_ties,227,0.005,0.0,0.0,6
original,logistic,brier_score,domain_moment_ties,227,0.01,0.0,0.0,6
original,logistic,error_rate,domain_moment_ties,10,0.005,0.4416666666666667,1.0,6
original,logistic,error_rate,domain_moment_ties,10,0.01,0.4291666666666667,1.0,6
original,logistic,error_rate,domain_moment_ties,10,0.02,0.25,1.0,6
original,logistic,error_rate,domain_moment_ties,25,0.005,0.45416666666666666,1.0,6
original,logistic,error_rate,domain_moment_ties,25,0.01,0.3708333333333333,1.0,6
original,logistic,error_rate,domain_moment_ties,25,0.02,0.17916666666666667,1.0,6
original,logistic,error_rate,domain_moment_ties,50,0.005,0.4166666666666667,1.0,6
original,logistic,error_rate,domain_moment_ties,50,0.01,0.3333333333333333,1.0,6
original,logistic,error_rate,domain_moment_ties,50,0.02,0.16666666666666666,1.0,6
original,logistic,error_rate,domain_moment_ties,100,0.005,0.14583333333333334,0.5,6
original,logistic,error_rate,domain_moment_ties,100,0.01,0.14583333333333334,0.5,6
original,logistic,error_rate,domain_moment_ties,100,0.02,0.0625,0.375,6
original,logistic,error_rate,domain_moment_ties,227,0.005,0.0,0.0,6
original,logistic,error_rate,domain_moment_ties,227,0.01,0.0,0.0,6
original,logistic,error_rate,domain_moment_ties,227,0.02,0.0,0.0,6
original,logistic,nll,domain_moment_ties,10,0.01,0.5833333333333334,1.0,6
original,logistic,nll,domain_moment_ties,10,0.05,0.23750000000000002,0.5,6
original,logistic,nll,domain_moment_ties,10,0.1,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment_ties,25,0.01,0.4166666666666667,1.0,6
original,logistic,nll,domain_moment_ties,25,0.05,0.13333333333333333,0.5,6
original,logistic,nll,domain_moment_ties,25,0.1,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment_ties,50,0.01,0.17500000000000002,0.5,6
original,logistic,nll,domain_moment_ties,50,0.05,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment_ties,50,0.1,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment_ties,100,0.01,0.11666666666666665,0.45,6
original,logistic,nll,domain_moment_ties,100,0.05,0.0,0.0,6
original,logistic,nll,domain_moment_ties,100,0.1,0.0,0.0,6
original,logistic,nll,domain_moment_ties,227,0.01,0.0,0.0,6
original,logistic,nll,domain_moment_ties,227,0.05,0.0,0.0,6
original,logistic,nll,domain_moment_ties,227,0.1,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,10,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,10,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,10,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,25,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,25,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,25,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,50,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,50,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,50,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,100,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,100,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,100,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,227,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,227,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment_ties,227,0.01,0.0,0.0,6
original,ridge,error_rate,domain_moment_ties,10,0.005,0.5750000000000001,1.0,6
original,ridge,error_rate,domain_moment_ties,10,0.01,0.5708333333333334,1.0,6
original,ridge,error_rate,domain_moment_ties,10,0.02,0.32916666666666666,0.525,6
original,ridge,error_rate,domain_moment_ties,25,0.005,0.5333333333333333,1.0,6
original,ridge,error_rate,domain_moment_ties,25,0.01,0.4375,1.0,6
original,ridge,error_rate,domain_moment_ties,25,0.02,0.11666666666666668,0.5,6
original,ridge,error_rate,domain_moment_ties,50,0.005,0.5833333333333334,1.0,6
original,ridge,error_rate,domain_moment_ties,50,0.01,0.4166666666666667,1.0,6
original,ridge,error_rate,domain_moment_ties,50,0.02,0.0,0.0,6
original,ridge,error_rate,domain_moment_ties,100,0.005,0.25,1.0,6
original,ridge,error_rate,domain_moment_ties,100,0.01,0.16666666666666666,0.5,6
original,ridge,error_rate,domain_moment_ties,100,0.02,0.0,0.0,6
original,ridge,error_rate,domain_moment_ties,227,0.005,0.0,0.0,6
original,ridge,error_rate,domain_moment_ties,227,0.01,0.0,0.0,6
original,ridge,error_rate,domain_moment_ties,227,0.02,0.0,0.0,6
original,ridge,nll,domain_moment_ties,10,0.01,0.08333333333333333,0.5,6
original,ridge,nll,domain_moment_ties,10,0.05,0.0,0.0,6
original,ridge,nll,domain_moment_ties,10,0.1,0.0,0.0,6
original,ridge,nll,domain_moment_ties,25,0.01,0.08333333333333333,0.5,6
original,ridge,nll,domain_moment_ties,25,0.05,0.0,0.0,6
original,ridge,nll,domain_moment_ties,25,0.1,0.0,0.0,6
original,ridge,nll,domain_moment_ties,50,0.01,0.0,0.0,6
original,ridge,nll,domain_moment_ties,50,0.05,0.0,0.0,6
original,ridge,nll,domain_moment_ties,50,0.1,0.0,0.0,6
original,ridge,nll,domain_moment_ties,100,0.01,0.0,0.0,6
original,ridge,nll,domain_moment_ties,100,0.05,0.0,0.0,6
original,ridge,nll,domain_moment_ties,100,0.1,0.0,0.0,6
original,ridge,nll,domain_moment_ties,227,0.01,0.0,0.0,6
original,ridge,nll,domain_moment_ties,227,0.05,0.0,0.0,6
original,ridge,nll,domain_moment_ties,227,0.1,0.0,0.0,6
hash_partition,logistic,brier_score,domain_moment_ties,10,0.001,0.5791666666666667,1.0,6
hash_partition,logistic,brier_score,domain_moment_ties,10,0.005,0.2916666666666667,0.75,6
hash_partition,logistic,brier_score,domain_moment_ties,10,0.01,0.17500000000000002,0.5,6
hash_partition,logistic,brier_score,domain_moment_ties,25,0.001,0.25833333333333336,1.0,6
hash_partition,logistic,brier_score,domain_moment_ties,25,0.005,0.12083333333333333,0.5,6
hash_partition,logistic,brier_score,domain_moment_ties,25,0.01,0.08333333333333333,0.5,6
hash_partition,logistic,brier_score,domain_moment_ties,50,0.001,0.09999999999999999,0.5,6
hash_partition,logistic,brier_score,domain_moment_ties,50,0.005,0.08333333333333333,0.5,6
hash_partition,logistic,brier_score,domain_moment_ties,50,0.01,0.08333333333333333,0.5,6
hash_partition,logistic,brier_score,domain_moment_ties,100,0.001,0.075,0.45,6
hash_partition,logistic,brier_score,domain_moment_ties,100,0.005,0.049999999999999996,0.3,6
hash_partition,logistic,brier_score,domain_moment_ties,100,0.01,0.0,0.0,6
hash_partition,logistic,brier_score,domain_moment_ties,227,0.001,0.0,0.0,6
hash_partition,logistic,brier_score,domain_moment_ties,227,0.005,0.0,0.0,6
hash_partition,logistic,brier_score,domain_moment_ties,227,0.01,0.0,0.0,6
hash_partition,logistic,error_rate,domain_moment_ties,10,0.005,0.6041666666666666,1.0,6
hash_partition,logistic,error_rate,domain_moment_ties,10,0.01,0.4958333333333334,0.975,6
hash_partition,logistic,error_rate,domain_moment_ties,10,0.02,0.28750000000000003,0.5,6
hash_partition,logistic,error_rate,domain_moment_ties,25,0.005,0.5375,1.0,6
hash_partition,logistic,error_rate,domain_moment_ties,25,0.01,0.3458333333333334,1.0,6
hash_partition,logistic,error_rate,domain_moment_ties,25,0.02,0.225,0.5,6
hash_partition,logistic,error_rate,domain_moment_ties,50,0.005,0.3416666666666666,0.5,6
hash_partition,logistic,error_rate,domain_moment_ties,50,0.01,0.16666666666666666,0.5,6
hash_partition,logistic,error_rate,domain_moment_ties,50,0.02,0.16666666666666666,0.5,6
hash_partition,logistic,error_rate,domain_moment_ties,100,0.005,0.049999999999999996,0.3,6
hash_partition,logistic,error_rate,domain_moment_ties,100,0.01,0.049999999999999996,0.3,6
hash_partition,logistic,error_rate,domain_moment_ties,100,0.02,0.03333333333333333,0.2,6
hash_partition,logistic,error_rate,domain_moment_ties,227,0.005,0.0,0.0,6
hash_partition,logistic,error_rate,domain_moment_ties,227,0.01,0.0,0.0,6
hash_partition,logistic,error_rate,domain_moment_ties,227,0.02,0.0,0.0,6
hash_partition,logistic,nll,domain_moment_ties,10,0.01,0.5458333333333333,0.9,6
