scope,readout,metric,shortlist_size,target_domain,repeated_task_count,overlap_count_mean,union_size_mean,jaccard_mean,mmd_missed_top_q_mean,a_missed_top_q_mean,a_rescued_top_q_mean,mmd_rescued_top_q_mean,a_rescued_fractional_top_q_mean,mmd_rescued_fractional_top_q_mean,omission_reduction_from_union_mean,a_only_better_than_mmd_choice_mean,top_q_boundary_ties_mean,has_a_rescue_tasks,has_a_rescue_rate,has_mmd_rescue_tasks,has_mmd_rescue_rate,a_rescues_any_oracle_tasks,a_rescues_any_oracle_rate,mmd_rescues_any_oracle_tasks,mmd_rescues_any_oracle_rate,union_selects_a_only_tasks,union_selects_a_only_rate,union_better_than_mmd_tasks,union_better_than_mmd_rate,union_worse_than_mmd_tasks,union_worse_than_mmd_rate,union_better_than_matched_mmd_tasks,union_better_than_matched_mmd_rate,union_worse_than_matched_mmd_tasks,union_worse_than_matched_mmd_rate,a_rescue_reaches_final_improvement_tasks,a_rescue_reaches_final_improvement_rate
base_seed_control,logistic,brier_score,10,clipart,2,1.0,19.0,0.05555555555555555,9.5,8.5,1.5,0.5,1.5,0.5,0.008278292091666528,1.5,1.0,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,2,1.0,1,0.5
base_seed_control,logistic,brier_score,10,infograph,2,0.0,20.0,0.0,8.5,9.5,0.5,1.5,0.5,1.5,0.0037549484530360333,1.0,1.0,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,brier_score,10,painting,2,7.0,13.0,0.5476190476190476,5.0,5.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,quickdraw,2,3.5,16.5,0.24060150375939848,9.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,real,2,8.5,11.5,0.7424242424242424,3.5,4.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,10,sketch,2,0.0,20.0,0.0,7.5,7.0,3.0,2.5,3.0,2.5,0.000628735566074401,1.0,1.0,2,1.0,2,1.0,1,0.5,1,0.5,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,brier_score,25,clipart,2,8.0,42.0,0.19115144639818493,7.0,5.5,3.5,2.0,3.5,2.0,0.0034468224973486228,0.5,1.0,2,1.0,2,1.0,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,1,0.5
base_seed_control,logistic,brier_score,25,infograph,2,6.0,44.0,0.13871635610766045,6.0,9.5,0.5,4.0,0.5,4.0,0.0018224945412699811,1.5,1.0,1,0.5,2,1.0,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,brier_score,25,painting,2,18.0,32.0,0.5763546798029556,3.0,2.0,1.5,0.5,1.5,0.5,0.0,0.0,1.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,25,quickdraw,2,8.0,42.0,0.19047619047619047,5.5,9.0,0.5,4.0,0.5,4.0,0.0,0.0,1.0,1,0.5,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,25,real,2,21.0,29.0,0.7261904761904762,1.5,1.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,25,sketch,2,8.0,42.0,0.19115144639818493,5.5,5.5,3.5,3.5,3.5,3.5,0.000628735566074401,1.0,1.0,2,1.0,2,1.0,1,0.5,1,0.5,1,0.5,1,0.5,0,0.0,2,1.0,0,0.0,1,0.5
base_seed_control,logistic,brier_score,50,clipart,2,27.5,72.5,0.3793759512937595,3.5,3.5,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,50,infograph,2,21.0,79.0,0.26663459996793326,4.0,7.5,1.5,5.0,1.5,5.0,0.0005337324948966882,1.5,1.0,2,1.0,2,1.0,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5
base_seed_control,logistic,brier_score,50,painting,2,40.5,59.5,0.6817410966647823,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,50,quickdraw,2,21.0,79.0,0.2709137709137709,4.0,8.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1,0.5,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,50,real,2,43.5,56.5,0.7711598746081505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,50,sketch,2,26.0,74.0,0.3535760014633254,3.0,2.5,2.5,2.0,2.5,2.0,0.000628735566074401,1.0,1.0,1,0.5,1,0.5,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,brier_score,100,clipart,2,73.0,127.0,0.5748031496062992,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,100,infograph,2,68.0,132.0,0.5165441176470589,2.0,3.0,2.0,3.0,2.0,3.0,6.933359260646865e-05,1.5,1.0,1,0.5,2,1.0,1,0.5,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
