scope,readout,metric,shortlist_size,method,target_domain,repeated_task_count,evaluated_candidates_mean,validation_loss_mean,test_loss_mean,delta_vs_mmd_mean,delta_vs_matched_mmd_mean,gap_to_full_validation_mean,recall_at_top_q_mean,fractional_recall_at_top_q_mean,absolute_omission_mean,better_than_mmd_tasks,better_than_mmd_rate,worse_than_mmd_tasks,worse_than_mmd_rate,better_than_matched_mmd_tasks,better_than_matched_mmd_rate,worse_than_matched_mmd_tasks,worse_than_matched_mmd_rate,selected_changed_from_mmd_tasks,selected_changed_from_mmd_rate,selected_outside_mmd_tasks,selected_outside_mmd_rate,selected_from_a_only_tasks,selected_from_a_only_rate,any_test_oracle_retained_tasks,any_test_oracle_retained_rate
base_seed_control,logistic,brier_score,10,a_opt,clipart,2,10.0,0.8453618476846351,0.8453447697912719,-0.0041088369867343655,0.0061820807514149645,0.010351655818288619,0.15,0.15,0.010351655818288619,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,1,0.5,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,a_opt,infograph,2,10.0,0.907594364646193,0.9124845641105799,-0.0016734427491896797,8.963426162239552e-05,0.002707690098919302,0.05,0.05,0.0035487412747086666,1,0.5,1,0.5,1,0.5,1,0.5,2,1.0,2,1.0,2,1.0,0,0.0
base_seed_control,logistic,brier_score,10,a_opt,painting,2,10.0,0.8074047041319795,0.8184632855934444,0.0,0.0018139216495774435,0.0018139216495774435,0.5,0.5,0.0018139216495774435,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,brier_score,10,a_opt,quickdraw,2,10.0,0.984106887661629,0.9798274946561941,0.001751387053647191,0.0024030762179269582,0.003878112310035542,0.0,0.0,0.003397430665880885,0,0.0,2,1.0,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,10,a_opt,real,2,10.0,0.7970464083459348,0.7953667969017804,0.0,0.0,0.0,0.6,0.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0
base_seed_control,logistic,brier_score,10,a_opt,sketch,2,10.0,0.8470593553291905,0.8508067213805519,0.0020322309856456444,0.0020322309856456444,0.0009995741542133119,0.3,0.3,0.004518734731633112,1,0.5,1,0.5,1,0.5,1,0.5,2,1.0,2,1.0,2,1.0,1,0.5
base_seed_control,logistic,brier_score,10,interleave_a_first,clipart,2,10.0,0.8482916389436865,0.8475564092523317,-0.0018971975256745766,0.008393720212474753,0.012563295279348408,0.05,0.05,0.012563295279348408,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,1,0.5,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,interleave_a_first,infograph,2,10.0,0.910610082018984,0.9162744153598043,0.002116408500034639,0.003879485510846714,0.006497541348143621,0.0,0.0,0.007109851773289211,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,1,0.5,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,interleave_a_first,painting,2,10.0,0.8074047041319795,0.8184632855934444,0.0,0.0018139216495774435,0.0018139216495774435,0.5,0.5,0.0018139216495774435,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,brier_score,10,interleave_a_first,quickdraw,2,10.0,0.9829402992997915,0.9780761076025469,0.0,0.0006516891642797673,0.002126725256388351,0.1,0.1,0.002126725256388351,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,10,interleave_a_first,real,2,10.0,0.7970464083459348,0.7953667969017804,0.0,0.0,0.0,0.6499999999999999,0.6499999999999999,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0
base_seed_control,logistic,brier_score,10,interleave_a_first,sketch,2,10.0,0.845187260210017,0.8481457548288318,-0.000628735566074401,-0.000628735566074401,-0.0016613923975067335,0.3,0.3,0.0018577681799130663,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,brier_score,10,interleave_mmd_first,clipart,2,10.0,0.8482916389436865,0.8475564092523317,-0.0018971975256745766,0.008393720212474753,0.012563295279348408,0.05,0.05,0.012563295279348408,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,1,0.5,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,interleave_mmd_first,infograph,2,10.0,0.910610082018984,0.9162744153598043,0.002116408500034639,0.003879485510846714,0.006497541348143621,0.0,0.0,0.007109851773289211,1,0.5,1,0.5,0,0.0,2,1.0,2,1.0,1,0.5,1,0.5,0,0.0
base_seed_control,logistic,brier_score,10,interleave_mmd_first,painting,2,10.0,0.8074047041319795,0.8184632855934444,0.0,0.0018139216495774435,0.0018139216495774435,0.5,0.5,0.0018139216495774435,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
base_seed_control,logistic,brier_score,10,interleave_mmd_first,quickdraw,2,10.0,0.9829402992997915,0.9780761076025469,0.0,0.0006516891642797673,0.002126725256388351,0.1,0.1,0.002126725256388351,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,brier_score,10,interleave_mmd_first,real,2,10.0,0.7970464083459348,0.7953667969017804,0.0,0.0,0.0,0.6499999999999999,0.6499999999999999,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0
base_seed_control,logistic,brier_score,10,interleave_mmd_first,sketch,2,10.0,0.845187260210017,0.8481457548288318,-0.000628735566074401,-0.000628735566074401,-0.0016613923975067335,0.3,0.3,0.0018577681799130663,1,0.5,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5
base_seed_control,logistic,brier_score,10,mmd,clipart,2,10.0,0.8479839406017469,0.8494536067780063,0.0,0.01029091773814933,0.014460492805022984,0.05,0.05,0.014046890252068733,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0
