config,construction_seed,overlap,budget,method,replicate,selected,selection_seconds,metric_seconds,preprocessing_seconds,merged_reff,unique_families,duplicate_count
seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,-1,tiny_imagenet__overlap_025|stl10|tiny_imagenet,6.731707729399204,0.10122671350836754,12.1853953525424,514.2105236800733,2,1
seed20260831_overlap0.25_k3,20260831,0.25,3,dpp_centroid,-1,tiny_imagenet__overlap_025|stl10__overlap_025|fashion_mnist,0.004532326012849808,0.10824858769774437,12.1853953525424,505.10139752859567,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,dpp_sample_nn,-1,tiny_imagenet__overlap_025|stl10__overlap_025|cifar100_coarse,0.0034661516547203064,0.11210214160382748,12.1853953525424,547.7239837018797,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,dpp_subspace,-1,tiny_imagenet__overlap_025|stl10|cifar100_coarse,0.0034848302602767944,0.11211411468684673,12.1853953525424,548.0738803786435,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,facility_centroid,-1,cifar100_coarse__overlap_025|organcmnist__overlap_025|stl10,0.0007741935551166534,0.09652645885944366,12.1853953525424,490.3620898932148,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,facility_sample_nn,-1,organcmnist__overlap_025|stl10|tissuemnist,0.0006382130086421967,0.10883607156574726,12.1853953525424,417.86140229431635,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,facility_subspace,-1,organcmnist__overlap_025|cifar100__overlap_025|stl10__overlap_025,0.0006596222519874573,0.10733684711158276,12.1853953525424,487.1031846367448,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,-1,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025,9.221024811267853e-05,0.1069504264742136,12.1853953525424,548.5885947721337,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,full_merged_rank,-1,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025,4.527714908123016,0.10453632660210133,12.1853953525424,548.5885947721337,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,kcenter_centroid,-1,tiny_imagenet__overlap_025|rendered_sst2|semeion,0.0006277523934841156,0.09876465797424316,12.1853953525424,300.03071367827266,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,kcenter_sample_nn,-1,tiny_imagenet__overlap_025|rendered_sst2|usps,0.00046554021537303925,0.10586167126893997,12.1853953525424,302.1686696758425,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,kcenter_subspace,-1,tiny_imagenet__overlap_025|rendered_sst2|retinamnist,0.0004784613847732544,0.10407309420406818,12.1853953525424,291.4539275145202,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,kmedoids_centroid,-1,cifar100_coarse__overlap_025|organcmnist__overlap_025|stl10,0.002143498510122299,0.10699086636304855,12.1853953525424,490.3620898932148,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,kmedoids_sample_nn,-1,organcmnist__overlap_025|stl10|tissuemnist,0.0020303186029195786,0.10559096001088619,12.1853953525424,417.86140229431635,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,kmedoids_subspace,-1,organcmnist__overlap_025|cifar100__overlap_025|stl10,0.0020492486655712128,0.11138801090419292,12.1853953525424,487.47699998962406,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,merged_vendi,-1,tiny_imagenet__overlap_025|stl10|tiny_imagenet,4.398562816902995,0.094590924680233,12.1853953525424,514.2105236800733,2,1
seed20260831_overlap0.25_k3,20260831,0.25,3,pool_vendi_centroid,-1,tiny_imagenet__overlap_025|rendered_sst2|retinamnist,0.005341989919543266,0.10461897775530815,12.1853953525424,291.4539275145202,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,pool_vendi_sample_nn,-1,tiny_imagenet__overlap_025|rendered_sst2|stl10__overlap_025,0.0052177682518959045,0.1028424184769392,12.1853953525424,400.72641526826413,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,pool_vendi_subspace,-1,tiny_imagenet__overlap_025|rendered_sst2|retinamnist,0.005225257948040962,0.10373558662831783,12.1853953525424,291.4539275145202,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,random,0,cifar100_coarse|cifar10__overlap_025|dermamnist,3.3840909600257875e-05,0.10610135272145271,12.1853953525424,438.4803521033853,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,random,1,organamnist|organsmnist|retinamnist,3.3840909600257875e-05,0.1062683742493391,12.1853953525424,321.5626053587829,3,0
seed20260831_overlap0.25_k3,20260831,0.25,3,random,2,breastmnist|pneumoniamnist|stl10__overlap_025,3.3840909600257875e-05,0.10901282355189323,12.1853953525424,377.72589609722104,3,0
