method,configs,selections,merged_reff_mean,merged_reff_config_std,duplicate_count_mean,gap_vs_full_merged_greedy_mean,relative_gap_vs_full_merged_greedy_mean,config_win_rate_vs_rank_only
full_merged_rank,24,24,674.1896185439892,128.29532724228685,0.0,0.0,0.0,1.0
family_rank,24,24,674.0210417445558,128.1269465201659,0.0,0.16857679943353787,0.00021164594161206447,1.0
dpp_sample_nn,24,24,672.6988198725636,126.89444842039644,0.125,1.4907986714256605,0.0018836857806140408,1.0
dpp_subspace,24,24,669.7292190473714,124.63465708896835,0.16666666666666666,4.460399496617801,0.005694665761637368,1.0
kmedoids_subspace,24,24,608.5938561165187,128.20397912184274,0.0,65.59576242747052,0.09829091107358508,0.75
facility_subspace,24,24,596.4241020008529,122.06282738805416,0.0,77.76551654313629,0.11340476143472145,0.7083333333333334
dpp_centroid,24,24,590.3006813210135,85.9966290209409,0.0,83.88893722297576,0.11698893734227216,0.625
kmedoids_sample_nn,24,24,585.5847162464187,134.09174170408141,0.0,88.60490229757063,0.1348869860124354,0.7083333333333334
merged_vendi,24,24,584.3558054564695,91.45352417631696,1.25,89.83381308751973,0.12056212914580648,0.4583333333333333
facility_sample_nn,24,24,579.9189263410091,119.45309281301651,0.0,94.27069220298021,0.13967515711650494,0.75
rank_only,24,24,548.6708263762854,123.89558633677453,1.5,125.5187921677039,0.1858078956959901,0.0
collapse,24,24,548.63281395565,123.8369245137129,1.5,125.55680458833923,0.1858554046593207,0.5833333333333334
facility_centroid,24,24,529.3588076706682,38.94762934185055,0.0,144.8308108733212,0.19725173162514276,0.5
kmedoids_centroid,24,24,523.6985196182901,32.255128630269944,0.0,150.49109892569922,0.20432424621943582,0.5
random,24,2400,475.6327339006619,93.81763462687398,0.08666666666666667,198.55688464332732,0.29537801988879253,0.16666666666666666
pool_vendi_sample_nn,24,24,463.4166388027547,64.04594697599812,0.0,210.77297974123462,0.3058081085060549,0.125
kcenter_sample_nn,24,24,427.3686423818937,129.29650546475125,0.0,246.82097616209558,0.37954105215690337,0.125
pool_vendi_subspace,24,24,417.75914755704997,127.0748322364874,0.0,256.43047098693927,0.393560720314211,0.08333333333333333
pool_vendi_centroid,24,24,406.2726661536906,118.93319869371724,0.0,267.9169523902987,0.4090523907758052,0.0
kcenter_subspace,24,24,389.6686255137071,104.33574800135268,0.0,284.52099303028217,0.42869439637230905,0.041666666666666664
kcenter_centroid,24,24,368.06856652108536,71.45534499977389,0.0,306.12105202290394,0.4544523960718156,0.0
