method,information_class,representation,uses_labels,uses_family_metadata,uses_target_data,bytes_per_pool,bytes_for_collection,requires_selected_full_feature_feedback,feedback_bytes_per_selected_pool,feedback_bytes_mean,selector_total_bytes_mean,selection_runs,metric_runs,selection_seconds_mean,selection_seconds_max,shared_all_representation_preprocessing_seconds_mean,end_to_end_upper_seconds_mean,metric_seconds_mean
collapse,summary+selected-full-feedback,collapse,False,False,False,163848,4587744,True,2048000,8192000.0,12779744.0,24,24,7.94524944612446,12.702366268262267,7.589725918136537,15.534975364260998,0.2097518926796814
dpp_centroid,summary,centroid,False,False,False,8196,229488,False,0,0.0,229488.0,24,24,0.004978557272503774,0.00617942214012146,7.589725918136537,7.594704475409041,0.215860053896904
dpp_sample_nn,full,sample_nn,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,0.004461498465389013,0.005796810612082481,7.589725918136537,7.594187416601926,0.21861945635949573
dpp_subspace,summary,subspace,False,False,False,163844,4587632,False,0,0.0,4587632.0,24,24,0.004447060714786251,0.005730709061026573,7.589725918136537,7.594172978851323,0.2172653394906471
facility_centroid,summary,centroid,False,False,False,8196,229488,False,0,0.0,229488.0,24,24,0.0009448032360523939,0.0011628828942775726,7.589725918136537,7.5906707213725895,0.21267695763769248
facility_sample_nn,full,sample_nn,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,0.0008408899884670973,0.0011549945920705795,7.589725918136537,7.590566808125004,0.21407351503148675
facility_subspace,summary,subspace,False,False,False,163844,4587632,False,0,0.0,4587632.0,24,24,0.0008381134054313103,0.0010790135711431503,7.589725918136537,7.590564031541969,0.21782722774272165
family_rank,summary+family,scalar,False,True,False,4,112,False,0,0.0,112.0,24,24,5.762100530167421e-05,0.0001417696475982666,7.589725918136537,7.5897835391418385,0.21819087971622744
full_merged_rank,full,full_features,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,10.477351416756088,19.240235075354576,7.589725918136537,18.067077334892623,0.2189000251237303
kcenter_centroid,summary,centroid,False,False,False,8196,229488,False,0,0.0,229488.0,24,24,0.000741708946103851,0.0010170042514801025,7.589725918136537,7.590467627082641,0.21365879111302397
kcenter_sample_nn,full,sample_nn,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,0.0006517743070920309,0.0009143445640802383,7.589725918136537,7.590377692443629,0.21439818246290088
kcenter_subspace,summary,subspace,False,False,False,163844,4587632,False,0,0.0,4587632.0,24,24,0.0006523222352067629,0.000895034521818161,7.589725918136537,7.590378240371744,0.2135998927988112
kmedoids_centroid,summary,centroid,False,False,False,8196,229488,False,0,0.0,229488.0,24,24,0.004010539269074798,0.008084459230303764,7.589725918136537,7.593736457405612,0.21558091028903922
kmedoids_sample_nn,full,sample_nn,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,0.0033792389246324697,0.006441153585910797,7.589725918136537,7.59310515706117,0.21728249623750648
kmedoids_subspace,summary,subspace,False,False,False,163844,4587632,False,0,0.0,4587632.0,24,24,0.0031827781349420547,0.006354812532663345,7.589725918136537,7.592908696271479,0.21533782283465067
merged_vendi,full,full_features,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,10.281292085535824,18.446991503238678,7.589725918136537,17.87101800367236,0.20980822279428443
pool_vendi_centroid,summary,centroid,False,False,False,8196,229488,False,0,0.0,229488.0,24,24,0.007037732983008027,0.009354963898658752,7.589725918136537,7.596763651119545,0.21271429498059055
pool_vendi_sample_nn,full,sample_nn,False,False,False,2048000,57344000,False,0,0.0,57344000.0,24,24,0.006958855005602042,0.009273471310734749,7.589725918136537,7.596684773142139,0.21222299337387085
pool_vendi_subspace,summary,subspace,False,False,False,163844,4587632,False,0,0.0,4587632.0,24,24,0.007003065276270111,0.010004324838519096,7.589725918136537,7.596728983412807,0.210181264905259
random,none,none,False,False,False,0,0,False,0,0.0,0.0,24,2400,3.5212391521781685e-05,3.841882571578026e-05,7.589725918136537,7.589761130528059,0.21015224572193497
rank_only,summary,scalar,False,False,False,4,112,False,0,0.0,112.0,24,24,7.11437314748764e-05,0.00019885040819644928,7.589725918136537,7.589797061868012,0.21218654559925199
