encoder,overlap,seeds,alignment_global_lineage_auroc_mean,alignment_global_lineage_auroc_std,alignment_global_lineage_auprc_mean,alignment_global_lineage_auprc_std,alignment_parent_matched_auroc_mean,alignment_parent_matched_auroc_std,alignment_parent_matched_auprc_mean,alignment_parent_matched_auprc_std,alignment_parent_top1_accuracy_mean,alignment_parent_top1_accuracy_std,alignment_parent_mean_reciprocal_rank_mean,alignment_parent_mean_reciprocal_rank_std,alignment_zero_overlap_designated_parent_top1_accuracy_mean
clip_b32,0.0,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13333333333333333
clip_b32,0.1,3,0.9437288135593219,0.004888883085374931,0.22953593828103633,0.012498636042207413,0.6533333333333333,0.013333333333333308,0.47685948038889214,0.09702250536511232,0.7999999999999999,0.2,0.9,0.09999999999999998,nan
clip_b32,0.25,3,0.9620338983050848,0.0027118644067796738,0.5083959962838754,0.003730014316592455,0.7511111111111112,0.007698003589194996,0.6355472305472305,0.0031460638605725214,1.0,0.0,1.0,0.0,nan
clip_b32,0.5,3,0.9963841807909605,0.0034123545470150334,0.901984126984127,0.08598117619932749,0.9822222222222222,0.030792014356780046,0.9703703703703703,0.051320023927966744,1.0,0.0,1.0,0.0,nan
clip_b32,0.75,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
clip_b32,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.0,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
dinov2_b14,0.1,3,0.9423728813559323,0.001174271733944983,0.2950844370488783,0.09628420397152176,0.6222222222222222,0.00769800358919506,0.4862190532778769,0.00838979137595283,0.6666666666666666,0.11547005383792519,0.8222222222222223,0.06938886664887108,nan
dinov2_b14,0.25,3,0.952090395480226,0.0028225979653778246,0.4703856012021442,0.04308260931602904,0.68,0.013333333333333364,0.6058437314319667,0.007809034661509633,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.5,3,0.9823728813559321,0.0046970869357799965,0.789016563146998,0.08176117062378258,0.8755555555555556,0.03849001794597504,0.8455808080808082,0.05574791651621045,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.75,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,0.0,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26666666666666666
resnet50,0.1,3,0.9425988700564972,0.005766034269908748,0.2902420457434211,0.06881536129250525,0.6266666666666666,0.03999999999999998,0.4831516631516632,0.02056065352238894,0.7333333333333334,0.11547005383792519,0.8555555555555556,0.05091750772173156,nan
resnet50,0.25,3,0.9595480225988701,0.0028225979653778246,0.4504584758804708,0.08877803968573857,0.7422222222222222,0.015396007178390054,0.5966378066378065,0.06150592135091639,0.9333333333333332,0.11547005383792514,0.9666666666666667,0.05773502691896256,nan
resnet50,0.5,3,0.9959322033898306,0.0053811891072499925,0.9176190476190476,0.07608176768549516,0.9733333333333333,0.035276684147527874,0.9555555555555556,0.05091750772173154,1.0,0.0,1.0,0.0,nan
resnet50,0.75,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,0.0,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4666666666666666
vit_b16,0.1,3,0.9462146892655369,0.001957119556575036,0.2440456198520715,0.06750574793570588,0.6666666666666666,0.02309401076758505,0.4751892551892552,0.040184758488944754,0.9333333333333332,0.11547005383792514,0.9666666666666667,0.05773502691896256,nan
vit_b16,0.25,3,0.9631638418079097,0.0054378347640750375,0.45962303660579523,0.0894965393640795,0.7599999999999999,0.046188021535170036,0.637126577126577,0.06779994104889557,1.0,0.0,1.0,0.0,nan
vit_b16,0.5,3,0.9948022598870057,0.0039725188319202145,0.847089947089947,0.10356864112691701,0.9644444444444445,0.030792014356780046,0.9203968253968254,0.06907894746314008,1.0,0.0,1.0,0.0,nan
vit_b16,0.75,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
