encoder,construction_seed,overlap,budget,method,replicate,selected,merged_reff,unique_lineages,lineage_duplicate_count,unique_datasets,selected_alias_parent_pairs,max_selected_sample_overlap,mean_selected_sample_overlap,selection_seconds_for_max_budget,metric_seconds,shared_statistics_seconds,alignment_global_lineage_auroc,alignment_global_lineage_auprc,alignment_parent_matched_auroc,alignment_parent_matched_auprc,alignment_parent_top1_accuracy,alignment_parent_mean_reciprocal_rank,alignment_parent_ground_truth_defined,alignment_zero_overlap_designated_parent_top1_accuracy,collapse_differs_from_rank,rank_l_differs_from_rank,rank_l_certified_steps,rank_l_all_steps_certified,rank_l_max_chosen_log_error_bound,collapse_minus_rank_reff,dpp_minus_rank_reff,rank_l_minus_rank_reff,rank_l_selected_approximate_log_reff,rank_l_selected_exact_log_reff,rank_l_selected_absolute_log_error,rank_l_selected_log_error_bound,rank_l_selected_interval_covers_exact,rank_l_matches_exact_greedy_prefix,collection_seconds
clip_b32,20260910,0.0,3,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1,250.40245583937335,3,0,1,0,0.0,0.0,1.3919547200202942e-05,0.0516666229814291,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-0.7857266176172573,6.921497244666767,5.8037824319536355,3.5319996134503344,5.545982738390736,2.013983124940401,4.824336896136558,True,False,36.07551423832774
clip_b32,20260910,0.0,5,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias,265.765908555345,5,0,1,1,0.0,0.0,1.3919547200202942e-05,0.04388054646551609,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-4.274625098332763e-11,10.768486178060357,1.4789977205137461,3.91388854332372,5.588165489951237,1.6742769466275171,4.644065870195952,True,False,36.07552142627537
clip_b32,20260910,0.0,8,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias,284.2244904119475,8,0,2,1,0.0,0.0,1.3919547200202942e-05,0.049004824832081795,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-0.2534169062253113,1.6096031171479694,-6.488968465883431,4.248526196556021,5.626669300954331,1.3781431043983101,4.4833517403765075,True,False,36.07552701793611
clip_b32,20260910,0.0,10,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias|cifar100__pool3|cifar100__pool1,286.8956904301681,10,0,2,2,0.0,0.0,1.3919547200202942e-05,0.053953252732753754,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,1.2346475210488848,0.2993707669425021,-4.954541258998802,4.391129768593445,5.641698358276763,1.2505685896833176,4.443024143747133,True,False,36.075532564893365
clip_b32,20260910,0.0,3,rank_l_gram,0,dtd__pool2|cifar10__pool1|cifar100__pool0,256.206238271327,3,0,3,0,0.0,0.0,5.303323034197092,0.04881062172353268,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-0.7857266176172573,6.921497244666767,5.8037824319536355,3.5319996134503344,5.545982738390736,2.013983124940401,4.824336896136558,True,False,36.075537238270044
clip_b32,20260910,0.0,5,rank_l_gram,0,dtd__pool2|cifar10__pool1|cifar100__pool0|eurosat__pool1|dtd__pool3,267.24490627585874,5,0,4,0,0.0,0.0,5.303323034197092,0.042654020711779594,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-4.274625098332763e-11,10.768486178060357,1.4789977205137461,3.91388854332372,5.588165489951237,1.6742769466275171,4.644065870195952,True,False,36.075540725141764
clip_b32,20260910,0.0,8,rank_l_gram,0,dtd__pool2|cifar10__pool1|cifar100__pool0|eurosat__pool1|dtd__pool3|svhn__pool2|dtd__pool1|cifar100__alias,277.73552194606407,8,0,5,0,0.0,0.0,5.303323034197092,0.04770195670425892,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-0.2534169062253113,1.6096031171479694,-6.488968465883431,4.248526196556021,5.626669300954331,1.3781431043983101,4.4833517403765075,True,False,36.075544398278
clip_b32,20260910,0.0,10,rank_l_gram,0,dtd__pool2|cifar10__pool1|cifar100__pool0|eurosat__pool1|dtd__pool3|svhn__pool2|dtd__pool1|cifar100__alias|dtd__alias|cifar10__pool2,281.9411491711693,10,0,5,0,0.0,0.0,5.303323034197092,0.05442667193710804,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,1.2346475210488848,0.2993707669425021,-4.954541258998802,4.391129768593445,5.641698358276763,1.2505685896833176,4.443024143747133,True,False,36.0755480248481
clip_b32,20260910,0.0,3,collapse_sketch,0,dtd__pool3|dtd__pool0|dtd__pool2,249.6167292217561,3,0,1,0,0.0,0.0,0.2842834834009409,0.05079519934952259,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-0.7857266176172573,6.921497244666767,5.8037824319536355,3.5319996134503344,5.545982738390736,2.013983124940401,4.824336896136558,True,False,36.075557105243206
clip_b32,20260910,0.0,5,collapse_sketch,0,dtd__pool3|dtd__pool0|dtd__pool2|dtd__pool1|dtd__alias,265.76590855530225,5,0,1,1,0.0,0.0,0.2842834834009409,0.043998224660754204,1.889242110773921,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,4.824336896136558,-4.274625098332763e-11,10.768486178060357,1.4789977205137461,3.91388854332372,5.588165489951237,1.6742769466275171,4.644065870195952,True,False,36.07556060515344
