encoder,construction_seed,overlap,budget,method,replicate,selected,merged_reff,unique_lineages,lineage_duplicate_count,unique_datasets,selected_alias_parent_pairs,max_selected_sample_overlap,mean_selected_sample_overlap,selection_seconds_for_max_budget,metric_seconds,shared_statistics_seconds,alignment_global_lineage_auroc,alignment_global_lineage_auprc,alignment_parent_matched_auroc,alignment_parent_matched_auprc,alignment_parent_top1_accuracy,alignment_parent_mean_reciprocal_rank,alignment_parent_ground_truth_defined,alignment_zero_overlap_designated_parent_top1_accuracy,collapse_differs_from_rank,rank_l_differs_from_rank,rank_l_certified_steps,rank_l_all_steps_certified,rank_l_max_chosen_log_error_bound,collapse_minus_rank_reff,dpp_minus_rank_reff,rank_l_minus_rank_reff,rank_l_selected_approximate_log_reff,rank_l_selected_exact_log_reff,rank_l_selected_absolute_log_error,rank_l_selected_log_error_bound,rank_l_selected_interval_covers_exact,rank_l_matches_exact_greedy_prefix,collection_seconds
clip_b32,20260910,0.0,3,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1,250.40245583937335,3,0,1,0,0.0,0.0,3.620050847530365e-05,0.04749923385679722,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.451610844582319
clip_b32,20260910,0.0,5,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias,265.765908555345,5,0,1,1,0.0,0.0,3.620050847530365e-05,0.05101040378212929,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451618455350399
clip_b32,20260910,0.0,8,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias,284.2244904119475,8,0,2,1,0.0,0.0,3.620050847530365e-05,0.04900405742228031,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.451624335721135
clip_b32,20260910,0.0,10,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias|cifar100__pool3|cifar100__pool1,286.8956904301681,10,0,2,2,0.0,0.0,3.620050847530365e-05,0.05492541752755642,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.451630914583802
clip_b32,20260910,0.0,3,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias,234.72734067800184,3,0,3,0,0.0,0.0,1.6631380170583725,0.05059162154793739,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.451634544879198
clip_b32,20260910,0.0,5,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias|svhn__pool2|cifar100__pool2,256.08821956434787,5,0,5,0,0.0,0.0,1.6631380170583725,0.050428884103894234,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451637765392661
clip_b32,20260910,0.0,8,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias|svhn__pool2|cifar100__pool2|dtd__pool3|dtd__pool1|cifar100__alias,277.8907006130416,8,0,5,0,0.0,0.0,1.6631380170583725,0.04872990772128105,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.451641075313091
clip_b32,20260910,0.0,10,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias|svhn__pool2|cifar100__pool2|dtd__pool3|dtd__pool1|cifar100__alias|dtd__alias|cifar10__pool2,282.0716877977996,10,0,5,1,0.0,0.0,1.6631380170583725,0.053817374631762505,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.451644355431199
clip_b32,20260910,0.0,3,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool1,249.12884807759332,3,0,1,0,0.0,0.0,0.08824894018471241,0.055949630215764046,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.451647626236081
clip_b32,20260910,0.0,5,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool1|dtd__pool0|dtd__alias,265.76590855519464,5,0,1,1,0.0,0.0,0.08824894018471241,0.043046845123171806,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451651055365801
clip_b32,20260910,0.0,8,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool1|dtd__pool0|dtd__alias|cifar100__pool2|cifar10__pool3|cifar10__pool1,283.7144955050859,8,0,3,1,0.0,0.0,0.08824894018471241,0.06939603574573994,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.45165441557765
clip_b32,20260910,0.0,10,collapse_sketch,0,dtd__pool3|dtd__pool2|dtd__pool1|dtd__pool0|dtd__alias|cifar100__pool2|cifar10__pool3|cifar10__pool1|cifar10__alias|cifar100__pool0,286.4845120501652,10,0,3,1,0.0,0.0,0.08824894018471241,0.05544201843440533,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.45165784470737
clip_b32,20260910,0.0,3,dpp_subspace,0,dtd__pool3|cifar100__pool2|cifar10__pool1,257.3239530840401,3,0,3,0,0.0,0.0,0.009910844266414642,0.07429526373744011,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.451661014929414
clip_b32,20260910,0.0,5,dpp_subspace,0,dtd__pool3|cifar100__pool2|cifar10__pool1|dtd__alias|dtd__pool0,276.0364994634005,5,0,3,1,0.0,0.0,0.009910844266414642,0.04408840090036392,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451664324849844
clip_b32,20260910,0.0,8,dpp_subspace,0,dtd__pool3|cifar100__pool2|cifar10__pool1|dtd__alias|dtd__pool0|cifar100__pool3|dtd__pool1|dtd__pool2,284.63852285349014,8,0,3,1,0.0,0.0,0.009910844266414642,0.05009368248283863,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.451667895540595
clip_b32,20260910,0.0,10,dpp_subspace,0,dtd__pool3|cifar100__pool2|cifar10__pool1|dtd__alias|dtd__pool0|cifar100__pool3|dtd__pool1|dtd__pool2|cifar100__pool1|eurosat__pool1,284.52163928910625,10,0,4,1,0.0,0.0,0.009910844266414642,0.05538320913910866,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.451671484857798
clip_b32,20260910,0.0,3,facility_subspace,0,cifar100__pool1|svhn__pool1|eurosat__pool1,203.48116886030923,3,0,3,0,0.0,0.0,0.0016930755227804184,0.05895141325891018,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.451674645766616
clip_b32,20260910,0.0,5,facility_subspace,0,cifar100__pool1|svhn__pool1|eurosat__pool1|dtd__pool2|cifar10__alias,253.9232339320872,5,0,5,0,0.0,0.0,0.0016930755227804184,0.04428185150027275,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451678145676851
clip_b32,20260910,0.0,8,facility_subspace,0,cifar100__pool1|svhn__pool1|eurosat__pool1|dtd__pool2|cifar10__alias|dtd__pool0|cifar100__pool2|dtd__alias,275.8491943453046,8,0,5,1,0.0,0.0,0.0016930755227804184,0.04978245310485363,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.45168137550354
clip_b32,20260910,0.0,10,facility_subspace,0,cifar100__pool1|svhn__pool1|eurosat__pool1|dtd__pool2|cifar10__alias|dtd__pool0|cifar100__pool2|dtd__alias|dtd__pool1|dtd__pool3,281.8089316478554,10,0,5,1,0.0,0.0,0.0016930755227804184,0.05542866699397564,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.451684605330229
clip_b32,20260910,0.0,3,agglomerative_subspace,0,cifar100__pool0|cifar100__pool3|cifar10__alias,240.40161581448282,3,0,2,0,0.0,0.0,0.06197407282888889,0.05253329128026962,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.451687814667821
clip_b32,20260910,0.0,5,agglomerative_subspace,0,cifar100__pool0|cifar100__pool3|cifar10__alias|dtd__alias|dtd__pool0,274.1839066186994,5,0,3,1,0.0,0.0,0.06197407282888889,0.06425534933805466,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451691135764122
clip_b32,20260910,0.0,8,agglomerative_subspace,0,cifar100__pool0|cifar100__pool3|cifar10__alias|dtd__alias|dtd__pool0|dtd__pool1|dtd__pool2|dtd__pool3,284.3257402523579,8,0,3,1,0.0,0.0,0.06197407282888889,0.04794950410723686,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.451694386079907
clip_b32,20260910,0.0,10,agglomerative_subspace,0,cifar100__pool0|cifar100__pool3|cifar10__alias|dtd__alias|dtd__pool0|dtd__pool1|dtd__pool2|dtd__pool3|eurosat__pool1|svhn__pool1,281.5718563440987,10,0,5,1,0.0,0.0,0.06197407282888889,0.05785234645009041,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.451697524636984
clip_b32,20260910,0.0,3,lineage_deduplicated_rank,0,dtd__pool3|dtd__pool0|dtd__pool1,250.40245583937335,3,0,1,0,0.0,0.0,6.642751395702362e-05,0.05817996896803379,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.675115161371508,2.830517294092952,5.458424588096177,2.627907294003225,5.121386868679855,True,,5.4517009146511555
clip_b32,20260910,0.0,5,lineage_deduplicated_rank,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias,265.765908555345,5,0,1,1,0.0,0.0,6.642751395702362e-05,0.044079579412937164,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-1.503508428868372e-10,10.27059090805551,-9.677688990997126,3.212877310201095,5.54552199278921,2.332644682588115,5.050808207594053,True,,5.451704245060682
clip_b32,20260910,0.0,8,lineage_deduplicated_rank,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias,284.2244904119475,8,0,2,1,0.0,0.0,6.642751395702362e-05,0.04951925948262215,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.509994906861607,0.41403244154264485,-6.3337897989059115,3.5254453184525154,5.627227873119257,2.101782554666742,5.074509904507656,True,,5.451707934960723
clip_b32,20260910,0.0,10,lineage_deduplicated_rank,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias|cifar100__pool3|cifar100__pool1,286.8956904301681,10,0,2,2,0.0,0.0,6.642751395702362e-05,0.05576283298432827,2.1207076590508223,nan,nan,nan,nan,nan,nan,False,0.0,True,True,0,False,5.191077157165676,-0.4111783800028661,-2.374051141061841,-4.82400263236849,3.6637077504094244,5.6421612506806404,1.978453500271216,5.051514923734726,True,,5.451710894703865
clip_b32,20260910,0.1,3,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1,250.40245583937335,3,0,1,0,0.0,0.0,1.8768012523651123e-05,0.04402737133204937,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.363754637964774,2.8300604316457427,5.459750186548355,2.6296897549026124,5.124841980480881,True,,5.261220846325159
clip_b32,20260910,0.1,5,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias,265.26410928770935,4,1,1,1,0.1,0.01,1.8768012523651123e-05,0.044113339856266975,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,1.1539214028744027e-10,9.965813527575904,-9.0186147014158,3.212515597072454,5.546135948195782,2.333620351123328,5.052667819988036,True,,5.261229075491428
clip_b32,20260910,0.1,8,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias,284.03756535540145,7,1,2,1,0.1,0.0035714285714285718,1.8768012523651123e-05,0.048310836777091026,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,-0.49986306899995725,0.7095086427838737,-6.090354123916711,3.526525520202861,5.627431208003164,2.1009056878003025,5.074806240283551,True,,5.261235794052482
clip_b32,20260910,0.1,10,rank_only,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool2|cifar100__pool0|cifar100__alias|cifar100__pool3|cifar100__pool1,286.5649729362081,8,2,2,2,0.1,0.0044444444444444444,1.8768012523651123e-05,0.05447723716497421,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,-0.053405712215010226,-2.341216882030949,-4.597927180705653,3.6631454645787396,5.641790205086525,1.9786447405077854,5.053475369957224,True,,5.261244047433138
clip_b32,20260910,0.1,3,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias,235.03870120140857,3,0,3,0,0.0,0.0,1.5456085819751024,0.056877924129366875,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,-1.2736077617800277,6.921497244666767,-15.363754637964774,2.8300604316457427,5.459750186548355,2.6296897549026124,5.124841980480881,True,,5.2612477745860815
clip_b32,20260910,0.1,5,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias|svhn__pool2|cifar100__pool2,256.24549458629355,5,0,5,0,0.0,0.0,1.5456085819751024,0.04214833304286003,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,1.1539214028744027e-10,9.965813527575904,-9.0186147014158,3.212515597072454,5.546135948195782,2.333620351123328,5.052667819988036,True,,5.261251365765929
clip_b32,20260910,0.1,8,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias|svhn__pool2|cifar100__pool2|dtd__pool3|dtd__pool1|cifar100__alias,277.94721123148474,8,0,5,0,0.0,0.0,1.5456085819751024,0.047316450625658035,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,-0.49986306899995725,0.7095086427838737,-6.090354123916711,3.526525520202861,5.627431208003164,2.1009056878003025,5.074806240283551,True,,5.261256795376539
clip_b32,20260910,0.1,10,rank_l_gram,0,dtd__pool0|cifar10__pool1|eurosat__alias|svhn__pool2|cifar100__pool2|dtd__pool3|dtd__pool1|cifar100__alias|dtd__alias|cifar10__pool2,281.96704575550245,9,1,5,1,0.1,0.0022222222222222222,1.5456085819751024,0.05231616832315922,2.1653867922723293,0.9233898305084746,0.12157887651184504,0.5066666666666667,0.30003565062388593,0.2,0.5333333333333333,True,nan,True,True,0,False,5.191077157165676,-0.053405712215010226,-2.341216882030949,-4.597927180705653,3.6631454645787396,5.641790205086525,1.9786447405077854,5.053475369957224,True,,5.261260474100709
