encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
dinov2_b14,beans,rank_only,-1,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,tiny_imagenet,tiny_imagenet|cifar100_coarse|cifar100,0.9245648059208573,0.9160541791404009,0.008510626780456443,0.5641018347587652,0.9375,0.9234375,0.014062499999999978,5,3,21
dinov2_b14,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,cifar10,cifar10,1,organcmnist,organcmnist|cifar100|mnist,0.9245648059208573,0.9199226472894274,0.004642158631429916,0.3076918150428411,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,0.9245648059208573,0.9160541791404009,0.008510626780456443,0.5641018347587652,0.9375,0.9234375,0.014062499999999978,5,3,21
dinov2_b14,beans,dpp_subspace,-1,3,21,0.8571428571428572,1,0.3333333333333333,cifar10,cifar10,1,cifar10,tiny_imagenet|cifar100_coarse|cifar10,0.9245648059208573,0.9245648059208573,0.0,0.0,0.9375,0.9375,0.0,5,3,21
dinov2_b14,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,0.9245648059208573,0.9160541791404009,0.008510626780456443,0.5641018347587652,0.9375,0.9234375,0.014062499999999978,5,3,21
dinov2_b14,beans,full_merged_rank,-1,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,stl10,tiny_imagenet|cifar100|stl10,0.9245648059208573,0.916634435210975,0.00793037070988234,0.5256412698104327,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,random,0,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,dermamnist,dermamnist|octmnist|stl10,0.9245648059208573,0.9170212964831744,0.007543509437682894,0.49999930957949495,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,random,1,3,21,0.8571428571428572,1,0.3333333333333333,cifar10,cifar10,1,cifar10,bloodmnist|cifar10|cifar100,0.9245648059208573,0.9245648059208573,0.0,0.0,0.9375,0.9375,0.0,5,3,21
dinov2_b14,beans,random,2,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,tiny_imagenet,pneumoniamnist|rendered_sst2|tiny_imagenet,0.9245648059208573,0.9160541791404009,0.008510626780456443,0.5641018347587652,0.9375,0.9234375,0.014062499999999978,5,3,21
dinov2_b14,beans,random,3,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,organamnist,mnist|organamnist|pneumoniamnist,0.9245648059208573,0.9143133682715824,0.010251437649274941,0.6794863570037706,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,random,4,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,octmnist,bloodmnist|octmnist|rendered_sst2,0.9245648059208573,0.9133462465362807,0.01121855938457661,0.7435891733288325,0.9375,0.9296875,0.0078125,5,3,21
dinov2_b14,beans,random,5,3,21,0.8571428571428572,0,0.0,cifar10,cifar10,1,dermamnist,cifar100_coarse|dermamnist|retinamnist,0.9245648059208573,0.9170212964831744,0.007543509437682894,0.49999930957949495,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,random,6,3,21,0.8571428571428572,0,0.3333333333333333,cifar10,cifar10,1,organcmnist,organcmnist|pathmnist|stl10,0.9245648059208573,0.9199226472894274,0.004642158631429916,0.3076918150428411,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,random,7,3,21,0.8571428571428572,0,0.3333333333333333,cifar10,cifar10,1,organcmnist,dermamnist|mnist|organcmnist,0.9245648059208573,0.9199226472894274,0.004642158631429916,0.3076918150428411,0.9375,0.928125,0.009375000000000022,5,3,21
dinov2_b14,beans,random,8,3,21,0.8571428571428572,1,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10|cifar100|organsmnist,0.9245648059208573,0.9245648059208573,0.0,0.0,0.9375,0.9375,0.0,5,3,21
