encoder,target,shortlist_size,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard
clip_b32,beans,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,beans,5,1.0,0.0,-0.004061894248486575,-0.190909030299545,-0.012500000000000067,0.6666666666666666
clip_b32,beans,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,dtd,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,dtd,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
clip_b32,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,eurosat,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,eurosat,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
clip_b32,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,flowers102,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,flowers102,5,-1.0,-0.33333333333333337,0.005686264038086031,0.10357125750302613,-0.0007600307464599165,0.6666666666666666
clip_b32,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,food101,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,food101,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
clip_b32,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,gtsrb,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,gtsrb,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
clip_b32,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,oxford_pets,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,oxford_pets,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
clip_b32,oxford_pets,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,beans,3,1.0,0.3333333333333333,-0.008510626780456443,-0.5641018347587652,-0.014062499999999978,0.5
dinov2_b14,beans,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,beans,10,0.0,-0.3333333333333333,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,dtd,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
dinov2_b14,dtd,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,eurosat,3,-1.0,-0.3333333333333333,0.001399995534420051,0.09459433984665688,-0.0012592792510985884,0.5
dinov2_b14,eurosat,5,-1.0,-0.3333333333333333,0.001399995534420051,0.09459433984665688,-0.0012592792510985884,0.6666666666666666
dinov2_b14,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,flowers102,3,0.0,-0.3333333333333333,0.0001960730552674761,0.02438968692800654,7.997751235955253e-05,0.5
dinov2_b14,flowers102,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,food101,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
dinov2_b14,food101,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
