encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
vit_b16,beans,rank_only,-1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,cifar100,tiny_imagenet|cifar100_coarse|cifar100,0.8471953688437981,0.8365570710982759,0.010638297745522163,0.38461552559533546,0.8578125,0.8203125,0.03749999999999998,5,3,21
vit_b16,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,organsmnist,organsmnist|cifar100|mnist,0.8471953688437981,0.8415860912440133,0.005609277599784801,0.20279703612915564,0.8578125,0.85,0.0078125,5,3,21
vit_b16,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,usps,tiny_imagenet|rendered_sst2|usps,0.8471953688437981,0.8365570759980775,0.010638292845720598,0.38461534844859646,0.8578125,0.8296875,0.028124999999999956,5,3,21
vit_b16,beans,dpp_subspace,-1,3,21,0.8571428571428572,1,0.3333333333333333,stl10,stl10,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8471953688437981,0.8471953688437981,0.0,0.0,0.8578125,0.8578125,0.0,5,3,21
vit_b16,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,usps,tiny_imagenet|rendered_sst2|usps,0.8471953688437981,0.8365570759980775,0.010638292845720598,0.38461534844859646,0.8578125,0.8296875,0.028124999999999956,5,3,21
vit_b16,beans,full_merged_rank,-1,3,21,0.8571428571428572,1,0.3333333333333333,stl10,stl10,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8471953688437981,0.8471953688437981,0.0,0.0,0.8578125,0.8578125,0.0,5,3,21
vit_b16,beans,random,0,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,pneumoniamnist,pneumoniamnist|retinamnist|usps,0.8471953688437981,0.8466151074929671,0.0005802613508310017,0.020978687546742543,0.8578125,0.834375,0.0234375,5,3,21
vit_b16,beans,random,1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,retinamnist,pathmnist|retinamnist|usps,0.8471953688437981,0.8421663594891532,0.005029009354644898,0.1818180993265354,0.8578125,0.83125,0.026562499999999933,5,3,21
vit_b16,beans,random,2,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,organsmnist,cifar10|organsmnist|tiny_imagenet,0.8471953688437981,0.8415860912440133,0.005609277599784801,0.20279703612915564,0.8578125,0.85,0.0078125,5,3,21
vit_b16,beans,random,3,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,usps,organcmnist|tiny_imagenet|usps,0.8471953688437981,0.8365570759980775,0.010638292845720598,0.38461534844859646,0.8578125,0.8296875,0.028124999999999956,5,3,21
vit_b16,beans,random,4,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,organsmnist,organsmnist|tissuemnist|usps,0.8471953688437981,0.8415860912440133,0.005609277599784801,0.20279703612915564,0.8578125,0.85,0.0078125,5,3,21
vit_b16,beans,random,5,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,pneumoniamnist,breastmnist|cifar100_coarse|pneumoniamnist,0.8471953688437981,0.8466151074929671,0.0005802613508310017,0.020978687546742543,0.8578125,0.834375,0.0234375,5,3,21
