encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
clip_b32,bloodmnist,medical,0,beans,0.8626692623072943,0.028337908602730673,0.8894231319|0.8212560415|0.8599033952|0.8446601629|0.8980582952,1034,stratified_5_fold,5,20260906,0.8828125,500,600,256,128,0.01,2.0669200401753187,0.15598559565842152,npu:5
clip_b32,bloodmnist,medical,0,dtd,0.6537234544754028,0.01753303997383438,0.6702128053|0.6768617630|0.6515958309|0.6316489577|0.6382979155,3760,stratified_5_fold,5,20260906,0.6797872185707092,500,600,256,128,0.01,2.0669200401753187,0.09337407909333706,npu:5
clip_b32,bloodmnist,medical,0,eurosat,0.9025999890685081,0.005001137790549879,0.9105367064|0.8992016315|0.9039039016|0.8956871033|0.9036144018,5000,stratified_5_fold,5,20260906,0.9103703498840332,500,600,256,128,0.01,2.0669200401753187,0.05287499539554119,npu:5
clip_b32,bloodmnist,medical,0,flowers102,0.8254902601242066,0.030784939564781615,0.8186274767|0.8529412746|0.8039216399|0.8676471114|0.7843137980,1020,stratified_5_fold,5,20260906,0.8359999656677246,500,600,256,128,0.01,2.0669200401753187,0.049281032755970955,npu:5
clip_b32,bloodmnist,medical,0,food101,0.6858000203371047,0.005755112118202087,0.6841584444|0.6930693388|0.6900990605|0.6762375832|0.6854166985,5000,stratified_5_fold,5,20260906,0.7389999628067017,500,600,256,128,0.01,2.0669200401753187,0.05190424248576164,npu:5
clip_b32,bloodmnist,medical,0,gtsrb,0.8058000167250633,0.013656660447980551,0.8210422993|0.7890547514|0.7972028255|0.8229376078|0.7985758185,5000,stratified_5_fold,5,20260906,0.7447999715805054,500,600,256,128,0.01,2.0669200401753187,0.05215232074260712,npu:5
clip_b32,bloodmnist,medical,0,oxford_pets,0.8288043554386367,0.014669383855588332,0.8051420450|0.8423913121|0.8247283101|0.8462585211|0.8256130815,3680,stratified_5_fold,5,20260906,0.7819569110870361,500,600,256,128,0.01,2.0669200401753187,0.04349981248378754,npu:5
clip_b32,bloodmnist,medical,1,beans,0.8713733196489124,0.015632192279037477,0.8750000000|0.8502415419|0.8647342920|0.8980582952|0.8689320683,1034,stratified_5_fold,5,20260906,0.875,500,600,256,128,0.01,1.3499630708247423,0.03801238350570202,npu:5
clip_b32,bloodmnist,medical,1,dtd,0.6526595950126648,0.00631613840409033,0.6609042883|0.6569148898|0.6529255509|0.6422872543|0.6502659917,3760,stratified_5_fold,5,20260906,0.6638298034667969,500,600,256,128,0.01,1.3499630708247423,0.041499167680740356,npu:5
clip_b32,bloodmnist,medical,1,eurosat,0.9017999774336815,0.00424966468605388,0.8976142406|0.9071856737|0.8998999000|0.8976930380|0.9066264629,5000,stratified_5_fold,5,20260906,0.9129629731178284,500,600,256,128,0.01,1.3499630708247423,0.04069376550614834,npu:5
clip_b32,bloodmnist,medical,1,flowers102,0.831372606754303,0.026777454523495184,0.8039216399|0.8480392694|0.8578432202|0.8529412150|0.7941176891,1020,stratified_5_fold,5,20260906,0.8375999927520752,500,600,256,128,0.01,1.3499630708247423,0.045860642567276955,npu:5
clip_b32,bloodmnist,medical,1,food101,0.6820000306367874,0.010954698043579117,0.6702970266|0.6910891533|0.6891089678|0.6673267484|0.6927083731,5000,stratified_5_fold,5,20260906,0.739799976348877,500,600,256,128,0.01,1.3499630708247423,0.04128899611532688,npu:5
clip_b32,bloodmnist,medical,1,gtsrb,0.8045999899864197,0.009026679669784642,0.7954769135|0.8009949923|0.8031967878|0.8219316006|0.8016276360,5000,stratified_5_fold,5,20260906,0.7529999613761902,500,600,256,128,0.01,1.3499630708247423,0.039438629522919655,npu:5
clip_b32,bloodmnist,medical,1,oxford_pets,0.8274456792065631,0.006965847239342807,0.8186738491|0.8301631212|0.8369565606|0.8312925696|0.8201634884,3680,stratified_5_fold,5,20260906,0.7931316494941711,500,600,256,128,0.01,1.3499630708247423,0.04008677415549755,npu:5
