method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.7142857142857143,0.39285714285714285,0.0017074316930126843,0.06448945292266048,-0.0003759537424359999,0.8571428571428571,0,False
facility_subspace,3,28,4,28,0.10714285714285714,0.29761904761904756,0.004525780849173885,0.1541719692561574,0.0037156288112912828,0.8571428571428571,0,False
full_merged_rank,3,28,4,28,0.75,0.5119047619047619,0.0015384685117630478,0.049619883107042614,-0.000269461955342972,0.8571428571428571,0,False
kcenter_subspace,3,28,4,28,0.5357142857142857,0.2619047619047619,0.002432452737901876,0.09760972984495055,0.002947191255433216,0.8571428571428571,0,False
pool_vendi_subspace,3,28,4,28,0.5357142857142857,0.2619047619047619,0.002432452737901876,0.09760972984495055,0.002947191255433216,0.8571428571428571,0,False
random,3,2800,4,28,0.13642857142857143,0.1394047619047619,0.007499230356997323,0.24927673978192594,0.0071457513485635995,0.8571428571428571,0,False
rank_only,3,28,4,28,0.7142857142857143,0.5238095238095238,0.001711022156406323,0.05798484757303324,0.0006134854895727959,0.8571428571428571,0,False
dpp_subspace,5,28,4,28,0.7857142857142857,0.4880952380952381,0.0011887640785263529,0.039002881968925776,-0.0005934540714536399,0.7619047619047619,0,False
facility_subspace,5,28,4,28,0.17857142857142858,0.39285714285714285,0.002905391878939151,0.10406031944792697,0.0026643254927226434,0.7619047619047619,0,False
full_merged_rank,5,28,4,28,0.8214285714285714,0.7261904761904762,0.0010659240208598653,0.038495853803770755,0.00014839683260236308,0.7619047619047619,1,False
kcenter_subspace,5,28,4,28,0.5357142857142857,0.2738095238095238,0.002384097008122338,0.09545456480358808,0.0026123698268617867,0.7619047619047619,0,False
pool_vendi_subspace,5,28,4,28,0.6071428571428571,0.4047619047619047,0.0018292993840069438,0.07646674141032374,0.002144512959889003,0.7619047619047619,0,False
random,5,2800,4,28,0.245,0.2458333333333333,0.005263389391980933,0.17435285942385545,0.005094773582049777,0.7619047619047618,0,False
rank_only,5,28,4,28,0.8214285714285714,0.7261904761904762,0.0010659240208598653,0.038495853803770755,0.00014839683260236308,0.7619047619047619,1,False
dpp_subspace,10,28,4,28,0.8571428571428571,0.7976190476190476,0.0007967675767896158,0.02612851396501009,-9.647778102330116e-05,0.5238095238095238,2,False
facility_subspace,10,28,4,28,0.25,0.5,0.0023179365897706256,0.07910082953438695,0.0018456786870956396,0.5238095238095238,0,False
full_merged_rank,10,28,4,28,0.8928571428571429,0.8571428571428571,0.0007343411721226965,0.024774057096646825,-0.00013062102454049405,0.5238095238095238,2,False
kcenter_subspace,10,28,4,28,0.6428571428571429,0.5238095238095238,0.0007644972165077947,0.03730774994953331,0.0019319755690438364,0.5238095238095238,0,False
pool_vendi_subspace,10,28,4,28,0.7857142857142857,0.5714285714285714,0.0005534846187481171,0.021974121854651845,0.0009473856006349832,0.5238095238095238,0,False
random,10,2800,4,28,0.4682142857142857,0.4714285714285714,0.002848585953501014,0.09225448736295384,0.0028367316509996143,0.5238095238095238,0,False
rank_only,10,28,4,28,0.8928571428571429,0.8095238095238095,0.0008103288518392648,0.026841722101735167,-0.0004096388816833512,0.5238095238095238,2,False
