encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
dinov2_b14,bloodmnist,medical,0,beans,0.9013539727352112,0.014987065901628117,0.8990385532|0.8743960857|0.9033816457|0.9174757004|0.9126213789,1034,stratified_5_fold,5,20260906,0.890625,500,600,256,128,0.01,2.054352918639779,0.15394369699060917,npu:5
dinov2_b14,bloodmnist,medical,0,dtd,0.744680893421173,0.011531641475052453,0.7420213223|0.7593085766|0.7566489577|0.7300532460|0.7353723645,3760,stratified_5_fold,5,20260906,0.7473404407501221,500,600,256,128,0.01,2.054352918639779,0.07707703299820423,npu:5
dinov2_b14,bloodmnist,medical,0,eurosat,0.9053999830365181,0.01282967158182176,0.9214711189|0.9191616774|0.8968968987|0.8886660337|0.9006023407,5000,stratified_5_fold,5,20260906,0.9085185527801514,500,600,256,128,0.01,2.054352918639779,0.05046892538666725,npu:5
dinov2_b14,bloodmnist,medical,0,flowers102,0.9980392336845398,0.0024014384889312393,1.0000000000|1.0000000000|0.9950981140|1.0000000000|0.9950980544,1020,stratified_5_fold,5,20260906,0.995199978351593,500,600,256,128,0.01,2.054352918639779,0.04719761572778225,npu:5
dinov2_b14,bloodmnist,medical,0,food101,0.7500000381469727,0.01618963706275103,0.7336634398|0.7415841818|0.7762376070|0.7376238108|0.7614583969,5000,stratified_5_fold,5,20260906,0.7931999564170837,500,600,256,128,0.01,2.054352918639779,0.046958714723587036,npu:5
dinov2_b14,bloodmnist,medical,0,gtsrb,0.6323999986767769,0.008458441698880496,0.6401180029|0.6248756051|0.6423576474|0.6338027716|0.6205493808,5000,stratified_5_fold,5,20260906,0.5237999558448792,500,600,256,128,0.01,2.054352918639779,0.0449196882545948,npu:5
dinov2_b14,bloodmnist,medical,0,oxford_pets,0.9456521453092928,0.008523177271578338,0.9553449750|0.9402173758|0.9334238768|0.9442177415|0.9550408125,3680,stratified_5_fold,5,20260906,0.9373126029968262,500,600,256,128,0.01,2.054352918639779,0.04080456495285034,npu:5
dinov2_b14,bloodmnist,medical,1,beans,0.9197292070208942,0.018427855767378144,0.9326923490|0.8888888955|0.9082125425|0.9368932247|0.9320387840,1034,stratified_5_fold,5,20260906,0.9375,500,600,256,128,0.01,1.2458647694438696,0.042862843722105026,npu:5
dinov2_b14,bloodmnist,medical,1,dtd,0.742287278175354,0.004560194172030079,0.7420213223|0.7460106611|0.7486702204|0.7380319834|0.7367022038,3760,stratified_5_fold,5,20260906,0.7441489100456238,500,600,256,128,0.01,1.2458647694438696,0.03753107413649559,npu:5
dinov2_b14,bloodmnist,medical,1,eurosat,0.9081999835848809,0.00959270713494952,0.9145128727|0.9081836939|0.8898898363|0.9167502522|0.9116465449,5000,stratified_5_fold,5,20260906,0.9048147797584534,500,600,256,128,0.01,1.2458647694438696,0.03654759004712105,npu:5
dinov2_b14,bloodmnist,medical,1,flowers102,0.9970588684082031,0.002401423888760669,0.9950981140|1.0000000000|0.9950981140|1.0000000000|0.9950981140,1020,stratified_5_fold,5,20260906,0.9943999648094177,500,600,256,128,0.01,1.2458647694438696,0.03856733813881874,npu:5
dinov2_b14,bloodmnist,medical,1,food101,0.7476000335216523,0.014105875481802102,0.7376238108|0.7415841818|0.7633663416|0.7306931019|0.7656250596,5000,stratified_5_fold,5,20260906,0.7991999387741089,500,600,256,128,0.01,1.2458647694438696,0.040877724066376686,npu:5
dinov2_b14,bloodmnist,medical,1,gtsrb,0.635800009071827,0.01334699590286431,0.6597837210|0.6238805652|0.6403596401|0.6287726164|0.6256358624,5000,stratified_5_fold,5,20260906,0.5183999538421631,500,600,256,128,0.01,1.2458647694438696,0.03631780855357647,npu:5
dinov2_b14,bloodmnist,medical,1,oxford_pets,0.9423912945972837,0.002624545607572857,0.9472258687|0.9415761232|0.9402173758|0.9428572059|0.9400544763,3680,stratified_5_fold,5,20260906,0.934859573841095,500,600,256,128,0.01,1.2458647694438696,0.036598581820726395,npu:5
dinov2_b14,bloodmnist,medical,2,beans,0.9148936065875816,0.016250355391551397,0.9182692766|0.9178743958|0.8840579987|0.9223300219|0.9320387840,1034,stratified_5_fold,5,20260906,0.921875,500,600,256,128,0.01,1.10032070428133,0.04284888133406639,npu:5
dinov2_b14,bloodmnist,medical,2,dtd,0.7335106611251831,0.012234057550863273,0.7380319238|0.7353723645|0.7460106611|0.7101063728|0.7380319834,3760,stratified_5_fold,5,20260906,0.7409574389457703,500,600,256,128,0.01,1.10032070428133,0.044178882613778114,npu:5
dinov2_b14,bloodmnist,medical,2,eurosat,0.9063999859333038,0.006734651436244325,0.9055665731|0.9101796150|0.8968968987|0.9167502522|0.9026104212,5000,stratified_5_fold,5,20260906,0.9088888764381409,500,600,256,128,0.01,1.10032070428133,0.05097833834588528,npu:5
dinov2_b14,bloodmnist,medical,2,flowers102,0.9970588326454163,0.00392155647277832,1.0000000000|0.9950980544|0.9901961088|1.0000000000|1.0000000000,1020,stratified_5_fold,5,20260906,0.9941999912261963,500,600,256,128,0.01,1.10032070428133,0.04170291684567928,npu:5
dinov2_b14,bloodmnist,medical,2,food101,0.7580000462532044,0.010666012064733464,0.7485148907|0.7524752617|0.7663366795|0.7485148907|0.7750000954,5000,stratified_5_fold,5,20260906,0.7973999977111816,500,600,256,128,0.01,1.10032070428133,0.04105181619524956,npu:5
dinov2_b14,bloodmnist,medical,2,gtsrb,0.6394000121235848,0.015297524006100308,0.6597837210|0.6248756051|0.6453546286|0.6478873491|0.6185147762,5000,stratified_5_fold,5,20260906,0.5289999842643738,500,600,256,128,0.01,1.10032070428133,0.03889353759586811,npu:5
dinov2_b14,bloodmnist,medical,2,oxford_pets,0.9383151950395625,0.006111929420799359,0.9431663752|0.9361413121|0.9279891253|0.9387755394|0.9455040097,3680,stratified_5_fold,5,20260906,0.9362223744392395,500,600,256,128,0.01,1.10032070428133,0.03547517769038677,npu:5
dinov2_b14,bloodmnist,medical,3,beans,0.9032882095190266,0.0175272865048221,0.9086539745|0.9033816457|0.8792270422|0.8932038546|0.9320387840,1034,stratified_5_fold,5,20260906,0.921875,500,600,256,128,0.01,1.1044457890093327,0.042777592316269875,npu:5
dinov2_b14,bloodmnist,medical,3,dtd,0.742553198337555,0.014138321612606019,0.7486702204|0.7446808815|0.7473404408|0.7154255509|0.7566488981,3760,stratified_5_fold,5,20260906,0.7324467301368713,500,600,256,128,0.01,1.1044457890093327,0.04641107656061649,npu:5
dinov2_b14,bloodmnist,medical,3,eurosat,0.906399985909462,0.00789954126219035,0.9105367064|0.9171656966|0.8968968987|0.9097291827|0.8975903392,5000,stratified_5_fold,5,20260906,0.9085185527801514,500,600,256,128,0.01,1.1044457890093327,0.04580053314566612,npu:5
dinov2_b14,bloodmnist,medical,3,flowers102,0.9970588326454163,0.0039215564727783205,1.0000000000|1.0000000000|0.9901961088|1.0000000000|0.9950980544,1020,stratified_5_fold,5,20260906,0.9941999912261963,500,600,256,128,0.01,1.1044457890093327,0.04625481180846691,npu:5
dinov2_b14,bloodmnist,medical,3,food101,0.7520000356435775,0.010622955798485182,0.7485148907|0.7356436253|0.7683168650|0.7514851689|0.7562500238,5000,stratified_5_fold,5,20260906,0.796999990940094,500,600,256,128,0.01,1.1044457890093327,0.04948266223073006,npu:5
dinov2_b14,bloodmnist,medical,3,gtsrb,0.634199988937378,0.01309753672618418,0.6479842663|0.6189054251|0.6513485909|0.6237424612|0.6286877394,5000,stratified_5_fold,5,20260906,0.5167999863624573,500,600,256,128,0.01,1.1044457890093327,0.03914390876889229,npu:5
dinov2_b14,bloodmnist,medical,3,oxford_pets,0.9410326088252274,0.008425056357585408,0.9553450346|0.9415760636|0.9293478727|0.9374150038|0.9414168596,3680,stratified_5_fold,5,20260906,0.9364949464797974,500,600,256,128,0.01,1.1044457890093327,0.03503036871552467,npu:5
dinov2_b14,bloodmnist,medical,4,beans,0.9158607280923042,0.013801527757564633,0.9230769277|0.9033815861|0.8985507488|0.9174757004|0.9368932247,1034,stratified_5_fold,5,20260906,0.9140625,500,600,256,128,0.01,1.110926989465952,0.037490975111722946,npu:5
dinov2_b14,bloodmnist,medical,4,dtd,0.7396276950836181,0.014601033578714376,0.7539893985|0.7406915426|0.7393617630|0.7127659917|0.7513297796,3760,stratified_5_fold,5,20260906,0.7361701726913452,500,600,256,128,0.01,1.110926989465952,0.03774901479482651,npu:5
dinov2_b14,bloodmnist,medical,4,eurosat,0.9076000128984452,0.007298502703148136,0.9065605998|0.9211577177|0.9019019604|0.9077231884|0.9006024003,5000,stratified_5_fold,5,20260906,0.907037079334259,500,600,256,128,0.01,1.110926989465952,0.03727922402322292,npu:5
dinov2_b14,bloodmnist,medical,4,flowers102,0.9980392217636108,0.0039215564727783205,1.0000000000|1.0000000000|0.9901961088|1.0000000000|1.0000000000,1020,stratified_5_fold,5,20260906,0.9941999912261963,500,600,256,128,0.01,1.110926989465952,0.0501086451113224,npu:5
dinov2_b14,bloodmnist,medical,4,food101,0.7570000326633454,0.01485430747448699,0.7485148907|0.7455445528|0.7772277594|0.7415841818|0.7729167342,5000,stratified_5_fold,5,20260906,0.8009999990463257,500,600,256,128,0.01,1.110926989465952,0.0473041869699955,npu:5
dinov2_b14,bloodmnist,medical,4,gtsrb,0.6318000264286995,0.008674469001874425,0.6430678964|0.6308457851|0.6353646517|0.6327967644|0.6164802313,5000,stratified_5_fold,5,20260906,0.5215999484062195,500,600,256,128,0.01,1.110926989465952,0.049088142812252045,npu:5
dinov2_b14,bloodmnist,medical,4,oxford_pets,0.9413043568963589,0.007311441272499298,0.9512854815|0.9361413121|0.9388587475|0.9319728613|0.9482288361,3680,stratified_5_fold,5,20260906,0.9302261471748352,500,600,256,128,0.01,1.110926989465952,0.04616190306842327,npu:5
dinov2_b14,breastmnist,medical,0,beans,0.902321111590996,0.01933488588121766,0.9038462639|0.8647342920|0.9178743958|0.9126213789|0.9126213789,1034,stratified_5_fold,5,20260906,0.9375,500,600,256,128,0.01,1.1769808400422335,0.03907450847327709,npu:5
dinov2_b14,breastmnist,medical,0,dtd,0.7393617391586303,0.016694009123840253,0.7513298392|0.7406915426|0.7539893985|0.7074468136|0.7433511019,3760,stratified_5_fold,5,20260906,0.7367020845413208,500,600,256,128,0.01,1.1769808400422335,0.04711792431771755,npu:5
dinov2_b14,breastmnist,medical,0,eurosat,0.9077999690651893,0.008629082016457528,0.9125248194|0.9161676764|0.8938938379|0.9147441983|0.9016063809,5000,stratified_5_fold,5,20260906,0.9096296429634094,500,600,256,128,0.01,1.1769808400422335,0.044167185202240944,npu:5
dinov2_b14,breastmnist,medical,0,flowers102,0.995098066329956,0.007594061455178594,1.0000000000|0.9803922176|0.9950981140|1.0000000000|1.0000000000,1020,stratified_5_fold,5,20260906,0.9959999918937683,500,600,256,128,0.01,1.1769808400422335,0.050462258979678154,npu:5
dinov2_b14,breastmnist,medical,0,food101,0.7536000275611877,0.0147358957667916,0.7435643673|0.7475247383|0.7742574215|0.7356436253|0.7677084208,5000,stratified_5_fold,5,20260906,0.7949999570846558,500,600,256,128,0.01,1.1769808400422335,0.05270161293447018,npu:5
dinov2_b14,breastmnist,medical,0,gtsrb,0.6193999808430671,0.008835804378116366,0.6194690466|0.6258705854|0.6193805933|0.6287726164|0.6032553315,5000,stratified_5_fold,5,20260906,0.5313999652862549,500,600,256,128,0.01,1.1769808400422335,0.04864308051764965,npu:5
