encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.0007987487019778092,0.0693912300087253,0.0008478454181126059,0.8571428571428572,False
dinov2_b14,dpp_subspace,5,7,7,0.7142857142857143,0.47619047619047616,0.00032673168130722567,0.024963757013789976,-2.215589795793806e-05,0.7619047619047619,False
dinov2_b14,dpp_subspace,10,7,7,0.7142857142857143,0.8095238095238094,0.0001228959769792632,0.009912950746253828,0.0012738125664847175,0.5238095238095238,False
dinov2_b14,facility_subspace,3,7,7,0.14285714285714285,0.4761904761904762,0.003572704368622432,0.1310356457860519,0.001038413388388488,0.8571428571428572,False
dinov2_b14,facility_subspace,5,7,7,0.14285714285714285,0.4761904761904762,0.003572704368622432,0.1310356457860519,0.001038413388388488,0.7619047619047619,False
dinov2_b14,facility_subspace,10,7,7,0.14285714285714285,0.4761904761904762,0.003572704368622432,0.1310356457860519,0.001038413388388488,0.5238095238095238,False
dinov2_b14,full_merged_rank,3,7,7,0.7142857142857143,0.7619047619047619,0.0001228959769792632,0.009912950746253828,0.0012738125664847175,0.8571428571428572,False
dinov2_b14,full_merged_rank,5,7,7,0.7142857142857143,0.8095238095238094,0.0001228959769792632,0.009912950746253828,0.0012738125664847175,0.7619047619047619,False
dinov2_b14,full_merged_rank,10,7,7,0.8571428571428571,0.8571428571428571,3.9999554838434014e-05,0.0027700500920534504,0.0003809554236275777,0.5238095238095238,False
dinov2_b14,kcenter_subspace,3,7,7,0.5714285714285714,0.23809523809523808,0.0008267598196405165,0.07243075312280947,0.0008364149502345335,0.8571428571428572,False
dinov2_b14,kcenter_subspace,5,7,7,0.5714285714285714,0.23809523809523808,0.0008267598196405165,0.07243075312280947,0.0008364149502345335,0.7619047619047619,False
dinov2_b14,kcenter_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.0002714688042152786,0.02020194425108157,0.00287962981632777,0.5238095238095238,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.5714285714285714,0.23809523809523808,0.0008267598196405165,0.07243075312280947,0.0008364149502345335,0.8571428571428572,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.000630683017795516,0.051154202200421904,0.0008707012448992016,0.7619047619047619,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.0002714688042152786,0.02020194425108157,0.00287962981632777,0.5238095238095238,False
dinov2_b14,random,3,700,7,0.13,0.12714285714285714,0.005027139523667384,0.21353810383724872,0.004680051718439365,0.8571428571428572,False
dinov2_b14,random,5,700,7,0.24857142857142858,0.24285714285714285,0.0036240614215569352,0.15069946026880363,0.0034893227475030005,0.7619047619047619,False
dinov2_b14,random,10,700,7,0.4828571428571429,0.47190476190476194,0.0019328114710590702,0.07769726321835667,0.002060722436223705,0.5238095238095238,False
dinov2_b14,rank_only,3,7,7,0.5714285714285714,0.619047619047619,0.00020692967056534783,0.019031557047237985,0.001228100912911542,0.8571428571428572,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.8095238095238094,0.0001228959769792632,0.009912950746253828,0.0012738125664847175,0.7619047619047619,False
dinov2_b14,rank_only,10,7,7,0.8571428571428571,0.8571428571428571,3.9999554838434014e-05,0.0027700500920534504,0.0003809554236275777,0.5238095238095238,False
