encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,bloodmnist,medical,0,beans,0.849129638715685,0.031430337812159474,0.8125001192|0.8115941882|0.8792270422|0.8834952116|0.8592233658,1034,stratified_5_fold,5,20260906,0.8671875,500,600,256,128,0.01,2.02579434402287,0.15003256872296333,npu:6
resnet50,bloodmnist,medical,0,dtd,0.6132979035377503,0.007862643256410637,0.6156915426|0.6090425849|0.6077128053|0.6276596189|0.6063829660,3760,stratified_5_fold,5,20260906,0.6154254674911499,500,600,256,128,0.01,2.02579434402287,0.07725492678582668,npu:6
resnet50,bloodmnist,medical,0,eurosat,0.9071999779582024,0.007273668019308338,0.9115307331|0.9111776352|0.9159159660|0.8966900706|0.9006023407,5000,stratified_5_fold,5,20260906,0.9129629731178284,500,600,256,128,0.01,2.02579434402287,0.046354832127690315,npu:6
resnet50,bloodmnist,medical,0,flowers102,0.6637255907058716,0.018498013121508176,0.6568628550|0.6960785389|0.6470589042|0.6715687513|0.6470589042,1020,stratified_5_fold,5,20260906,0.6651999950408936,500,600,256,128,0.01,2.02579434402287,0.04568781144917011,npu:6
resnet50,bloodmnist,medical,0,food101,0.3928000183701515,0.005297578434358154,0.3891089261|0.4009901285|0.3930693269|0.3950495124|0.3854166865,5000,stratified_5_fold,5,20260906,0.42739999294281006,500,600,256,128,0.01,2.02579434402287,0.051807330921292305,npu:6
resnet50,bloodmnist,medical,0,gtsrb,0.6808000047802925,0.011259585817804275,0.6941986680|0.6865671277|0.6763236523|0.6851106882|0.6612411141,5000,stratified_5_fold,5,20260906,0.5784000158309937,500,600,256,128,0.01,2.02579434402287,0.05382431671023369,npu:6
resnet50,bloodmnist,medical,0,oxford_pets,0.9059782676398754,0.010693633046643374,0.9161027670|0.8885869980|0.9035326242|0.9183673859|0.9032697678,3680,stratified_5_fold,5,20260906,0.8778958320617676,500,600,256,128,0.01,2.02579434402287,0.05328073538839817,npu:6
resnet50,bloodmnist,medical,1,beans,0.8462282582915729,0.005700822279006995,0.8509616256|0.8405797482|0.8454105854|0.8398058414|0.8543689251,1034,stratified_5_fold,5,20260906,0.8671875,500,600,256,128,0.01,1.1732178255915642,0.03755457513034344,npu:6
resnet50,bloodmnist,medical,1,dtd,0.6156915187835693,0.012446108826789594,0.6316489577|0.6010638475|0.6050532460|0.6289893389|0.6117022038,3760,stratified_5_fold,5,20260906,0.6186169385910034,500,600,256,128,0.01,1.1732178255915642,0.03722755238413811,npu:6
resnet50,bloodmnist,medical,1,eurosat,0.8997999813914299,0.008603347432691087,0.9065605402|0.9121756554|0.8888888955|0.8926780224|0.8985943794,5000,stratified_5_fold,5,20260906,0.9044444561004639,500,600,256,128,0.01,1.1732178255915642,0.03779119625687599,npu:6
