encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
vit_b16,bloodmnist,medical,0,beans,0.8597679029235065,0.00785769796588311,0.8509615660|0.8695652485|0.8550724387|0.8543689251|0.8689320683,1034,stratified_5_fold,5,20260907,0.796875,500,600,256,128,0.01,2.06366416066885,0.1651634592562914,npu:6
vit_b16,bloodmnist,medical,0,dtd,0.5890957713127136,0.018174840629013467,0.5837765932|0.5558511019|0.6023936272|0.6050532460|0.5984042883,3760,stratified_5_fold,5,20260907,0.6021276116371155,500,600,256,128,0.01,2.06366416066885,0.07939222641289234,npu:6
vit_b16,bloodmnist,medical,0,eurosat,0.8920000041365623,0.004358096777265225,0.8986083269|0.8942116499|0.8868868947|0.8926780224|0.8875501752,5000,stratified_5_fold,5,20260907,0.8929629325866699,500,600,256,128,0.01,2.06366416066885,0.045499805361032486,npu:6
vit_b16,bloodmnist,medical,0,flowers102,0.7000000596046447,0.0337345968327322,0.7107843757|0.7401961088|0.7205883265|0.6862745285|0.6421569586,1020,stratified_5_fold,5,20260907,0.7095999717712402,500,600,256,128,0.01,2.06366416066885,0.0426056869328022,npu:6
vit_b16,bloodmnist,medical,0,food101,0.4292000277042389,0.01924068364106724,0.3910891414|0.4405940771|0.4386138916|0.4415841699|0.4343750477,5000,stratified_5_fold,5,20260907,0.47380000352859497,500,600,256,128,0.01,2.06366416066885,0.041973235085606575,npu:6
vit_b16,bloodmnist,medical,0,gtsrb,0.620599999988079,0.012769875906769592,0.5978367925|0.6248756051|0.6313686371|0.6167001724|0.6327568889,5000,stratified_5_fold,5,20260907,0.5031999349594116,500,600,256,128,0.01,2.06366416066885,0.03962074592709541,npu:6
vit_b16,bloodmnist,medical,0,oxford_pets,0.9160325970824645,0.006907189543603776,0.9228686690|0.9089673758|0.9252717495|0.9142857790|0.9087193012,3680,stratified_5_fold,5,20260907,0.8977922201156616,500,600,256,128,0.01,2.06366416066885,0.04550156928598881,npu:6
vit_b16,bloodmnist,medical,1,beans,0.8384913086775885,0.016291083149665524,0.8221154809|0.8405796885|0.8647342920|0.8203883171|0.8446602225,1034,stratified_5_fold,5,20260907,0.8828125,500,600,256,128,0.01,1.1785577163100243,0.03853334300220013,npu:6
vit_b16,bloodmnist,medical,1,dtd,0.5986702561378479,0.012903723280303035,0.5837766528|0.5824468732|0.6077128053|0.6063829660|0.6130319834,3760,stratified_5_fold,5,20260907,0.6154255270957947,500,600,256,128,0.01,1.1785577163100243,0.03568016365170479,npu:6
vit_b16,bloodmnist,medical,1,eurosat,0.8927999840259552,0.006591279921805958,0.8926440477|0.9011976123|0.8818818927|0.8906720281|0.8975903392,5000,stratified_5_fold,5,20260907,0.886296272277832,500,600,256,128,0.01,1.1785577163100243,0.04549277573823929,npu:6
