encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,passes_90pct_recall_at_50pct_removal
vit_b16,dpp_subspace,3,7,7,0.7142857142857143,0.42857142857142855,0.0010355066222096049,0.03801902799817614,-0.007145709650857098,0.8571428571428572,False
vit_b16,dpp_subspace,5,7,7,0.7142857142857143,0.4761904761904762,0.0007543511722061089,0.027165390277654935,-0.006066678251538948,0.7619047619047619,False
vit_b16,dpp_subspace,10,7,7,1.0,0.9047619047619048,0.0,0.0,0.0,0.5238095238095238,True
vit_b16,facility_subspace,3,7,7,0.14285714285714285,0.23809523809523808,0.0042350460324563355,0.13190548614486697,-0.0030483330999101737,0.8571428571428572,False
vit_b16,facility_subspace,5,7,7,0.2857142857142857,0.380952380952381,0.0023390051106113347,0.08373512573502026,-0.0051586866378784,0.7619047619047619,False
vit_b16,facility_subspace,10,7,7,0.42857142857142855,0.5238095238095238,0.0016758398487663948,0.060089848036594166,0.0004216705049787423,0.5238095238095238,False
vit_b16,full_merged_rank,3,7,7,0.7142857142857143,0.42857142857142855,0.0010355066222096049,0.03801902799817614,-0.007145709650857098,0.8571428571428572,False
vit_b16,full_merged_rank,5,7,7,0.8571428571428571,0.7142857142857143,0.0006631652618449399,0.023645277698426097,-0.005580357142857143,0.7619047619047619,False
vit_b16,full_merged_rank,10,7,7,1.0,0.8571428571428571,0.0,0.0,0.0,0.5238095238095238,True
vit_b16,kcenter_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.001763801512121315,0.052758344464308195,-0.006194288390023371,0.8571428571428572,False
vit_b16,kcenter_subspace,5,7,7,0.5714285714285714,0.3333333333333333,0.001763801512121315,0.052758344464308195,-0.006194288390023371,0.7619047619047619,False
vit_b16,kcenter_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.0003723413603646649,0.014373750299750045,-0.0015653525079999556,0.5238095238095238,False
vit_b16,pool_vendi_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.001763801512121315,0.052758344464308195,-0.006194288390023371,0.8571428571428572,False
vit_b16,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.0010355066222096049,0.03801902799817614,-0.007145709650857098,0.7619047619047619,False
vit_b16,pool_vendi_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.0003723413603646649,0.014373750299750045,-0.0015653525079999556,0.5238095238095238,False
vit_b16,random,3,700,7,0.15142857142857144,0.1419047619047619,0.006350642822581377,0.21816819072614302,0.0011600787980215958,0.8571428571428572,False
vit_b16,random,5,700,7,0.24571428571428572,0.2480952380952381,0.004368995455503875,0.1490028608745456,-0.0005555507881300753,0.7619047619047619,False
vit_b16,random,10,700,7,0.4642857142857143,0.47952380952380946,0.002311904190434655,0.07700367531486528,-0.0013231962493487704,0.5238095238095238,False
vit_b16,rank_only,3,7,7,0.7142857142857143,0.5238095238095237,0.00139146015175665,0.03838459416455814,-0.004628935882023415,0.8571428571428572,False
vit_b16,rank_only,5,7,7,0.8571428571428571,0.7142857142857143,0.0006631652618449399,0.023645277698426097,-0.005580357142857143,0.7619047619047619,False
vit_b16,rank_only,10,7,7,1.0,0.8571428571428571,0.0,0.0,0.0,0.5238095238095238,True
