encoder,target,candidate_sources,primary_oracles,distinct_primary_oracles,shared_tie_optimal_sources,has_shared_tie_optimal_source,pairwise_spearman_mean,pairwise_spearman_min,top1_margin_mean,top1_margin_min,utility_range_mean,source_split_std_mean
clip_b32,beans,21,20260905:cifar10|20260906:cifar10|20260907:cifar10,1,cifar10,True,0.8844155844155844,0.861038961038961,0.003932946901179994,0.0034816277442173416,0.02488716939892947,0.003362718114239548
clip_b32,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9564844716271842,0.9373173602505138,0.0015248266855875843,0.0002659583091735307,0.02687943061192836,0.0010725147035928343
clip_b32,eurosat,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9692640692640694,0.9675324675324676,0.0014400003155072099,0.0005200047755240522,0.013666665772596898,0.0005204306293030796
clip_b32,flowers102,21,20260905:cifar100|20260906:cifar100|20260907:cifar100,1,cifar100,True,0.9424242424242424,0.9363636363636364,0.0040522885322570685,0.0015686440467833629,0.0523529402414958,0.001959067863146368
clip_b32,food101,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9688311688311688,0.9636363636363636,0.0020266699632008147,0.00180001218318937,0.028853330397605848,0.001027101810965637
clip_b32,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9796536796536796,0.974025974025974,0.003599997664292679,0.0031999896073340306,0.023466659609476803,0.0006470727604561364
clip_b32,oxford_pets,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9619047619047619,0.9571428571428572,0.00257246304465375,0.0013043595980043454,0.028804345866260312,0.0010636956102757537
dinov2_b14,beans,21,20260905:cifar10|20260906:organcmnist|20260907:mnist,3,,False,0.23376623376623376,0.04285714285714286,0.001676335848200113,0.0005802648556301193,0.013023854939112178,0.002339837532065209
dinov2_b14,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9528008102611043,0.9386164834109442,0.004663124879201286,0.0028191471099854315,0.02588652133941649,0.000804841440879496
dinov2_b14,eurosat,21,20260905:cifar100|20260906:pathmnist|20260907:pathmnist,2,,False,0.9108225108225109,0.8688311688311688,0.0005333244967460719,5.030632577174288e-10,0.014453335015773727,0.0004547115711199321
dinov2_b14,flowers102,21,20260905:stl10|20260906:stl10|20260907:mnist,2,stl10,True,0.7236985285076631,0.6866254838005486,0.0001960770289103723,0.0,0.008562047481536883,0.00027204543887009706
