seed,target,accuracy,config,construction_seed,overlap,budget,method,selected
3,beans,0.8407959938049316,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,dtd,0.4936169981956482,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,eurosat,0.8700000047683716,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,fgvc_aircraft,0.13499999046325684,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,flowers102,0.6764706373214722,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,food101,0.24752473831176758,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,gtsrb,0.6000000238418579,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
3,oxford_pets,0.8648648858070374,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,beans,0.8656716346740723,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,dtd,0.5489361882209778,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,eurosat,0.8549999594688416,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,fgvc_aircraft,0.13999998569488525,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,flowers102,0.7009804248809814,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,food101,0.21782177686691284,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,gtsrb,0.6279069781303406,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
4,oxford_pets,0.8738738894462585,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,beans,0.8009949922561646,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,dtd,0.5234042406082153,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,eurosat,0.824999988079071,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,fgvc_aircraft,0.19499999284744263,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,flowers102,0.6666667461395264,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,food101,0.20792078971862793,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
5,gtsrb,0.6465116143226624,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
