encoder,overlap,seeds,alignment_duplicate_auroc_mean,alignment_duplicate_auroc_std,alignment_duplicate_auprc_mean,alignment_duplicate_auprc_std
clip_b32,0.0,10,0.9240677966101696,0.007932171197642604,0.1460126020784003,0.04643794535324715
clip_b32,0.1,10,0.9417627118644069,0.0067679748623286325,0.26913818087771146,0.11037703447323623
clip_b32,0.25,10,0.9661016949152541,0.008104145119566628,0.48496773977862057,0.11335992098915108
clip_b32,0.5,10,0.9959322033898305,0.0036995944731626805,0.8924047619047618,0.07566936770977138
clip_b32,0.75,10,1.0,0.0,1.0,0.0
clip_b32,1.0,10,1.0,0.0,1.0,0.0
dinov2_b14,0.0,10,0.9227118644067795,0.005053260966101207,0.16343342380427223,0.1083065890529633
dinov2_b14,0.1,10,0.9437966101694915,0.0035653254008154336,0.33250319811506523,0.11330593678557975
dinov2_b14,0.25,10,0.9531525423728814,0.0036919942150272496,0.4980201814427132,0.018911312549633186
dinov2_b14,0.5,10,0.9846101694915254,0.0039408956463377375,0.7885315621410074,0.0867949344183015
dinov2_b14,0.75,10,1.0,0.0,1.0,0.0
dinov2_b14,1.0,10,1.0,0.0,1.0,0.0
resnet50,0.0,10,0.9221016949152544,0.0036502597068012047,0.15212401789389218,0.059345329039144516
resnet50,0.1,10,0.9399322033898306,0.0034302672923860566,0.29178512874683055,0.07451485886989631
resnet50,0.25,10,0.9617627118644068,0.0051750919001915885,0.5044886098480624,0.009382819895869992
resnet50,0.5,10,0.9905084745762712,0.004004529976648429,0.7948103080494386,0.05806590414272989
resnet50,0.75,10,1.0,0.0,1.0,0.0
resnet50,1.0,10,1.0,0.0,1.0,0.0
vit_b16,0.0,10,0.923593220338983,0.005788576055901439,0.1404255042085169,0.018702399051678878
vit_b16,0.1,10,0.9429830508474577,0.004221212443363182,0.26824105016638555,0.055345799924985395
vit_b16,0.25,10,0.9619661016949153,0.0036221695647725,0.46410078416122447,0.060240517625601495
vit_b16,0.5,10,0.9945084745762711,0.003997509518664664,0.851205266955267,0.08879586589336123
vit_b16,0.75,10,1.0,0.0,1.0,0.0
vit_b16,1.0,10,1.0,0.0,1.0,0.0
