encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
clip_b32,collapse,3,60,259.59822195433657,0.9781491629038674,2.966666666666667,0.03333333333333333,2.066666666666667,0.03333333333333333,0.0,2.3790086517420908,0.03886638637632132
clip_b32,collapse,5,60,277.25117130202034,0.7299544901389601,4.85,0.15,2.8666666666666667,0.15,0.013266666666666666,2.3790086517420908,0.040643272114296754
clip_b32,collapse,8,60,285.51936978905377,1.4370864012213194,7.35,0.65,3.0,0.65,0.17246666666666668,2.3790086517420908,0.04218758440886935
clip_b32,collapse,10,60,287.43144015381614,1.3170146260153222,8.75,1.25,3.0,1.25,0.43333333333333335,2.3790086517420908,0.04396776252736648
clip_b32,dpp_subspace,3,60,258.12801897230776,0.8917451173148092,3.0,0.0,3.0,0.0,0.0,0.008574673750748238,0.03898559333756566
clip_b32,dpp_subspace,5,60,277.06205378075197,0.6990851622579586,4.933333333333334,0.06666666666666667,3.0,0.06666666666666667,0.0,0.008574673750748238,0.04093715601290266
clip_b32,dpp_subspace,8,60,285.37132138370083,0.6603497566973506,7.65,0.35,3.0,0.35,0.018266666666666667,0.008574673750748238,0.0418779014920195
clip_b32,dpp_subspace,10,60,287.7765557977594,0.7635663968791582,9.516666666666667,0.48333333333333334,3.0,0.48333333333333334,0.025733333333333334,0.008574673750748238,0.04393300165732702
clip_b32,facility_subspace,3,60,202.83533407904173,1.2021185127706537,3.0,0.0,3.0,0.0,0.0,0.0016461859457194805,0.039181303201864165
clip_b32,facility_subspace,5,60,254.93803427779065,1.219052857347126,5.0,0.0,5.0,0.0,0.0,0.0016461859457194805,0.03998959837481379
clip_b32,facility_subspace,8,60,272.14053977669954,1.7066187059792792,7.833333333333333,0.16666666666666666,5.0,0.16666666666666666,0.008333333333333333,0.0016461859457194805,0.04185757009933392
clip_b32,facility_subspace,10,60,278.9792487378012,2.465226691588898,9.583333333333334,0.4166666666666667,5.0,0.4166666666666667,0.02493333333333333,0.0016461859457194805,0.043063365016132595
clip_b32,lineage_oracle,3,60,250.35006164613026,0.878759790506784,3.0,0.0,1.0,0.0,0.0,3.151238585511843e-05,0.03873912583415707
clip_b32,lineage_oracle,5,60,274.1181966862632,0.7937016258645131,5.0,0.0,2.0,0.0,0.0,3.151238585511843e-05,0.04056000343213479
clip_b32,lineage_oracle,8,60,284.5483902737821,0.4266237346129823,8.0,0.0,2.0,0.0,0.0,3.151238585511843e-05,0.04201225846384962
clip_b32,lineage_oracle,10,60,287.91529700637653,0.4413859396606978,10.0,0.0,3.0,0.0,0.0,3.151238585511843e-05,0.04366547024498383
clip_b32,rank_only,3,60,243.84105176352585,10.278533907812376,2.533333333333333,0.4666666666666667,1.0,0.4666666666666667,0.25079999999999997,2.536779890457789e-05,0.03855482451617718
clip_b32,rank_only,5,60,262.77382760547584,3.048630669598368,4.0,1.0,1.0,1.0,0.43333333333333335,2.536779890457789e-05,0.0401664015216132
clip_b32,rank_only,8,60,282.672234434223,2.2802711632673853,6.6,1.4,2.0,1.4,0.43333333333333335,2.536779890457789e-05,0.04224703659613927
clip_b32,rank_only,10,60,285.5388747578857,1.5074803761204445,8.0,2.0,2.0,2.0,0.43333333333333335,2.536779890457789e-05,0.04495209852854411
dinov2_b14,collapse,3,60,534.1914660218301,1.4499192742991962,3.0,0.0,2.0,0.0,0.0,4.357015847166379,0.07858280955503384
dinov2_b14,collapse,5,60,610.3476980624268,4.624896213678942,4.9,0.1,2.566666666666667,0.1,0.007466666666666666,4.357015847166379,0.08615770665928721
dinov2_b14,collapse,8,60,640.7081216041086,2.467019799051036,7.4,0.6,3.0,0.6,0.13986666666666667,4.357015847166379,0.08930110015595953
dinov2_b14,collapse,10,60,646.3555348622023,3.707455238069824,8.65,1.35,3.0,1.35,0.43333333333333335,4.357015847166379,0.09057327266782522
dinov2_b14,dpp_subspace,3,60,535.9932965788411,1.6308077030154045,3.0,0.0,2.9,0.0,0.0,0.008556476266433796,0.0780745136551559
dinov2_b14,dpp_subspace,5,60,613.9659165486181,0.8433085922106248,4.933333333333334,0.06666666666666667,3.0,0.06666666666666667,0.0033333333333333335,0.008556476266433796,0.08565162199859817
dinov2_b14,dpp_subspace,8,60,641.0451231787071,1.5234592075722815,7.45,0.55,3.0,0.55,0.07466666666666667,0.008556476266433796,0.08880940287684401
dinov2_b14,dpp_subspace,10,60,647.9149542413927,2.4581848855139072,9.233333333333333,0.7666666666666667,3.2,0.7666666666666667,0.14133333333333334,0.008556476266433796,0.09111512073626121
dinov2_b14,facility_subspace,3,60,447.04487879804947,1.6282158367057478,3.0,0.0,3.0,0.0,0.0,0.0016278908277551332,0.07764194095507264
dinov2_b14,facility_subspace,5,60,572.0604407882114,1.026923644934408,5.0,0.0,5.0,0.0,0.0,0.0016278908277551332,0.08561355816200375
dinov2_b14,facility_subspace,8,60,624.1373141709754,0.7293515523897626,7.85,0.15,5.0,0.15,0.005000000000000001,0.0016278908277551332,0.08844875140736501
dinov2_b14,facility_subspace,10,60,636.8450446730163,1.0252931854901701,9.45,0.55,5.0,0.55,0.06633333333333334,0.0016278908277551332,0.09020625731597344
dinov2_b14,lineage_oracle,3,60,527.3121585928279,0.9760113780280558,3.0,0.0,1.0,0.0,0.0,3.3653744806845984e-05,0.07880803753311436
