encoder,construction_seed,overlap,budget,method,replicate,selected,merged_reff,unique_lineages,lineage_duplicate_count,unique_datasets,selected_alias_parent_pairs,max_selected_sample_overlap,mean_selected_sample_overlap,selection_seconds_for_max_budget,metric_seconds,shared_statistics_seconds,alignment_duplicate_auroc,alignment_duplicate_auprc,collapse_differs_from_rank,collapse_minus_rank_reff,dpp_minus_rank_reff,collection_seconds
dinov2_b14,20260910,0.0,3,rank_only,0,cifar100__pool2|cifar100__pool0|cifar100__pool3,527.4419259745542,3,0,1,0,0.0,0.0,2.9999762773513794e-05,0.07258005067706108,2.955762619152665,0.9247457627118644,0.11436215538847119,False,0.0,7.559159247193179,4.705305021256208
dinov2_b14,20260910,0.0,5,rank_only,0,cifar100__pool2|cifar100__pool0|cifar100__pool3|cifar100__pool1|cifar100__alias,598.1261246018314,4,1,1,1,0.0,0.0,2.9999762773513794e-05,0.08010785281658173,2.955762619152665,0.9247457627118644,0.11436215538847119,False,0.0,15.45840417457407,4.705309081822634
dinov2_b14,20260910,0.0,8,rank_only,0,cifar100__pool2|cifar100__pool0|cifar100__pool3|cifar100__pool1|cifar100__alias|cifar10__pool3|cifar10__pool1|cifar10__pool2,630.8141523942089,7,1,2,1,0.0,0.0,2.9999762773513794e-05,0.0828831922262907,2.955762619152665,0.9247457627118644,0.11436215538847119,True,10.375542932955113,10.247312068323481,4.7053129225969315
dinov2_b14,20260910,0.0,10,rank_only,0,cifar100__pool2|cifar100__pool0|cifar100__pool3|cifar100__pool1|cifar100__alias|cifar10__pool3|cifar10__pool1|cifar10__pool2|cifar10__alias|cifar10__pool0,636.2675803380704,8,2,2,2,0.0,0.0,2.9999762773513794e-05,0.08519021235406399,2.955762619152665,0.9247457627118644,0.11436215538847119,True,13.038017844237629,13.593792642575295,4.705316202715039
dinov2_b14,20260910,0.0,3,collapse_sketch,0,cifar100__pool2|cifar100__pool0|cifar100__pool3,527.4419259745542,3,0,1,0,0.0,0.0,0.1115009319037199,0.07061863876879215,2.955762619152665,0.9247457627118644,0.11436215538847119,False,0.0,7.559159247193179,4.705318132415414
dinov2_b14,20260910,0.0,5,collapse_sketch,0,cifar100__pool2|cifar100__pool0|cifar100__pool3|cifar100__pool1|cifar100__alias,598.1261246018314,4,1,1,1,0.0,0.0,0.1115009319037199,0.07835007086396217,2.955762619152665,0.9247457627118644,0.11436215538847119,False,0.0,15.45840417457407,4.705319982022047
dinov2_b14,20260910,0.0,8,collapse_sketch,0,cifar100__pool2|cifar100__pool0|cifar100__pool3|cifar100__pool1|cifar100__alias|cifar10__pool1|cifar10__pool3|dtd__pool0,641.189695327164,7,1,3,1,0.0,0.0,0.1115009319037199,0.08376114815473557,2.955762619152665,0.9247457627118644,0.11436215538847119,True,10.375542932955113,10.247312068323481,4.705321991816163
dinov2_b14,20260910,0.0,10,collapse_sketch,0,cifar100__pool2|cifar100__pool0|cifar100__pool3|cifar100__pool1|cifar100__alias|cifar10__pool1|cifar10__pool3|dtd__pool0|dtd__pool2|dtd__pool3,649.305598182308,9,1,3,1,0.0,0.0,0.1115009319037199,0.08662937767803669,2.955762619152665,0.9247457627118644,0.11436215538847119,True,13.038017844237629,13.593792642575295,4.705324061214924
dinov2_b14,20260910,0.0,3,dpp_subspace,0,cifar100__pool2|cifar10__pool3|dtd__pool0,535.0010852217474,3,0,3,0,0.0,0.0,0.009060489013791084,0.07245068810880184,2.955762619152665,0.9247457627118644,0.11436215538847119,False,0.0,7.559159247193179,4.705326171591878
dinov2_b14,20260910,0.0,5,dpp_subspace,0,cifar100__pool2|cifar10__pool3|dtd__pool0|cifar100__pool1|cifar100__pool3,613.5845287764055,5,0,3,0,0.0,0.0,0.009060489013791084,0.0808853767812252,2.955762619152665,0.9247457627118644,0.11436215538847119,False,0.0,15.45840417457407,4.705328151583672
