encoder,construction_seed,overlap,budget,method,replicate,selected,merged_reff,unique_lineages,lineage_duplicate_count,unique_datasets,selected_alias_parent_pairs,max_selected_sample_overlap,mean_selected_sample_overlap,selection_seconds_for_max_budget,metric_seconds,shared_statistics_seconds,alignment_duplicate_auroc,alignment_duplicate_auprc,collapse_differs_from_rank,collapse_minus_rank_reff,dpp_minus_rank_reff,collection_seconds
resnet50,20260910,0.1,3,rank_only,0,dtd__pool0|dtd__pool3|dtd__pool1,524.3778777234155,3,0,1,0,0.0,0.0,6.764009594917297e-05,0.07305089943110943,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-18.274441211031217,31.238287719456366,12.976470967754722
resnet50,20260910,0.1,5,rank_only,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__alias|dtd__pool2,745.8955490659298,4,1,1,1,0.1,0.01,6.764009594917297e-05,0.20117088966071606,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-9.22287767934904e-07,77.53176609377044,12.976474726572633
resnet50,20260910,0.1,8,rank_only,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__alias|dtd__pool2|cifar100__pool3|cifar100__pool0|cifar100__alias,1095.038384445224,6,2,2,2,0.1,0.0071428571428571435,6.764009594917297e-05,0.5682068690657616,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-6.241962182684802e-07,24.995784076453674,12.976478174328804
resnet50,20260910,0.1,10,rank_only,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__alias|dtd__pool2|cifar100__pool3|cifar100__pool0|cifar100__alias|cifar100__pool2|cifar100__pool1,1200.6225514759005,8,2,2,2,0.1,0.0044444444444444444,6.764009594917297e-05,0.6746607627719641,5.337445959448814,0.9477966101694916,0.19137529137529136,True,7.089209101181041,3.2571887459384925,12.976481227204204
resnet50,20260910,0.1,3,collapse_sketch,0,dtd__pool0|dtd__alias|dtd__pool1,506.1034365123843,2,1,1,1,0.1,0.03333333333333333,0.1836089789867401,0.06853946670889854,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-18.274441211031217,31.238287719456366,12.976483214646578
resnet50,20260910,0.1,5,collapse_sketch,0,dtd__pool0|dtd__alias|dtd__pool1|dtd__pool3|dtd__pool2,745.895548143642,4,1,1,1,0.1,0.01,0.1836089789867401,0.20358390733599663,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-9.22287767934904e-07,77.53176609377044,12.976484954357147
resnet50,20260910,0.1,8,collapse_sketch,0,dtd__pool0|dtd__alias|dtd__pool1|dtd__pool3|dtd__pool2|cifar100__pool0|cifar100__pool3|cifar100__alias,1095.0383838210278,6,2,2,2,0.1,0.0071428571428571435,0.1836089789867401,0.5679070800542831,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-6.241962182684802e-07,24.995784076453674,12.97648674622178
resnet50,20260910,0.1,10,collapse_sketch,0,dtd__pool0|dtd__alias|dtd__pool1|dtd__pool3|dtd__pool2|cifar100__pool0|cifar100__pool3|cifar100__alias|cifar10__pool0|cifar100__pool1,1207.7117605770816,8,2,3,2,0.1,0.0044444444444444444,0.1836089789867401,0.64911406673491,5.337445959448814,0.9477966101694916,0.19137529137529136,True,7.089209101181041,3.2571887459384925,12.976488655433059
resnet50,20260910,0.1,3,dpp_subspace,0,dtd__pool0|cifar100__pool3|dtd__pool3,555.6161654428719,3,0,2,0,0.0,0.0,0.009638603776693344,0.07163951359689236,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-18.274441211031217,31.238287719456366,12.976490946486592
resnet50,20260910,0.1,5,dpp_subspace,0,dtd__pool0|cifar100__pool3|dtd__pool3|cifar10__pool0|eurosat__alias,823.4273151597002,5,0,4,0,0.0,0.0,0.009638603776693344,0.2083743829280138,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-9.22287767934904e-07,77.53176609377044,12.976492634043097
resnet50,20260910,0.1,8,dpp_subspace,0,dtd__pool0|cifar100__pool3|dtd__pool3|cifar10__pool0|eurosat__alias|dtd__pool1|dtd__pool2|cifar100__pool2,1120.0341685216777,8,0,4,0,0.0,0.0,0.009638603776693344,0.5600825119763613,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-6.241962182684802e-07,24.995784076453674,12.97649478726089
resnet50,20260910,0.1,10,dpp_subspace,0,dtd__pool0|cifar100__pool3|dtd__pool3|cifar10__pool0|eurosat__alias|dtd__pool1|dtd__pool2|cifar100__pool2|dtd__alias|cifar100__pool1,1203.879740221839,9,1,4,1,0.1,0.0022222222222222222,0.009638603776693344,0.6401159260421991,5.337445959448814,0.9477966101694916,0.19137529137529136,True,7.089209101181041,3.2571887459384925,12.976497067138553
resnet50,20260910,0.1,3,facility_subspace,0,cifar100__pool0|eurosat__pool0|dtd__alias,531.5522381022955,3,0,3,0,0.0,0.0,0.0016620960086584091,0.07031666301190853,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-18.274441211031217,31.238287719456366,12.976498786360025
resnet50,20260910,0.1,5,facility_subspace,0,cifar100__pool0|eurosat__pool0|dtd__alias|svhn__pool3|cifar10__alias,766.7872799006051,5,0,5,0,0.0,0.0,0.0016620960086584091,0.2036417480558157,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-9.22287767934904e-07,77.53176609377044,12.976500714197755
resnet50,20260910,0.1,8,facility_subspace,0,cifar100__pool0|eurosat__pool0|dtd__alias|svhn__pool3|cifar10__alias|dtd__pool3|cifar100__alias|dtd__pool2,1086.682812749753,8,0,5,0,0.0,0.0,0.0016620960086584091,0.5554696954786777,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-6.241962182684802e-07,24.995784076453674,12.97650258615613
resnet50,20260910,0.1,10,facility_subspace,0,cifar100__pool0|eurosat__pool0|dtd__alias|svhn__pool3|cifar10__alias|dtd__pool3|cifar100__alias|dtd__pool2|dtd__pool1|cifar100__pool2,1184.2577533227354,10,0,5,0,0.0,0.0,0.0016620960086584091,0.6341407038271427,5.337445959448814,0.9477966101694916,0.19137529137529136,True,7.089209101181041,3.2571887459384925,12.976504195481539
resnet50,20260910,0.1,3,lineage_oracle,0,dtd__pool0|dtd__pool3|dtd__pool1,524.3778777234155,3,0,1,0,0.0,0.0,4.9740076065063477e-05,0.06896853819489479,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-18.274441211031217,31.238287719456366,12.976505894213915
resnet50,20260910,0.1,5,lineage_oracle,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__pool2|cifar100__pool3,808.7582760355418,5,0,2,0,0.0,0.0,4.9740076065063477e-05,0.19988849759101868,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-9.22287767934904e-07,77.53176609377044,12.97650745511055
resnet50,20260910,0.1,8,lineage_oracle,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__pool2|cifar100__pool3|cifar100__pool0|cifar100__pool2|cifar100__pool1,1125.1760070364978,8,0,2,0,0.0,0.0,4.9740076065063477e-05,0.5444207079708576,5.337445959448814,0.9477966101694916,0.19137529137529136,True,-6.241962182684802e-07,24.995784076453674,12.97650939412415
resnet50,20260910,0.1,10,lineage_oracle,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__pool2|cifar100__pool3|cifar100__pool0|cifar100__pool2|cifar100__pool1|cifar10__pool0|cifar10__pool3,1218.574207911482,10,0,3,0,0.0,0.0,4.9740076065063477e-05,0.6379804667085409,5.337445959448814,0.9477966101694916,0.19137529137529136,True,7.089209101181041,3.2571887459384925,12.976510794833302
resnet50,20260910,0.5,3,rank_only,0,dtd__pool0|dtd__pool3|dtd__pool1,524.3778777234155,3,0,1,0,0.0,0.0,2.423115074634552e-05,0.07096146419644356,4.5897552371025085,0.9959322033898305,0.890909090909091,True,-78.82011514738974,31.238287719456366,11.766202550381422
resnet50,20260910,0.5,5,rank_only,0,dtd__pool0|dtd__pool3|dtd__pool1|dtd__alias|dtd__pool2,699.3152055880986,4,1,1,1,0.5,0.05,2.423115074634552e-05,0.2051214836537838,4.5897552371025085,0.9959322033898305,0.890909090909091,True,3.840192903226125e-06,121.92704501640867,11.766206150874496
