encoder,construction_seed,overlap,budget,method,replicate,selected,merged_reff,unique_lineages,lineage_duplicate_count,unique_datasets,selected_alias_parent_pairs,max_selected_sample_overlap,mean_selected_sample_overlap,selection_seconds_for_max_budget,metric_seconds,shared_statistics_seconds,alignment_duplicate_auroc,alignment_duplicate_auprc,collapse_differs_from_rank,collapse_minus_rank_reff,dpp_minus_rank_reff,collection_seconds
vit_b16,20260910,0.0,3,rank_only,0,dtd__pool3|dtd__pool0|cifar100__pool2,502.4722748788758,3,0,2,0,0.0,0.0,6.478279829025269e-05,0.0941197145730257,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,-25.944614401202614,4.87922333687402,5.111849242821336
vit_b16,20260910,0.0,5,rank_only,0,dtd__pool3|dtd__pool0|cifar100__pool2|cifar100__pool0|dtd__pool1,570.7740363513213,5,0,2,0,0.0,0.0,6.478279829025269e-05,0.09611408784985542,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,-32.50009158833791,5.409876434911098,5.1118544433265924
vit_b16,20260910,0.0,8,rank_only,0,dtd__pool3|dtd__pool0|cifar100__pool2|cifar100__pool0|dtd__pool1|dtd__pool2|cifar100__pool1|cifar100__pool3,598.7835221912987,8,0,2,0,0.0,0.0,6.478279829025269e-05,0.0992809534072876,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,1.062031993253754,-1.0095658729404704,5.111858503893018
vit_b16,20260910,0.0,10,rank_only,0,dtd__pool3|dtd__pool0|cifar100__pool2|cifar100__pool0|dtd__pool1|dtd__pool2|cifar100__pool1|cifar100__pool3|cifar100__alias|dtd__alias,605.8306780148653,8,2,2,2,0.0,0.0,6.478279829025269e-05,0.10291118547320366,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,5.008174891456974,0.4343440053135055,5.111862275749445
vit_b16,20260910,0.0,3,collapse_sketch,0,dtd__pool3|dtd__pool0|dtd__pool1,476.5276604776732,3,0,1,0,0.0,0.0,0.12562104128301144,0.08815867267549038,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,-25.944614401202614,4.87922333687402,5.111864594742656
vit_b16,20260910,0.0,5,collapse_sketch,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias,538.2739447629834,4,1,1,1,0.0,0.0,0.12562104128301144,0.09467349573969841,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,-32.50009158833791,5.409876434911098,5.111867355182767
vit_b16,20260910,0.0,8,collapse_sketch,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool0|cifar10__pool3|cifar100__pool2,599.8455541845525,7,1,3,1,0.0,0.0,0.12562104128301144,0.10043589398264885,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,1.062031993253754,-1.0095658729404704,5.11186976544559
vit_b16,20260910,0.0,10,collapse_sketch,0,dtd__pool3|dtd__pool0|dtd__pool1|dtd__pool2|dtd__alias|cifar100__pool0|cifar10__pool3|cifar100__pool2|cifar100__pool1|cifar10__alias,610.8388529063222,9,1,3,1,0.0,0.0,0.12562104128301144,0.10293371230363846,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,5.008174891456974,0.4343440053135055,5.11187244579196
vit_b16,20260910,0.0,3,dpp_subspace,0,dtd__pool3|cifar100__pool2|cifar10__pool3,507.3514982157498,3,0,3,0,0.0,0.0,0.010383237153291702,0.088971097022295,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,-25.944614401202614,4.87922333687402,5.111874835565686
vit_b16,20260910,0.0,5,dpp_subspace,0,dtd__pool3|cifar100__pool2|cifar10__pool3|dtd__pool2|cifar100__pool1,576.1839127862324,5,0,3,0,0.0,0.0,0.010383237153291702,0.09565372951328754,3.0241536144167185,0.9233898305084746,0.1383699423648961,True,-32.50009158833791,5.409876434911098,5.111877005547285
