method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.5,0.4047619047619047,0.004535189058099471,0.09948762338972066,-0.004523585949625278,0.8571428571428571,0,False
facility_subspace,3,28,4,28,0.35714285714285715,0.2202380952380952,0.005444631831986564,0.1565863347051008,0.0017665147781372062,0.8571428571428571,0,False
full_merged_rank,3,28,4,28,0.5,0.4017857142857143,0.0047742275255067,0.10155806752711458,-0.003984121339661724,0.8571428571428571,0,False
kcenter_subspace,3,28,4,28,0.4642857142857143,0.2857142857142857,0.004513079566614971,0.11025789244126503,-0.0016559089933122872,0.8571428571428571,0,False
pool_vendi_subspace,3,28,4,28,0.4642857142857143,0.2857142857142857,0.004513079566614971,0.11025789244126503,-0.0016559089933122872,0.8571428571428571,0,False
random,3,2800,4,28,0.145,0.14011904761904762,0.009827304955039697,0.25261663522864025,0.0033904815763235088,0.8571428571428571,0,False
rank_only,3,28,4,28,0.6428571428571429,0.41369047619047616,0.00438616403511592,0.09114194373826724,-0.002494476948465615,0.8571428571428571,0,False
dpp_subspace,5,28,4,28,0.5714285714285714,0.4970238095238095,0.0035921469330787653,0.07132682042096712,-0.0028527119329997386,0.7619047619047619,1,False
facility_subspace,5,28,4,28,0.5357142857142857,0.3392857142857143,0.0030989144529615176,0.09336029009671097,0.0012872031756809804,0.7619047619047619,0,False
full_merged_rank,5,28,4,28,0.75,0.5684523809523809,0.0024960181542805254,0.04866534431393935,-0.0024418864931379037,0.7619047619047619,1,False
kcenter_subspace,5,28,4,28,0.4642857142857143,0.3095238095238095,0.0044443984116826745,0.10770687768077311,-0.0013210875647408618,0.7619047619047619,0,False
pool_vendi_subspace,5,28,4,28,0.4642857142857143,0.369047619047619,0.0038163434181894573,0.0905875210160068,-0.0022986748388835326,0.7619047619047619,0,False
random,5,2800,4,28,0.26107142857142857,0.23660714285714285,0.007091334687811982,0.17806977494739035,0.0018255605144160139,0.7619047619047618,0,False
rank_only,5,28,4,28,0.75,0.5684523809523809,0.0024960181542805254,0.04866534431393935,-0.0024418864931379037,0.7619047619047619,1,False
dpp_subspace,10,28,4,28,0.8214285714285714,0.7321428571428571,0.0015193074941635093,0.026711959535382617,-0.001031281692641122,0.5238095238095238,2,False
facility_subspace,10,28,4,28,0.6071428571428571,0.47023809523809523,0.0015570423432758884,0.056699864896497906,0.0022958853415080494,0.5238095238095238,0,False
full_merged_rank,10,28,4,28,0.7857142857142857,0.755952380952381,0.0016910110201154413,0.033089520156832176,-0.0013661031212125513,0.5238095238095238,1,False
kcenter_subspace,10,28,4,28,0.5714285714285714,0.5089285714285714,0.002517147787979673,0.062213506916661776,-0.002721175977161951,0.5238095238095238,0,False
pool_vendi_subspace,10,28,4,28,0.5357142857142857,0.5208333333333333,0.0031985898103032806,0.06772138121509988,-0.0028384085212434995,0.5238095238095238,0,False
random,10,2800,4,28,0.4878571428571429,0.47116071428571427,0.003690528905817435,0.08943131529470116,0.0006110666330371589,0.5238095238095238,0,False
rank_only,10,28,4,28,0.8214285714285714,0.755952380952381,0.0015193074941635093,0.026711959535382617,-0.001031281692641122,0.5238095238095238,2,False
