encoder,target,shortlist_size,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard
clip_b32,beans,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,beans,5,0.0,-0.3333333333333333,0.006730782985687189,0.2500005534717927,-0.0031249999999999334,0.6666666666666666
clip_b32,beans,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,dtd,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,dtd,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
clip_b32,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,eurosat,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,eurosat,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
clip_b32,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,flowers102,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,flowers102,5,-1.0,0.0,0.018627476692199663,0.2375002336873673,0.008159995079040527,0.6666666666666666
clip_b32,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,food101,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,food101,5,-1.0,-0.3333333333333333,0.006336629390716553,0.17391294390243833,-0.007599973678588778,0.6666666666666666
clip_b32,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,gtsrb,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,gtsrb,5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
clip_b32,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
clip_b32,oxford_pets,3,0.0,0.0,0.0,0.0,0.0,1.0
clip_b32,oxford_pets,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
clip_b32,oxford_pets,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,beans,3,1.0,0.3333333333333333,-0.005769193172454834,-0.2608679949891436,-0.006249999999999978,0.5
dinov2_b14,beans,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,beans,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,dtd,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
dinov2_b14,dtd,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,eurosat,3,0.0,0.0,0.0,0.0,0.0,0.5
dinov2_b14,eurosat,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,flowers102,3,-1.0,-0.25,0.0019607663154601607,0.33333198228778543,0.0005199909210205078,0.5
dinov2_b14,flowers102,5,0.0,0.0,0.0,0.0,0.000599980354309082,0.6666666666666666
dinov2_b14,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,food101,3,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5
dinov2_b14,food101,5,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,gtsrb,3,0.0,0.0,0.0,0.0,0.0,0.5
dinov2_b14,gtsrb,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,gtsrb,10,0.0,-0.3333333333333333,0.0,0.0,0.0,0.8181818181818182
dinov2_b14,oxford_pets,3,0.0,0.0,0.0,0.0,0.0,0.5
dinov2_b14,oxford_pets,5,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
dinov2_b14,oxford_pets,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,beans,3,0.0,0.0,-0.007692289352417059,-0.14285682658754673,-0.014062499999999978,0.5
resnet50,beans,5,0.0,0.3333333333333333,-0.017307698726654053,-0.3214287453768506,0.018750000000000044,0.6666666666666666
resnet50,beans,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,dtd,3,-1.0,-0.33333333333333337,0.0029255270957947443,0.04330701852836245,-0.004042577743530229,0.5
resnet50,dtd,5,-1.0,-0.33333333333333337,0.0029255270957947443,0.04330701852836245,-0.004042577743530229,0.6666666666666666
resnet50,dtd,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,eurosat,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,eurosat,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,eurosat,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,flowers102,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,flowers102,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,flowers102,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,food101,3,-1.0,-0.3333333333333333,0.0009900987148285245,0.0161290244275916,-0.0028400063514709695,0.5
resnet50,food101,5,-1.0,-0.3333333333333333,0.0009900987148285245,0.0161290244275916,-0.0028400063514709695,0.6666666666666666
resnet50,food101,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,gtsrb,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
resnet50,gtsrb,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,gtsrb,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
resnet50,oxford_pets,3,0.0,0.0,0.0,0.0,0.0,0.5
resnet50,oxford_pets,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
resnet50,oxford_pets,10,0.0,0.0,0.0,0.0,0.0,0.8181818181818182
vit_b16,beans,3,-1.0,0.0,0.004807674884796165,0.09999967765795245,-0.03749999999999998,0.5
vit_b16,beans,5,-1.0,-0.33333333333333337,0.004807674884796165,0.09999967765795245,-0.03749999999999998,0.6666666666666666
vit_b16,beans,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,dtd,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
vit_b16,dtd,5,1.0,0.33333333333333337,-0.0013297796249389648,-0.037313208173248374,0.014574480056762651,0.6666666666666666
vit_b16,dtd,10,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
vit_b16,eurosat,3,0.0,0.0,0.0,0.0,0.0,0.5
vit_b16,eurosat,5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
