encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,bloodmnist,medical,0,beans,0.894230842590332,0.8671875,500,600,256,128,0.01,2.1057843510061502,0.1196681559085846,npu:6
resnet50,bloodmnist,medical,0,dtd,0.623670220375061,0.6154254674911499,500,600,256,128,0.01,2.1057843510061502,0.04933704622089863,npu:6
resnet50,bloodmnist,medical,0,eurosat,0.8976142406463623,0.9129629731178284,500,600,256,128,0.01,2.1057843510061502,0.016897516325116158,npu:6
resnet50,bloodmnist,medical,0,flowers102,0.6421569585800171,0.6649999618530273,500,600,256,128,0.01,2.1057843510061502,0.025693828240036964,npu:6
resnet50,bloodmnist,medical,0,food101,0.4000000059604645,0.42739999294281006,500,600,256,128,0.01,2.1057843510061502,0.016787957400083542,npu:6
resnet50,bloodmnist,medical,0,gtsrb,0.6597837209701538,0.5784000158309937,500,600,256,128,0.01,2.1057843510061502,0.016374463215470314,npu:6
resnet50,bloodmnist,medical,0,oxford_pets,0.8998646140098572,0.8778958320617676,500,600,256,128,0.01,2.1057843510061502,0.01396450586616993,npu:6
resnet50,bloodmnist,medical,1,beans,0.8701923489570618,0.8671875,500,600,256,128,0.01,1.2663587275892496,0.009020620957016945,npu:6
resnet50,bloodmnist,medical,1,dtd,0.6130319237709045,0.6186169385910034,500,600,256,128,0.01,1.2663587275892496,0.0243432205170393,npu:6
resnet50,bloodmnist,medical,1,eurosat,0.9125248193740845,0.9044444561004639,500,600,256,128,0.01,1.2663587275892496,0.020897941663861275,npu:6
resnet50,bloodmnist,medical,1,flowers102,0.6911765336990356,0.6803999543190002,500,600,256,128,0.01,1.2663587275892496,0.018464291468262672,npu:6
resnet50,bloodmnist,medical,1,food101,0.4049505293369293,0.4381999969482422,500,600,256,128,0.01,1.2663587275892496,0.01621210388839245,npu:6
resnet50,bloodmnist,medical,1,gtsrb,0.6558505892753601,0.5767999887466431,500,600,256,128,0.01,1.2663587275892496,0.01558186486363411,npu:6
resnet50,bloodmnist,medical,1,oxford_pets,0.8903923630714417,0.87953120470047,500,600,256,128,0.01,1.2663587275892496,0.013429084792733192,npu:6
resnet50,bloodmnist,medical,2,beans,0.836538553237915,0.890625,500,600,256,128,0.01,1.266305511817336,0.008774740621447563,npu:6
resnet50,bloodmnist,medical,2,dtd,0.6329787373542786,0.6164893507957458,500,600,256,128,0.01,1.266305511817336,0.011421620845794678,npu:6
resnet50,bloodmnist,medical,2,eurosat,0.89463210105896,0.9044444561004639,500,600,256,128,0.01,1.266305511817336,0.013344036415219307,npu:6
resnet50,bloodmnist,medical,2,flowers102,0.6813726425170898,0.6789999604225159,500,600,256,128,0.01,1.266305511817336,0.01220129244029522,npu:6
resnet50,bloodmnist,medical,2,food101,0.39801982045173645,0.43039998412132263,500,600,256,128,0.01,1.266305511817336,0.015264272689819336,npu:6
resnet50,bloodmnist,medical,2,gtsrb,0.6696165204048157,0.58160001039505,500,600,256,128,0.01,1.266305511817336,0.025610217824578285,npu:6
resnet50,bloodmnist,medical,2,oxford_pets,0.9133963584899902,0.8871626853942871,500,600,256,128,0.01,1.266305511817336,0.013826427981257439,npu:6
resnet50,bloodmnist,medical,3,beans,0.8605769872665405,0.8984375,500,600,256,128,0.01,1.2216408681124449,0.008727747946977615,npu:6
resnet50,bloodmnist,medical,3,dtd,0.6210106611251831,0.6244680881500244,500,600,256,128,0.01,1.2216408681124449,0.010966818779706955,npu:6
resnet50,bloodmnist,medical,3,eurosat,0.8956261873245239,0.9048148393630981,500,600,256,128,0.01,1.2216408681124449,0.012639814987778664,npu:6
resnet50,bloodmnist,medical,3,flowers102,0.6813726425170898,0.6669999361038208,500,600,256,128,0.01,1.2216408681124449,0.011517919600009918,npu:6
resnet50,bloodmnist,medical,3,food101,0.394059419631958,0.4368000030517578,500,600,256,128,0.01,1.2216408681124449,0.015088530257344246,npu:6
resnet50,bloodmnist,medical,3,gtsrb,0.6676499843597412,0.5861999988555908,500,600,256,128,0.01,1.2216408681124449,0.02433810569345951,npu:6
resnet50,bloodmnist,medical,3,oxford_pets,0.9120432138442993,0.8822567462921143,500,600,256,128,0.01,1.2216408681124449,0.023361410945653915,npu:6
resnet50,bloodmnist,medical,4,beans,0.8750000596046448,0.8359375,500,600,256,128,0.01,1.2423147074878216,0.01830926537513733,npu:6
resnet50,bloodmnist,medical,4,dtd,0.6183511018753052,0.6191489100456238,500,600,256,128,0.01,1.2423147074878216,0.012645041570067406,npu:6
resnet50,bloodmnist,medical,4,eurosat,0.8916500210762024,0.9099999666213989,500,600,256,128,0.01,1.2423147074878216,0.012944141402840614,npu:6
resnet50,bloodmnist,medical,4,flowers102,0.6519608497619629,0.6661999225616455,500,600,256,128,0.01,1.2423147074878216,0.011677460744976997,npu:6
resnet50,bloodmnist,medical,4,food101,0.4029703140258789,0.43699997663497925,500,600,256,128,0.01,1.2423147074878216,0.014967840164899826,npu:6
resnet50,bloodmnist,medical,4,gtsrb,0.6578171253204346,0.5712000131607056,500,600,256,128,0.01,1.2423147074878216,0.015631284564733505,npu:6
resnet50,bloodmnist,medical,4,oxford_pets,0.8903923034667969,0.8773507475852966,500,600,256,128,0.01,1.2423147074878216,0.013436214998364449,npu:6
resnet50,breastmnist,medical,0,beans,0.884615421295166,0.8828125,500,600,256,128,0.01,1.2752344068139791,0.008698318153619766,npu:6
resnet50,breastmnist,medical,0,dtd,0.6063829660415649,0.6069148778915405,500,600,256,128,0.01,1.2752344068139791,0.013241816312074661,npu:6
resnet50,breastmnist,medical,0,eurosat,0.8876739144325256,0.9029629826545715,500,600,256,128,0.01,1.2752344068139791,0.024151844903826714,npu:6
resnet50,breastmnist,medical,0,flowers102,0.6715686917304993,0.6521999835968018,500,600,256,128,0.01,1.2752344068139791,0.011354969814419746,npu:6
resnet50,breastmnist,medical,0,food101,0.38217824697494507,0.420199990272522,500,600,256,128,0.01,1.2752344068139791,0.014788450673222542,npu:6
resnet50,breastmnist,medical,0,gtsrb,0.6696165800094604,0.5851999521255493,500,600,256,128,0.01,1.2752344068139791,0.014590620994567871,npu:6
resnet50,breastmnist,medical,0,oxford_pets,0.9025709629058838,0.8798037767410278,500,600,256,128,0.01,1.2752344068139791,0.012027403339743614,npu:6
resnet50,breastmnist,medical,1,beans,0.884615421295166,0.8359375,500,600,256,128,0.01,1.243820572271943,0.008207408711314201,npu:6
resnet50,breastmnist,medical,1,dtd,0.6130319833755493,0.6196808218955994,500,600,256,128,0.01,1.243820572271943,0.011350614950060844,npu:6
resnet50,breastmnist,medical,1,eurosat,0.8827037215232849,0.9051852226257324,500,600,256,128,0.01,1.243820572271943,0.01522986963391304,npu:6
resnet50,breastmnist,medical,1,flowers102,0.7156863808631897,0.6647999286651611,500,600,256,128,0.01,1.243820572271943,0.02038740925490856,npu:6
resnet50,breastmnist,medical,1,food101,0.37821781635284424,0.42559999227523804,500,600,256,128,0.01,1.243820572271943,0.014490190893411636,npu:6
resnet50,breastmnist,medical,1,gtsrb,0.6607669591903687,0.5779999494552612,500,600,256,128,0.01,1.243820572271943,0.014418980106711388,npu:6
resnet50,breastmnist,medical,1,oxford_pets,0.9012178182601929,0.888252854347229,500,600,256,128,0.01,1.243820572271943,0.012041689828038216,npu:6
resnet50,breastmnist,medical,2,beans,0.8798077702522278,0.8671875,500,600,256,128,0.01,1.270727375522256,0.008469861000776291,npu:6
resnet50,breastmnist,medical,2,dtd,0.5997340679168701,0.6026595830917358,500,600,256,128,0.01,1.270727375522256,0.01134139858186245,npu:6
resnet50,breastmnist,medical,2,eurosat,0.8787275552749634,0.9059259295463562,500,600,256,128,0.01,1.270727375522256,0.01337689533829689,npu:6
resnet50,breastmnist,medical,2,flowers102,0.7254902720451355,0.6675999760627747,500,600,256,128,0.01,1.270727375522256,0.011655369773507118,npu:6
resnet50,breastmnist,medical,2,food101,0.40693068504333496,0.423799991607666,500,600,256,128,0.01,1.270727375522256,0.01518741063773632,npu:6
resnet50,breastmnist,medical,2,gtsrb,0.6538839340209961,0.5729999542236328,500,600,256,128,0.01,1.270727375522256,0.014561280608177185,npu:6
resnet50,breastmnist,medical,2,oxford_pets,0.9093368649482727,0.8836194276809692,500,600,256,128,0.01,1.270727375522256,0.011976290494203568,npu:6
resnet50,breastmnist,medical,3,beans,0.8701923489570618,0.8671875,500,600,256,128,0.01,1.2905967719852924,0.018528752028942108,npu:6
resnet50,breastmnist,medical,3,dtd,0.6130319833755493,0.6186169981956482,500,600,256,128,0.01,1.2905967719852924,0.014719227328896523,npu:6
resnet50,breastmnist,medical,3,eurosat,0.8936381340026855,0.9014814496040344,500,600,256,128,0.01,1.2905967719852924,0.012995323166251183,npu:6
resnet50,breastmnist,medical,3,flowers102,0.6617647409439087,0.6611999273300171,500,600,256,128,0.01,1.2905967719852924,0.011875489726662636,npu:6
resnet50,breastmnist,medical,3,food101,0.38910892605781555,0.4351999759674072,500,600,256,128,0.01,1.2905967719852924,0.015207931399345398,npu:6
resnet50,breastmnist,medical,3,gtsrb,0.6814159750938416,0.6055999994277954,500,600,256,128,0.01,1.2905967719852924,0.014782959595322609,npu:6
resnet50,breastmnist,medical,3,oxford_pets,0.9066305160522461,0.8866176009178162,500,600,256,128,0.01,1.2905967719852924,0.01242157258093357,npu:6
resnet50,breastmnist,medical,4,beans,0.894230842590332,0.921875,500,600,256,128,0.01,1.275964330881834,0.009129500016570091,npu:6
resnet50,breastmnist,medical,4,dtd,0.623670220375061,0.6047872304916382,500,600,256,128,0.01,1.275964330881834,0.01255287230014801,npu:6
resnet50,breastmnist,medical,4,eurosat,0.8946321606636047,0.9018518328666687,500,600,256,128,0.01,1.275964330881834,0.014130275696516037,npu:6
resnet50,breastmnist,medical,4,flowers102,0.6666667461395264,0.6665999889373779,500,600,256,128,0.01,1.275964330881834,0.01268785260617733,npu:6
resnet50,breastmnist,medical,4,food101,0.38811883330345154,0.43879997730255127,500,600,256,128,0.01,1.275964330881834,0.01660054363310337,npu:6
resnet50,breastmnist,medical,4,gtsrb,0.6627335548400879,0.5929999351501465,500,600,256,128,0.01,1.275964330881834,0.029789162799715996,npu:6
resnet50,breastmnist,medical,4,oxford_pets,0.913396418094635,0.8868901133537292,500,600,256,128,0.01,1.275964330881834,0.013659767806529999,npu:6
resnet50,cifar10,general_vision,0,beans,0.9086539149284363,0.8828125,500,600,256,128,0.01,1.4026192724704742,0.01067870669066906,npu:6
resnet50,cifar10,general_vision,0,dtd,0.6276596188545227,0.6138297915458679,500,600,256,128,0.01,1.4026192724704742,0.013146206736564636,npu:6
resnet50,cifar10,general_vision,0,eurosat,0.889661967754364,0.9007407426834106,500,600,256,128,0.01,1.4026192724704742,0.015582384541630745,npu:6
resnet50,cifar10,general_vision,0,flowers102,0.6862745881080627,0.6868000030517578,500,600,256,128,0.01,1.4026192724704742,0.02399684116244316,npu:6
resnet50,cifar10,general_vision,0,food101,0.4217821955680847,0.4449999928474426,500,600,256,128,0.01,1.4026192724704742,0.016508515924215317,npu:6
resnet50,cifar10,general_vision,0,gtsrb,0.6705998182296753,0.5613999366760254,500,600,256,128,0.01,1.4026192724704742,0.015529721975326538,npu:6
resnet50,cifar10,general_vision,0,oxford_pets,0.9039241075515747,0.8863450288772583,500,600,256,128,0.01,1.4026192724704742,0.013888634741306305,npu:6
resnet50,cifar10,general_vision,1,beans,0.889423131942749,0.875,500,600,256,128,0.01,1.4771739225834608,0.010015783831477165,npu:6
resnet50,cifar10,general_vision,1,dtd,0.6196808815002441,0.6292552947998047,500,600,256,128,0.01,1.4771739225834608,0.012135062366724014,npu:6
resnet50,cifar10,general_vision,1,eurosat,0.8866798877716064,0.9011111259460449,500,600,256,128,0.01,1.4771739225834608,0.013374008238315582,npu:6
resnet50,cifar10,general_vision,1,flowers102,0.6960784792900085,0.6818000078201294,500,600,256,128,0.01,1.4771739225834608,0.011727580800652504,npu:6
resnet50,cifar10,general_vision,1,food101,0.39603960514068604,0.45619997382164,500,600,256,128,0.01,1.4771739225834608,0.020972032099962234,npu:6
resnet50,cifar10,general_vision,1,gtsrb,0.6774828433990479,0.5801999568939209,500,600,256,128,0.01,1.4771739225834608,0.01713372766971588,npu:6
resnet50,cifar10,general_vision,1,oxford_pets,0.9052773118019104,0.8887979984283447,500,600,256,128,0.01,1.4771739225834608,0.012095121666789055,npu:6
resnet50,cifar10,general_vision,2,beans,0.8413462042808533,0.90625,500,600,256,128,0.01,1.2415442261844873,0.008757447823882103,npu:6
resnet50,cifar10,general_vision,2,dtd,0.6289893984794617,0.6361702084541321,500,600,256,128,0.01,1.2415442261844873,0.011392069980502129,npu:6
resnet50,cifar10,general_vision,2,eurosat,0.8976142406463623,0.8959259390830994,500,600,256,128,0.01,1.2415442261844873,0.01358119584619999,npu:6
