encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
resnet50,beans,rank_only,-1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,cifar100,tiny_imagenet|cifar100_coarse|cifar100,0.8980769634246826,0.8576923966407776,0.04038456678390501,0.7499992251394868,0.8734375,0.884375,-0.010937500000000044,5,3,21
resnet50,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,organcmnist,organcmnist|cifar100|svhn,0.8980769634246826,0.8711539030075073,0.026923060417175293,0.49999977861128253,0.8734375,0.8578125,0.015625,5,3,21
resnet50,beans,kcenter_subspace,-1,3,21,0.8571428571428572,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,tiny_imagenet|rendered_sst2|usps,0.8980769634246826,0.8980769634246826,0.0,0.0,0.8734375,0.8734375,0.0,5,3,21
resnet50,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8980769634246826,0.8653846859931946,0.03269227743148795,0.6071423985519401,0.8734375,0.8984375,-0.025000000000000022,5,3,21
resnet50,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,tiny_imagenet|rendered_sst2|usps,0.8980769634246826,0.8980769634246826,0.0,0.0,0.8734375,0.8734375,0.0,5,3,21
resnet50,beans,full_merged_rank,-1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8980769634246826,0.8653846859931946,0.03269227743148795,0.6071423985519401,0.8734375,0.8984375,-0.025000000000000022,5,3,21
resnet50,beans,random,0,3,21,0.8571428571428572,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,breastmnist,breastmnist|cifar100|dermamnist,0.8980769634246826,0.8826923608779907,0.015384602546691828,0.2857140959525264,0.8734375,0.875,-0.0015625000000000222,5,3,21
resnet50,beans,random,1,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,pathmnist,mnist|pathmnist|svhn,0.8980769634246826,0.8596154570579528,0.038461506366729736,0.7142852398813191,0.8734375,0.8671875,0.006249999999999978,5,3,21
resnet50,beans,random,2,3,21,0.8571428571428572,0,0.0,rendered_sst2,rendered_sst2,1,stl10,cifar100_coarse|pathmnist|stl10,0.8980769634246826,0.8653846859931946,0.03269227743148795,0.6071423985519401,0.8734375,0.8984375,-0.025000000000000022,5,3,21
resnet50,beans,random,3,3,21,0.8571428571428572,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,breastmnist,breastmnist|cifar10|tissuemnist,0.8980769634246826,0.8826923608779907,0.015384602546691828,0.2857140959525264,0.8734375,0.875,-0.0015625000000000222,5,3,21
