encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.2857142857142857,0.38095238095238093,0.00752934472901481,0.14069338854610747,-0.007827244486127578,0.8571428571428572,False
resnet50,dpp_subspace,5,7,7,0.2857142857142857,0.42857142857142855,0.004507365397044605,0.08457090568048738,-0.0033629587718418635,0.7619047619047619,False
resnet50,dpp_subspace,10,7,7,0.5714285714285714,0.619047619047619,0.0039479902812412804,0.07608004240106538,-0.002379732472555978,0.5238095238095238,False
resnet50,facility_subspace,3,7,7,0.2857142857142857,0.14285714285714285,0.011123795168740402,0.2433335098203207,0.002693009376525882,0.8571428571428572,False
resnet50,facility_subspace,5,7,7,0.42857142857142855,0.19047619047619047,0.007277643680572503,0.17190497001870894,0.0004608665193830249,0.7619047619047619,False
resnet50,facility_subspace,10,7,7,0.7142857142857143,0.42857142857142855,0.0017704384667532721,0.046468340689223,0.0029038241931370135,0.5238095238095238,False
resnet50,full_merged_rank,3,7,7,0.2857142857142857,0.38095238095238093,0.00752934472901481,0.14069338854610747,-0.007827244486127578,0.8571428571428572,False
resnet50,full_merged_rank,5,7,7,0.5714285714285714,0.47619047619047616,0.006420518670763288,0.12199843459775835,-0.005058303901127413,0.7619047619047619,False
resnet50,full_merged_rank,10,7,7,0.5714285714285714,0.6666666666666666,0.0039479902812412804,0.07608004240106538,-0.002379732472555978,0.5238095238095238,False
resnet50,kcenter_subspace,3,7,7,0.42857142857142855,0.42857142857142855,0.002859019381659389,0.05395876018154459,-0.004255815914699003,0.8571428571428572,False
resnet50,kcenter_subspace,5,7,7,0.42857142857142855,0.4761904761904762,0.002859019381659389,0.05395876018154459,-0.004255815914699003,0.7619047619047619,False
resnet50,kcenter_subspace,10,7,7,0.42857142857142855,0.619047619047619,0.0027458659240177812,0.05211545420100504,-0.003050100803375239,0.5238095238095238,False
resnet50,pool_vendi_subspace,3,7,7,0.42857142857142855,0.42857142857142855,0.002859019381659389,0.05395876018154459,-0.004255815914699003,0.8571428571428572,False
resnet50,pool_vendi_subspace,5,7,7,0.42857142857142855,0.4761904761904762,0.002859019381659389,0.05395876018154459,-0.004255815914699003,0.7619047619047619,False
resnet50,pool_vendi_subspace,10,7,7,0.42857142857142855,0.619047619047619,0.0027458659240177812,0.05211545420100504,-0.003050100803375239,0.5238095238095238,False
resnet50,random,3,700,7,0.1457142857142857,0.14476190476190476,0.01229599633387157,0.2507293627956655,0.003070255705288473,0.8571428571428572,False
resnet50,random,5,700,7,0.23,0.23523809523809527,0.009560255578586035,0.19284553085965095,0.001860989911215642,0.7619047619047619,False
resnet50,random,10,700,7,0.46,0.4647619047619047,0.0047429074815341365,0.09669835972311247,0.0008094148976462197,0.5238095238095238,False
resnet50,rank_only,3,7,7,0.5714285714285714,0.42857142857142855,0.00806886809212821,0.1526106433506207,-0.004835089615413124,0.8571428571428572,False
resnet50,rank_only,5,7,7,0.5714285714285714,0.47619047619047616,0.006420518670763288,0.12199843459775835,-0.005058303901127413,0.7619047619047619,False
resnet50,rank_only,10,7,7,0.5714285714285714,0.619047619047619,0.0039479902812412804,0.07608004240106538,-0.002379732472555978,0.5238095238095238,False
