source,domain,cache_rows,stage1_rows,feature_dim,cache_path
bloodmnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__bloodmnist__train__n5000.npz
breastmnist,medical,546,546,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__breastmnist__train__n5000.npz
cifar10,general_vision,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__cifar10__train__n5000.npz
cifar100,general_vision,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__cifar100__train__n5000.npz
cifar100_coarse,general_vision,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__cifar100_coarse__train__n5000.npz
dermamnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__dermamnist__train__n5000.npz
fashion_mnist,digits_characters,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__fashion_mnist__train__n5000.npz
mnist,digits_characters,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__mnist__train__n5000.npz
octmnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__octmnist__train__n5000.npz
organamnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__organamnist__train__n5000.npz
organcmnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__organcmnist__train__n5000.npz
organsmnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__organsmnist__train__n5000.npz
pathmnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__pathmnist__train__n5000.npz
pneumoniamnist,medical,4708,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__pneumoniamnist__train__n5000.npz
rendered_sst2,rendered_text,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__rendered_sst2__train__n5000.npz
retinamnist,medical,1080,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__retinamnist__train__n5000.npz
stl10,general_vision,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__stl10__train__n5000.npz
svhn,digits_characters,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__svhn__train__n5000.npz
tiny_imagenet,general_vision,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__tiny_imagenet__train__n5000.npz
tissuemnist,medical,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__tissuemnist__train__n5000.npz
usps,digits_characters,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__usps__train__n5000.npz
