encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
vit_b16,beans,rank_only,-1,3,21,0.8571428571428572,1,0.6666666666666666,cifar100,cifar100,1,cifar100,tiny_imagenet|cifar100_coarse|cifar100,0.8567308187484741,0.8567308187484741,0.0,0.0,0.8203125,0.8203125,0.0,5,3,21
vit_b16,beans,facility_subspace,-1,3,21,0.8571428571428572,1,0.3333333333333333,cifar100,cifar100,1,cifar100,organsmnist|cifar100|mnist,0.8567308187484741,0.8567308187484741,0.0,0.0,0.8203125,0.8203125,0.0,5,3,21
vit_b16,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,tiny_imagenet|rendered_sst2|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,0.6666666666666666,cifar100,cifar100,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8567308187484741,0.851923143863678,0.004807674884796165,0.09999967765795245,0.8203125,0.8578125,-0.03749999999999998,5,3,21
vit_b16,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,tiny_imagenet|rendered_sst2|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,full_merged_rank,-1,3,21,0.8571428571428572,0,0.6666666666666666,cifar100,cifar100,1,stl10,tiny_imagenet|stl10|cifar100_coarse,0.8567308187484741,0.851923143863678,0.004807674884796165,0.09999967765795245,0.8203125,0.8578125,-0.03749999999999998,5,3,21
vit_b16,beans,random,0,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,pneumoniamnist|retinamnist|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,random,1,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,pathmnist|retinamnist|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,random,2,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,cifar10,cifar10|organsmnist|tiny_imagenet,0.8567308187484741,0.8403846740722656,0.01634614467620854,0.3399999454498083,0.8203125,0.840625,-0.020312499999999956,5,3,21
vit_b16,beans,random,3,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,organcmnist|tiny_imagenet|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,random,4,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,organsmnist|tissuemnist|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,random,5,3,21,0.8571428571428572,0,0.3333333333333333,cifar100,cifar100,1,cifar100_coarse,breastmnist|cifar100_coarse|pneumoniamnist,0.8567308187484741,0.8490385293960572,0.007692289352416948,0.15999968261705952,0.8203125,0.8265625,-0.006249999999999978,5,3,21
vit_b16,beans,random,6,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,cifar10,cifar10|organcmnist|tissuemnist,0.8567308187484741,0.8403846740722656,0.01634614467620854,0.3399999454498083,0.8203125,0.840625,-0.020312499999999956,5,3,21
vit_b16,beans,random,7,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,usps,bloodmnist|breastmnist|usps,0.8567308187484741,0.8432692885398865,0.013461530208587646,0.27999994049069893,0.8203125,0.8296875,-0.009375000000000022,5,3,21
vit_b16,beans,random,8,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,svhn,breastmnist|pathmnist|svhn,0.8567308187484741,0.8471154570579529,0.00961536169052124,0.19999960327132557,0.8203125,0.8515625,-0.03125,5,3,21
vit_b16,beans,random,9,3,21,0.8571428571428572,1,0.6666666666666666,cifar100,cifar100,1,cifar100,cifar100|fashion_mnist|stl10,0.8567308187484741,0.8567308187484741,0.0,0.0,0.8203125,0.8203125,0.0,5,3,21
vit_b16,beans,random,10,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,bloodmnist,bloodmnist|mnist|organsmnist,0.8567308187484741,0.8413462162017822,0.015384602546691939,0.319999861144965,0.8203125,0.8375,-0.017187500000000022,5,3,21
vit_b16,beans,random,11,3,21,0.8571428571428572,0,0.3333333333333333,cifar100,cifar100,1,stl10,cifar10|stl10|tissuemnist,0.8567308187484741,0.851923143863678,0.004807674884796165,0.09999967765795245,0.8203125,0.8578125,-0.03749999999999998,5,3,21
vit_b16,beans,random,12,3,21,0.8571428571428572,1,0.3333333333333333,cifar100,cifar100,1,cifar100,cifar100|pathmnist|tiny_imagenet,0.8567308187484741,0.8567308187484741,0.0,0.0,0.8203125,0.8203125,0.0,5,3,21
vit_b16,beans,random,13,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,fashion_mnist,fashion_mnist|octmnist|pneumoniamnist,0.8567308187484741,0.8461539268493652,0.010576891899108931,0.21999943962074825,0.8203125,0.81875,0.0015625000000000222,5,3,21
vit_b16,beans,random,14,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,fashion_mnist,breastmnist|fashion_mnist|rendered_sst2,0.8567308187484741,0.8461539268493652,0.010576891899108931,0.21999943962074825,0.8203125,0.81875,0.0015625000000000222,5,3,21
vit_b16,beans,random,15,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,cifar10,cifar10|dermamnist|pathmnist,0.8567308187484741,0.8403846740722656,0.01634614467620854,0.3399999454498083,0.8203125,0.840625,-0.020312499999999956,5,3,21
vit_b16,beans,random,16,3,21,0.8571428571428572,0,0.0,cifar100,cifar100,1,bloodmnist,bloodmnist|organsmnist|pathmnist,0.8567308187484741,0.8413462162017822,0.015384602546691939,0.319999861144965,0.8203125,0.8375,-0.017187500000000022,5,3,21
