"variant","dataset","split","source_samples","saved_samples","feature_dim","inference_seconds","images_per_second","peak_allocated_mb","peak_reserved_mb","checkpoint","preprocess_sha256","feature_file_sha256"
"clip_b32","cifar10","train",50000,5000,512,24.938152782619,200.4960047997148,744.5869140625,826.0,"/data/Paper06/manual_weights/ViT-B-32.pt","c4c7c2276f27ec1b7f9e45f1f76dde5176ca32a245eafeadd607a3c7f4c1660e","12c23420040ae9412cd00adc51d3c89a7831386d21f41a464a6ed1bf77236d56"
"clip_b32","cifar100","train",50000,5000,512,28.86103892326355,173.24393668897798,744.5869140625,826.0,"/data/Paper06/manual_weights/ViT-B-32.pt","c4c7c2276f27ec1b7f9e45f1f76dde5176ca32a245eafeadd607a3c7f4c1660e","e18754d50a915a12e4e3ea8942c761d9045011c8acd71a3f49d3dfc6fa4e0a67"
"clip_b32","dtd","train1",1880,1880,512,14.243437180295587,131.99061267323856,744.5869140625,826.0,"/data/Paper06/manual_weights/ViT-B-32.pt","c4c7c2276f27ec1b7f9e45f1f76dde5176ca32a245eafeadd607a3c7f4c1660e","74ac6b6eb0a5cfa69afbb214ce0faa94c463410dd259f87f7a4a2735957524c9"
"clip_b32","eurosat","full",27000,5000,512,27.572039119899273,181.34313455225745,744.5869140625,826.0,"/data/Paper06/manual_weights/ViT-B-32.pt","c4c7c2276f27ec1b7f9e45f1f76dde5176ca32a245eafeadd607a3c7f4c1660e","a590c020ff740b0237bf4c0075b341ddb2ac8ee7e297d43174a7ba952bfe815f"
"clip_b32","svhn","train",73257,5000,512,27.2919418271631,183.20425976518843,744.5869140625,826.0,"/data/Paper06/manual_weights/ViT-B-32.pt","c4c7c2276f27ec1b7f9e45f1f76dde5176ca32a245eafeadd607a3c7f4c1660e","a0b704a95626b5b4511619518e9e2642769b14dc092989ee008910a975705f2d"
"dinov2_b14","cifar10","train",50000,5000,768,11.822830164805055,422.9105831938883,945.642578125,1122.0,"/root/.cache/torch/hub/checkpoints/dinov2_vitb14_pretrain.pth","26184559c02d24bb9e3bfc740fea07c88c8f7f2fb942b67cfa4ad9fc5a6577b8","4511e9953261a14953284d7598636c4e7be4a7e12c75d2eb040e82b77f826356"
"dinov2_b14","cifar100","train",50000,5000,768,9.845485711470246,507.8469611890118,945.642578125,1122.0,"/root/.cache/torch/hub/checkpoints/dinov2_vitb14_pretrain.pth","26184559c02d24bb9e3bfc740fea07c88c8f7f2fb942b67cfa4ad9fc5a6577b8","c64f28e8f0e51be5f1f9800c59e010fdbcf27c1b371db7b6c8166a86f598a37e"
"dinov2_b14","dtd","train1",1880,1880,768,6.301735540851951,298.3305135248245,945.642578125,1122.0,"/root/.cache/torch/hub/checkpoints/dinov2_vitb14_pretrain.pth","26184559c02d24bb9e3bfc740fea07c88c8f7f2fb942b67cfa4ad9fc5a6577b8","ff9a0fb1039554c3c250e821b567725875161177d1e7b77a67daa495a61481ee"
"dinov2_b14","eurosat","full",27000,5000,768,10.147885862737894,492.713464423121,945.642578125,1122.0,"/root/.cache/torch/hub/checkpoints/dinov2_vitb14_pretrain.pth","26184559c02d24bb9e3bfc740fea07c88c8f7f2fb942b67cfa4ad9fc5a6577b8","b97a30b04d58b1eac8b3d5a07af9106c27aa15e14c9d95a04734705c3ce302af"
"dinov2_b14","svhn","train",73257,5000,768,12.058711655437946,414.6379930848766,945.642578125,1122.0,"/root/.cache/torch/hub/checkpoints/dinov2_vitb14_pretrain.pth","26184559c02d24bb9e3bfc740fea07c88c8f7f2fb942b67cfa4ad9fc5a6577b8","9a457ad5d99f32c34b98c280faabb23d6e0d568f52350360f14a4053aee2fdf7"
"resnet50","cifar10","train",50000,5000,2048,10.412727355957031,480.18159211088374,845.4775390625,1018.0,"torchvision:ResNet50_Weights.IMAGENET1K_V2","f4fe89f34af465ce172e3e4665016d58710e1c2f462bf71f23631d2e377562c3","4b7d477086afdd281861bb7fcea8b5bddbd2053efbec4b51fed79b7c238d4b0b"
