seed,target,accuracy,overlap,method,selected
0,dtd,0.5617021322250366,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
0,eurosat,0.8199999928474426,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
0,flowers102,0.6666667461395264,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
0,oxford_pets,0.8513513803482056,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
0,food101,0.23762375116348267,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
1,dtd,0.52765953540802,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
1,eurosat,0.8899999856948853,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
1,flowers102,0.6519608497619629,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
1,oxford_pets,0.8918919563293457,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
1,food101,0.2227722704410553,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
2,dtd,0.506382942199707,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
2,eurosat,0.8449999690055847,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
2,flowers102,0.6568628549575806,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
2,oxford_pets,0.8558559417724609,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
2,food101,0.27227723598480225,0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000
0,dtd,0.570212721824646,0.0,r_sum,stl10__overlap_000|stl10|cifar100
0,eurosat,0.8049999475479126,0.0,r_sum,stl10__overlap_000|stl10|cifar100
0,flowers102,0.6764706373214722,0.0,r_sum,stl10__overlap_000|stl10|cifar100
0,oxford_pets,0.8468469381332397,0.0,r_sum,stl10__overlap_000|stl10|cifar100
0,food101,0.25247523188591003,0.0,r_sum,stl10__overlap_000|stl10|cifar100
1,dtd,0.536170244216919,0.0,r_sum,stl10__overlap_000|stl10|cifar100
1,eurosat,0.8749999403953552,0.0,r_sum,stl10__overlap_000|stl10|cifar100
1,flowers102,0.6862745881080627,0.0,r_sum,stl10__overlap_000|stl10|cifar100
1,oxford_pets,0.8873873949050903,0.0,r_sum,stl10__overlap_000|stl10|cifar100
