overlap,method,selected,merged_reff,unique_families,duplicate_count,regret_vs_oracle
0.0,collapse,stl10__overlap_000|cifar100|cifar100__overlap_000,884.3416137695312,2,1,2.23101806640625
0.0,r_sum,stl10__overlap_000|stl10|cifar100,886.5726318359375,2,1,0.0
0.0,centroid_ff,stl10__overlap_000|pathmnist|fashion_mnist,701.8408203125,3,0,184.7318115234375
0.0,oracle,stl10__overlap_000|cifar100|stl10,886.5726318359375,2,1,0.0
0.0,random_0,bloodmnist|cifar100|mnist,640.4091186523438,3,0,246.16351318359375
0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn,811.3008422851562,3,0,75.27178955078125
0.0,random_2,cifar100__overlap_000|mnist|stl10,789.0455322265625,3,0,97.527099609375
0.0,random_3,bloodmnist|mnist|stl10,666.2691650390625,3,0,220.303466796875
0.0,random_4,bloodmnist|stl10|stl10__overlap_000,776.2086181640625,2,1,110.364013671875
0.25,collapse,stl10__overlap_025|cifar100|cifar100__overlap_025,832.7320556640625,2,1,44.09222412109375
0.25,r_sum,stl10__overlap_025|stl10|cifar100,832.1771240234375,2,1,44.64715576171875
0.25,centroid_ff,stl10__overlap_025|pathmnist|fashion_mnist,702.482666015625,3,0,174.34161376953125
0.25,oracle,stl10__overlap_025|cifar100|cifar10,876.8242797851562,3,0,0.0
0.25,random_0,cifar100|cifar100__overlap_025|svhn,712.7847900390625,2,1,164.03948974609375
0.25,random_1,bloodmnist|mnist|stl10,666.2691650390625,3,0,210.55511474609375
0.25,random_2,cifar10__overlap_025|mnist|pathmnist,625.26953125,3,0,251.55474853515625
0.25,random_3,cifar100__overlap_025|cifar10__overlap_025|stl10__overlap_025,871.9107666015625,3,0,4.91351318359375
0.25,random_4,cifar100|cifar10__overlap_025|dermamnist,720.101318359375,3,0,156.72296142578125
0.5,collapse,stl10|cifar100|cifar100__overlap_050,776.0143432617188,2,1,100.671142578125
0.5,r_sum,stl10|stl10__overlap_050|cifar100,773.1787719726562,2,1,103.5067138671875
0.5,centroid_ff,stl10|pathmnist|fashion_mnist,702.545654296875,3,0,174.13983154296875
0.5,oracle,stl10|cifar100|cifar10,876.6854858398438,3,0,0.0
0.5,random_0,cifar10|dermamnist|mnist,609.7294921875,3,0,266.95599365234375
0.5,random_1,cifar100__overlap_050|cifar10__overlap_050|stl10__overlap_050,873.8012084960938,3,0,2.88427734375
0.5,random_2,cifar100|dermamnist|stl10__overlap_050,766.724853515625,3,0,109.96063232421875
0.5,random_3,fashion_mnist|mnist|svhn,553.2670288085938,3,0,323.41845703125
0.5,random_4,bloodmnist|cifar100|stl10,793.2510986328125,3,0,83.43438720703125
0.75,collapse,stl10|cifar100|cifar100__overlap_075,718.51123046875,2,1,158.17425537109375
0.75,r_sum,stl10|stl10__overlap_075|cifar100,713.3104248046875,2,1,163.37506103515625
0.75,centroid_ff,stl10|pathmnist|fashion_mnist,702.545654296875,3,0,174.13983154296875
0.75,oracle,stl10|cifar100|cifar10,876.6854858398438,3,0,0.0
0.75,random_0,cifar100|dermamnist|mnist,617.3101806640625,3,0,259.37530517578125
0.75,random_1,cifar10__overlap_075|dermamnist|mnist,609.0736083984375,3,0,267.61187744140625
0.75,random_2,cifar10__overlap_075|stl10|stl10__overlap_075,688.7857055664062,2,1,187.8997802734375
0.75,random_3,bloodmnist|cifar10__overlap_075|pathmnist,623.7927856445312,3,0,252.8927001953125
0.75,random_4,cifar10__overlap_075|fashion_mnist|stl10,805.474853515625,3,0,71.21063232421875
1.0,collapse,stl10|cifar100|cifar100__overlap_100,657.8173828125,2,1,218.86810302734375
1.0,r_sum,stl10|stl10__overlap_100|cifar100,650.4869384765625,2,1,226.19854736328125
1.0,centroid_ff,stl10|pathmnist|fashion_mnist,702.545654296875,3,0,174.13983154296875
1.0,oracle,stl10|cifar100|cifar10,876.6854858398438,3,0,0.0
1.0,random_0,cifar100|stl10|svhn,816.12841796875,3,0,60.55706787109375
1.0,random_1,mnist|stl10|svhn,693.6737060546875,3,0,183.01177978515625
1.0,random_2,cifar10|fashion_mnist|svhn,686.9829711914062,3,0,189.7025146484375
1.0,random_3,dermamnist|mnist|svhn,494.5155029296875,3,0,382.16998291015625
1.0,random_4,bloodmnist|cifar100|cifar100__overlap_100,511.4868469238281,2,1,365.1986389160156
